Cx,Cy,Cz,ZMPx,ZMPy,CoPx_FL,CoPy_FL,CoPx_FR,CoPy_FR,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.11281145440470156,3.0111738100687327e-05,1.0894997549088032,0.7993707276977161,-0.7185223792806148,0.0,0.0,0.05254490398360845,-0.07038249021650891,0.11216814241496129,0.11044930982474357,-6.117848699860318e-06,4.703121573129423e-06,-1.8366083722132907e-06,-5.3839960891766065e-06,0.9999999999727603,0.11216814241496066,-0.11043069017525643,-6.1178486998741954e-06,4.7031215731238906e-06,-1.8366083718524683e-06,-5.3839960890720115e-06,0.9999999999727603
0.11299486108013539,-0.00015421234199160228,1.0887813788144962,0.774651004338362,-0.5590586881964336,0.0,0.0,0.012129559154228045,-0.07037948633390051,0.1121682276745557,0.11044603908994782,3.1846246531935796e-06,4.900084492847572e-06,-1.3334226011996717e-06,3.188598974914877e-07,0.9999999999870549,0.11216724558836784,-0.11043217838304556,-3.3903697466419747e-06,4.602904224631313e-06,-1.3338508213412476e-06,-2.329210418344859e-06,0.9999999999858047
0.11337780084780276,-0.0004963073077002262,1.0873661659041032,0.5387650920042466,-0.30329346789961437,0.0,0.0,0.012145066182377179,-0.0704104381923783,0.11217236358326202,0.1104463879019505,1.1062644559037271e-05,6.028032302246217e-06,-2.1721877441758455e-06,3.141764275331599e-06,0.9999999999745371,0.11217081786747762,-0.11043321855285627,3.826326226738508e-06,5.5937054728244916e-06,-2.118956450205812e-06,1.8014697177133925e-06,0.9999999999804878
0.11395251209710117,-0.0009769841598182528,1.085362211324635,0.23611103638814276,-0.12228597551595916,0.0,0.0,0.012169109129444938,-0.07042174102804347,0.11217450172841573,0.11045078646663707,4.228638842432297e-06,6.542445301228047e-06,-2.834051912378001e-06,-1.8689391416119163e-06,0.9999999999728361,0.11217391736041935,-0.1104310990327638,5.97751371125832e-06,6.439196732840032e-06,-2.771393616830917e-06,2.0856782733118324e-08,0.9999999999754281
0.11468957910472943,-0.0015890330146943728,1.0831595609404903,0.18590884799854063,-0.08670319408578596,0.0,0.0,0.012170052986975391,-0.0704187322445681,0.11216820162707417,0.11045937583726781,-3.37428499407183e-05,4.9187278304095645e-06,-3.0625428464213897e-06,-1.915573945745345e-05,0.9999999997997425,0.11217078429377596,-0.11042504197997736,-1.419426530804846e-05,5.6273179917617715e-06,-3.0478908097577956e-06,-1.3140391710614441e-05,0.9999999998931871
0.1155679716428966,-0.0023174056324327583,1.08085450501963,0.1598880506615742,-0.06608534846934586,0.0,0.0,0.026977535567948407,-0.07041359628986577,0.11215653338468375,0.1104691104474836,-8.331064306739411e-05,1.0289858688457463e-06,-2.6592699193745837e-06,-4.3916824737682036e-05,0.9999999990315913,0.11216355984960688,-0.11041795754161296,-4.4480768264465453e-05,3.0529356476058215e-06,-2.7679775675151786e-06,-3.312190526634597e-05,0.9999999994429789
0.1165632950866828,-0.003149814873448032,1.078475402905288,0.144355331278749,-0.0518457955661667,0.0,0.0,0.039982184616189506,-0.0704075334972912,0.11214092686379536,0.11047928249816794,-0.0001390053862382612,-4.985507525426856e-06,-1.585185961622749e-06,-7.410925893846283e-05,0.9999999972402251,0.11215338442685154,-0.11041047616143392,-8.066331507433633e-05,-1.1359460383194296e-06,-1.91167495256151e-06,-5.801441410410867e-05,0.9999999983146917
0.11765663069277263,-0.004075828853452245,1.0760258701280798,0.13390873254358115,-0.041722288195997465,0.0,0.0,0.0472166553764347,-0.07040102318943786,0.11212224489623498,0.11048953605918292,-0.0001979376765848112,-1.2966317777132724e-05,1.9723867095913226e-07,-0.00010830646457579824,0.999999994050773,0.11214092846013328,-0.11040286309148241,-0.00012046417935673848,-6.790912802886344e-06,-4.5643474602599325e-07,-8.654914856467535e-05,0.9999999962314603
0.11883346503062689,-0.005085898452449004,1.073502484109495,0.12619235859966055,-0.034456435068307985,0.0,0.0,0.05144452144857868,-0.07039430058238065,0.11210089824023328,0.1104997113219584,-0.0002588450808785059,-2.2810592924646955e-05,2.714608030219956e-06,-0.000145624399004056,0.9999999891329213,0.11212649889112519,-0.11039520273461581,-0.00016283584455904776,-1.3818801956346366e-05,1.6138569138911848e-06,-0.00011797113496959798,0.999999992944624
0.12008180942300122,-0.006171785732091031,1.0709021151466922,0.12121500232312671,-0.029339833107540556,0.0,0.0,0.05405742457280699,-0.07038742024244818,0.11207707463361308,0.11050974566669099,-0.0003211516210755716,-3.4461679406230325e-05,5.988123047302706e-06,-0.00018549884118116957,0.9999999821833576,0.11211023651879767,-0.11038750046570776,-0.00020724625899048998,-2.216552952152055e-05,4.311827548024873e-06,-0.0001518031976920923,0.9999999882229434
