t[s],q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143997776682454,-1.9616662238833271,-0.06412459365103018,0.4242215849112654,3.6096717592795358,-0.8386833004273626,0.5144046054759883,-1.96166146433211,1.1204705607821381,-2.1203218051959425,3.6096746608213834,0.2549901588279795,0.7541566830602798,-4.734836105481094,-2.9807021785287056,-5.803261846879083,10.53815042493675,-2.3689084550477872,0.7541747299389273,-4.734819412613449,1.9249452642863212,-14.923188103836571,10.5381619201263,1.4549845711208393
0.03,0.00046295979990142085,-0.0017654996014949945,-0.3300577121342859,0.6303817994264201,0.003248704583351582,-0.3007548149703846,0.0004629641449283895,-0.001765495317898899,-0.3289915764952961,0.6280917103753236,0.003248707194739245,-0.2997705088570548,0.015431993330047362,-0.05884998671649981,-0.0019237378095309054,0.01272664754733796,0.10829015277838606,-0.025160499012820876,0.015432138164279649,-0.0588498439299633,0.033614116823464144,-0.06360965415587827,0.1082902398246415,0.007649704764839384,-0.8377578163633643,4.438475507972953,3.4166037006947363,-4.717806714184121,-0.9229171093875266,2.2740985425771214,-0.8999935074279897,4.786529323023448,-4.543115130238071,6.126124799251514,-1.2092991053425735,-0.11625553148643064,-5.381235472295702,28.811340891302045,10.914211853459005,-19.96369803415399,22.172161984957384,4.388387717803627,-3.1140647054902018,-0.09082586060625,-11.551151808010554,0.5312735677764665,0.02028260606126704,-0.43755018977499704
0.06,0.00017193756507581388,0.0004636287541856692,-0.3270404809379466,0.6265175728100746,0.0056667837682543905,-0.2994629412524498,0.00011593413317158822,0.0007768857549233048,-0.3320719566078064,0.6316969330699737,0.0054090451946701736,-0.2996456476924474,-0.009700741160853565,0.07430427852268877,0.10057437321131117,-0.12880755387818565,0.08060263949676028,0.04306245726449277,-0.01156766705856004,0.08474603576074012,-0.10267933708367798,0.12017408982166713,0.0720112666643643,0.004162038820246464,-0.1673304322769127,0.2415598534852279,0.2877408230672813,-0.028669262718892696,-0.12796713873558474,-0.10993049231069563,-0.12215083212161204,-0.10821789275939153,-0.3863154588128559,0.17588218143967538,0.07842511134574615,0.13249441601101886,-1.7801438425335716,25.45437621578945,4.945240259784642,-19.39217795278986,22.06371449239957,4.574571495464718,-1.5767815121648123,-0.7599330607713632,-5.639467006391375,1.732252261582025,-0.02058838207271385,-0.2443024461425645
0.09,-0.0002696820587990145,0.0029101609780030372,-0.3237642830008467,0.622627543857282,0.007969692528295172,-0.29827000497759465,-0.0003410316274946638,0.0032218707242620557,-0.33550002063324835,0.6354604497279194,0.007639965794812274,-0.2994015415534301,-0.014720654129160946,0.0815510741272456,0.10920659790332961,-0.12966763175975243,0.07676362533469273,0.0397645424951719,-0.015232192022208402,0.08149949897795837,-0.11426880084806365,0.1254505552648574,0.07436402000473669,0.008136871300577029,-0.011445169790022192,0.06415798145269491,-0.01693906603935602,0.008965036703159512,-0.0926368240670854,-0.07756927865398211,0.023705947344330625,-0.015844320169055237,0.11933420882599322,0.10545034785990026,0.01642344808364804,-0.10796014944569521,-0.8353107664683197,24.85162654764044,3.4748852338109333,-19.375525744509968,21.809002034462367,5.666420171373812,-1.1560595629756367,-0.34621939681292935,-4.159496804976369,2.2972578555819556,-0.003967762124051918,-0.17984888766207402
0.12,-0.0007216023354848628,0.005414435385127831,-0.3205033302231822,0.6187455834375223,0.010189228146675576,-0.2971468810535281,-0.0007766620355510183,0.005652595805448657,-0.3388206838707469,0.639318871698939,0.009885667498229656,-0.29925459954891387,-0.01506400922286161,0.08347581357082645,0.10869842592214893,-0.12939868065865764,0.07398452061268017,0.03743746413555244,-0.014521013601878484,0.08102416937288671,-0.11068877458328386,0.12861406570065442,0.07485672344724613,0.004898066817206173,0.024307157964130965,0.026309494951249235,-0.07601066453213434,0.013679688810611879,-0.08031579859198246,-0.03106974149272901,0.04522921205869679,0.016003902213286736,0.16953874829734517,0.01844076659207161,-0.030718830594706148,-0.1830506445585005,-0.6901665236592271,24.739268292252362,3.392903725728564,-18.91446892661906,21.592558110686607,6.40496401258355,-1.1321021535662794,-0.287198755906127,-4.046646835391239,2.347879504614702,1.2405601014020524e-05,-0.17507255731666146
0.15,-0.0011516461700029931,0.007942388337708748,-0.31731078704359666,0.6148759347376921,0.012336479546323196,-0.296051719896805,-0.0011715861527545456,0.008097724398627217,-0.34198876223477775,0.6431938903598915,0.012103722254111805,-0.2992724031245003,-0.014334794483937681,0.08426509841936393,0.1064181059861849,-0.12898828999433928,0.07157504665492069,0.03650537189077057,-0.01316413724011758,0.08150428643928531,-0.1056026121343635,0.12916728869841657,0.07393515852940495,-0.0005934525195488418,0.021726900722569553,0.019235183580917692,-0.06980580823591254,0.029372083749194644,-0.07411289163519541,-0.009460571164026987,0.03458899461719511,0.015132621872599117,0.11843066866840957,-0.016449442610060316,-0.049895777620323045,-0.14966210027673554,-0.7476570979626462,24.760518326124547,3.616155083654711,-18.451474710060925,21.378001527830694,6.852137004657346,-1.2031357462558971,-0.3345910344811904,-4.24397400180127,2.2902306306382743,0.00017664294252825986,-0.18192915560949385
0.18,-0.001562135793870811,0.010487652955512492,-0.31418106909142346,0.6110327209132362,0.01441702934349914,-0.2949650732541295,-0.0015353801748025973,0.010556472351491115,-0.3450502529970071,0.6470541045224949,0.014276870810135664,-0.29942490259033583,-0.013682987462260595,0.08484215392679147,0.10432393173910752,-0.12810712748186345,0.06935165990586482,0.03622155475584976,-0.012126467401601726,0.08195826509546328,-0.10204969207431122,0.12867380542011475,0.07243828520079526,-0.005083315527850908,0.011871424639593897,0.018700971420173573,-0.0535213148905882,0.04188125560233402,-0.07078799905593769,-0.0030002481785231794,0.021820233636725916,0.010110553739945516,0.06965485538140115,-0.021231364308036405,-0.05462379133314066,-0.09222430451576358,-0.8228922187057531,24.800627268017216,3.8296536237557866,-18.08023327706047,21.153384612831925,7.122071582769351,-1.2771407579977603,-0.3976447218683244,-4.441023391152031,2.2389634164357357,-0.00020490050794920252,-0.18772729975605987
0.21,-0.0019619411355629945,0.013049748447594392,-0.31109952032265176,0.6072272002188225,0.01643386994152474,-0.2938811268348147,-0.0018795359865775958,0.013024319802720964,-0.34804905438939315,0.6508952104572211,0.016400857953959694,-0.2996604039302355,-0.013326844723072778,0.08540318306939668,0.10271829229238988,-0.12685068981379344,0.0672280199341867,0.03613154731049407,-0.011471860392499948,0.08226158170766164,-0.09996004641286918,0.12803686449087365,0.07079957146080104,-0.007850044663323815,0.003962767502457609,0.017992739430951588,-0.04109371121012373,0.05032251108383434,-0.06907337772463507,-0.00449894633788972,0.012946668906582914,0.0062859662868408606,0.040398259361545286,-0.01823746841415641,-0.05485932486415912,-0.045601090170071856,-0.878769318305319,24.833456878733767,3.986297525129636,-17.780514451044372,20.91796168361299,7.301010946430881,-1.3382160609197358,-0.4567933046818756,-4.587909945710392,2.209027006179616,-0.00044916509174678927,-0.19105182702216025
0.24,-0.002358179986502966,0.01562803740516415,-0.3080549558939692,0.6034669697843841,0.018388544499598168,-0.292801229467204,-0.0022120397963366696,0.01549782462360897,-0.35101149734835385,0.6547199026703746,0.01847547170540598,-0.2999369462512883,-0.01320796169799905,0.08594296525232523,0.10148548095608617,-0.1253410144812784,0.06515581860244765,0.035996578920357375,-0.01108346032530246,0.08245016069626686,-0.09874809863202282,0.12748974043844896,0.06915379171487626,-0.00921807736842597,-0.0008747022815214223,0.015967735103004088,-0.0337450283062708,0.056683474241481235,-0.06850976593068481,-0.009742258164123996,0.007476473398952521,0.003204783042948023,0.026103186570516357,-0.01679809272548738,-0.05479763315038788,-0.015134733060195416,-0.9166808756078353,24.857757329213708,4.101472163363122,-17.520151940170646,20.673581237272078,7.4398456422851185,-1.389265537274041,-0.5114935593666833,-4.696845458404545,2.193743626626512,-0.0005519593114657893,-0.19275763162397477
0.27,-0.0027552060694963068,0.018220697324326608,-0.30504076199076224,0.599757754476763,0.02028156026833398,-0.291730100131941,-0.002537814780036686,0.017974213749235628,-0.3539504474394011,0.6585294766000751,0.020500767587016917,-0.3002271098320953,-0.013234202766444693,0.08642199730541535,0.10047313010689805,-0.12364051025403397,0.0631005256245271,0.035704311175433656,-0.010859166123333885,0.0825463041875553,-0.09796500303490732,0.12698579765668433,0.06750986272036462,-0.009672119360231832,-0.0034581028510274336,0.012695893440536565,-0.030189379352236756,0.06261073970199504,-0.06895048432761541,-0.016613758022913316,0.004100916537822741,-7.215872337873463e-05,0.02069913667178369,-0.019058528305045286,-0.05569845959954023,0.003268914159022529,-0.9429493143119732,24.876024918399608,4.193154647113584,-17.27832511443338,20.42181103032219,7.564191055898667,-1.434661258412363,-0.5637101613991633,-4.783808838943355,2.1863000959449868,-0.0005911872531728077,-0.1936190284160144
