Cx,Cy,Cz,ZMPx,ZMPy,CoPx_FL,CoPy_FL,CoPx_FR,CoPy_FR,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.11281145440470158,3.011173810068624e-05,1.0894997549088035,0.11443513854918382,-0.006278943210442544,0.11540293269588679,0.09753186915518508,0.11572668238503286,-0.11575356867316802,0.11216814241496129,0.11044930982474357,-6.117848699860318e-06,4.703121573129423e-06,-1.8366083722132907e-06,-5.3839960891766065e-06,0.9999999999727603,0.11216814241496066,-0.11043069017525643,-6.1178486998741954e-06,4.7031215731238906e-06,-1.8366083718524683e-06,-5.3839960890720115e-06,0.9999999999727603
0.11280114086394692,0.00012861209736528685,1.0905656329028839,0.11858103213360194,-0.004669982630326555,0.11586983688414143,0.09730837399111697,0.11627227436707957,-0.1165591125636441,0.11216782225570793,0.1104492399739892,1.0951122014907222e-06,4.706337608237359e-06,-1.8356617603821974e-06,-5.332744042582042e-06,0.9999999999730216,0.11216781618520064,-0.11043075813886971,8.174526946458371e-07,4.7063707307897175e-06,-1.8356617067862025e-06,-5.334904613289465e-06,0.9999999999730099
0.11281091869632108,0.0003286978270541818,1.0916487690567012,0.11522861783647384,-0.003204076504724549,0.11755417379721068,0.09896441849863878,0.11769977555482464,-0.11583528547240662,0.11216783678995904,0.11044929745879628,-4.595928150052941e-06,4.729445311037041e-06,-1.8374354112192896e-06,-5.284241462477587e-06,0.9999999999731668,0.11216781982127118,-0.11043070246044155,-4.444434293149335e-06,4.729551515051075e-06,-1.83743619471757e-06,-5.285595907099939e-06,0.9999999999731591
0.11280120464885626,0.0006221806506109531,1.0927144300915823,0.11382060875223067,-0.0021551803504953667,0.11769286337467645,0.10057843965022407,0.11776023910340946,-0.11484113502531848,0.1121682612897664,0.1104493435650309,-1.197440001926564e-05,4.742511824227302e-06,-1.8390929554879999e-06,-5.28825859024831e-06,0.9999999999730806,0.11216824724386648,-0.1104306591056945,-1.1522217698858861e-05,4.743075873145722e-06,-1.8390929793994033e-06,-5.285157686158626e-06,0.9999999999730943
0.11275995031201498,0.000997981015993695,1.0937557989294695,0.11321530891399682,-0.0012904119454343794,0.11727794710118915,0.10201094808711797,0.11731526932598166,-0.11385257150281688,0.11216884206790535,0.11044939914735204,-1.933318445830612e-05,4.721359623362393e-06,-1.8393550023593007e-06,-5.4064813703400005e-06,0.999999999972548,0.11216884876394463,-0.11043060610272819,-1.879562243123356e-05,4.7225979231461594e-06,-1.8393533423537534e-06,-5.397268129545549e-06,0.9999999999725919
0.11268580933535935,0.0014454840301416157,1.094770642091291,0.11288834526366609,-0.000507666416173893,0.11669973328078369,0.10324433298671616,0.11671311538478718,-0.11295867902306403,0.11216944173663311,0.11044947790779361,-2.6473088125783528e-05,4.662134474075799e-06,-1.8381071501785576e-06,-5.652583975846459e-06,0.9999999999714673,0.11216948448345099,-0.11043052867530255,-2.6045030773108602e-05,4.66345485375129e-06,-1.8381053267897656e-06,-5.638967125770827e-06,0.999999999971538
0.11258094401140521,0.001955643154098852,1.0957585307017577,0.11265017127393316,0.0002372047512763445,0.11609279302761961,0.10429162989061329,0.11607766196168756,-0.11218304969253266,0.11217001143674517,0.11044958129780534,-3.3378084869972735e-05,4.568302701196863e-06,-1.8354803360681521e-06,-6.018735737404656e-06,0.9999999999697684,0.11217010175669517,-0.1104304247642224,-3.322573188870026e-05,4.568401625592596e-06,-1.8354826536308129e-06,-6.0052834390531256e-06,0.9999999999698489
0.11244846690627315,0.002521244718569891,1.0967196954676854,0.11243369543442247,0.0009638508889454188,0.11550090364141564,0.10517333339758281,0.11545109400951718,-0.11152614474398971,0.11217053753817392,0.11044970610505518,-4.005793427128146e-05,4.445232167771912e-06,-1.831638027476119e-06,-6.4903942022236324e-06,0.9999999999673802,0.11217068368936484,-0.11043029736211148,-4.0323047806989365e-05,4.442371217512782e-06,-1.8316515160890203e-06,-6.483623037387786e-06,0.9999999999674367
0.11229155923200868,0.003136876715394054,1.0976545951572212,0.11221599138560269,0.0016816342312350177,0.11493611438654934,0.10590904977420397,0.1148461740774505,-0.1109815608442162,0.11217101863287274,0.11044984819677747,-4.6525807133573904e-05,4.298204602624545e-06,-1.8267381835205968e-06,-7.052529911243059e-06,0.9999999999642254,0.11217122636635624,-0.11043015061851139,-4.733064065180759e-05,4.29044235116818e-06,-1.8267727191311178e-06,-7.0601595241851435e-06,0.9999999999642049
0.11211318889386254,0.0037988159721039135,1.098563749559442,0.11198976681819824,0.0023951459865590584,0.11439961624329047,0.10651474042370514,0.11426528051474025,-0.11054227817393535,0.11217145720780736,0.11045000370448822,-5.279393203924676e-05,4.131775941441542e-06,-1.8209270577804066e-06,-7.691868442563443e-06,0.9999999999602242,0.1121717304397018,-0.11042998854041598,-5.42461726345117e-05,4.117105632564035e-06,-1.8209957126541804e-06,-7.722385052560888e-06,0.9999999999600493
