t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,-0.5828150438492334,4.804816935923479,330.3081538339245,-4.266735979821122,-1.0684776057324248,-2.761385097984078,-0.1632523550335562,2.3184414352375193,384.04379715206795,-2.0442184701170607,-1.3666352024239368,3.667081016367962
0.03,0.6717167995277937,4.674898674750198,296.7594492504045,-3.8996761517505396,-1.0986078222508668,-2.4792678013854186,0.7922516033028175,2.662972678514556,341.93549581988486,-2.095501908795216,-1.4034599434927566,2.8100811931042564
0.06,-0.7341612516471551,4.271506174911595,299.32206942957276,-3.4376777375025034,-1.6122495396556566,-2.3283974933172393,-0.6636996466389032,2.4756088001271563,336.8534163675544,-1.8205522516224817,-1.8634581880415635,2.4750788766300014
0.09,-1.169681066113981,3.811059248342813,302.38330323266314,-2.9847965316515146,-1.6705474274811583,-2.2391729369833704,-1.1011783977520282,2.1366511074107373,333.29399544059936,-1.469985141046028,-1.863777309338386,2.3188176783914187
0.12,-1.2228715282668663,3.385472905153239,305.16391496637664,-2.5751107617931974,-1.5591144939313049,-2.1759775080569255,-1.1465888908105832,1.796225555133206,330.34981939205215,-1.1304456518851504,-1.700119103184476,2.2274165068619074
0.15,-1.1489926530042076,3.0242240669095968,307.6229040942137,-2.2164676050415175,-1.3936214412050623,-2.1239470150387247,-1.065043468787069,1.5045420983562692,327.8590221351969,-0.8288769008278383,-1.4896703842553467,2.160726747790166
0.18,-1.039721187799723,2.7332037866846672,309.7695672310778,-1.90754594243589,-1.2151583557472179,-2.077067865075419,-0.9499983796585109,1.2748350898995557,325.7287210735865,-0.5708802764201876,-1.2728045880902108,2.1046159387365693
0.21,-0.9270689248657492,2.509949643331084,311.6288840959043,-1.6442701389037013,-1.037838272384042,-2.032918129075019,-0.833248679092832,1.1073384512782527,323.9024505354656,-0.3549476524032347,-1.0625329414591769,2.0540050823730653
0.24,-0.821563066242679,2.3498365705964748,313.22553159947216,-1.4222939997966288,-0.8660985873687969,-1.9905106707963365,-0.7246809208156136,0.9985577020636229,322.34336485783683,-0.1777434275707124,-0.8622516460128921,2.006966179903452
0.27,-0.7260508841863547,2.248464492086755,314.57852341478565,-1.2379493121171672,-0.7009309793155887,-1.9494434599200927,-0.6266340339642588,0.9447323889021644,321.02849567433645,-0.03604817212854379,-0.6720892312084888,1.962669934288375
0.3,-0.6406639077144607,2.2027041391750175,315.69836367040193,-1.0886036848290608,-0.5421450185664763,-1.9095551774838526,-0.5388345988833089,0.9432640104470793,319.94533256805056,0.07252648174952474,-0.491130304166415,1.920678212042797
0.33,-0.5646804683671192,2.2111135088886518,316.58644568619286,-0.9727973965313058,-0.38919919365396033,-1.870776999365137,-0.4602405943507,0.9932827214200629,319.09157366160605,0.14927093332057048,-0.3182042165651266,1.8807081589840529
0.36,-0.49714058526801197,2.2741469515375066,317.2339974146705,-0.8903120771209496,-0.24148582359406867,-1.8330806639569048,-0.3896312340338333,1.0959378137748206,318.47520767998424,0.19426026282441766,-0.15213014284587703,1.8425457806987826
0.39,-0.4370839343321502,2.394335640140905,317.62099257270165,-0.8422467574527617,-0.09844394073303256,-1.7964561664642302,-0.325802552811363,1.254653017313248,318.11542020322776,0.20625732132109367,0.008214967180874694,1.8060185467104248
0.42,-0.3836385847091898,2.576490311481354,317.7146610240818,-0.8311246637752663,0.04039900975902802,-1.7609036390344996,-0.26764384664037716,1.4754255556749234,318.0441794507444,0.18259277342349134,0.16389599280343792,1.7709836806098491
0.45,-0.33601491743224865,2.8280214817897242,317.4670181549787,-0.8610739949664047,0.17541937825937556,-1.7264355614959621,-0.2140472604322002,1.7672807766992407,318.30802937669415,0.11897352325196232,0.3159730061034269,1.73732403017894
0.48,-0.29349078770373754,3.1592307106968938,316.81212200238326,-0.9380430337614606,0.3068749126575465,-1.693096172863276,-0.16404212995874518,2.1427577380938465,318.9713582536061,0.00925383802072549,0.4654958949195225,1.7049309024331116
0.51,-0.25545633967904413,3.583924589349213,315.6620874608663,-1.070148100738137,0.4348896661270221,-1.6609465016465241,-0.11659765688652356,2.6188062183586034,320.11978751108467,-0.15493199214127992,0.613611827951358,1.6737260361427775
0.54,-0.2213374163173078,4.120006407991156,313.90189775321716,-1.268110399846662,0.5594456588283575,-1.6301005583307866,-0.0706936058909923,3.2177925363830613,321.8652844785128,-0.38463366156490175,0.7616029169959159,1.6436390867280626
0.57,-0.19057310850027934,4.790373786639808,311.3828277158683,-1.545860468554152,0.6803642690375719,-1.6007558754461544,-0.025249035452201158,3.9690064252032813,324.35241983171784,-0.6942288772890818,0.910983243885925,1.6145999511945006
0.6,-0.16253523845419174,5.624161679184038,307.9138208240775,-1.92139752535566,0.7973004347285572,-1.5732752968353594,0.02099394587250645,4.91080704523719,327.76619826575967,-1.10234061365343,1.0636329183301145,1.5864939430405889
0.63,-0.1362927107143093,6.6584889301891375,303.2509508922071,-2.418035098774015,0.9097815062143672,-1.5484398545320155,0.06942937443707328,6.093714424007901,332.3429728857259,-1.63316211852394,1.2219303472110818,1.5589870723332098
0.66,-0.10997522558121466,7.941512941225131,297.08294161563134,-3.0664735255818436,1.0173963752199136,-1.5281035749404868,0.1217989553514216,7.5854816156482405,338.38286235874443,-2.318641105041382,1.3890087872444696,1.5310046791331808
0.69,-0.07907132000162899,9.538222414490953,289.01388941279055,-3.908615165451634,1.1203859524458677,-1.5171466815758774,0.1800349214867787,9.479916514490121,346.2675864372849,-3.202417632050147,1.5690042880054238,1.499099993663724
0.72,-0.030669671614801945,11.543160079053035,278.5354752936589,-5.0055772586760305,1.2216435406989274,-1.5291000499429335,0.2466237116850331,11.914154801429218,356.47795743185355,-4.347898869959068,1.7675334547144037,1.4526077191499889
0.75,0.05282619008071328,12.75907098313941,266.35954052528706,-5.327994477431385,1.334654806140258,-1.4122986290770398,0.3166480720191889,15.07152084472216,368.2972622477535,-5.867914966634257,1.9860507246097916,1.2835989077220484
0.78,0.21343952077119963,13.381630579325785,251.68164548973996,-5.0359763387824765,1.4742316319070348,-1.2209206422778822,0.41205149272242997,18.892347833887374,382.48869988681247,-7.649896159092609,2.238758614924029,1.0147287792913062
0.81,0.5688191439288317,14.08687505488057,233.20693973212178,-4.668422613411938,1.6846069386973923,-1.1682417183576306,0.5964829798786336,21.52202506804879,400.351571657668,-8.008646246581831,2.5543684860863487,0.9456051952403548
0.84,1.2920146889082549,14.472637576200674,209.58008643692386,-4.198055520097106,2.043138469305813,-1.1269021580664274,1.1220860077848553,24.560405941439083,423.1499000934666,-8.466210540991488,3.06608620942326,0.9014189223113032
0.87,2.005178429457229,14.202096469382193,183.402422522203,-3.676588119476552,2.571822107610011,-1.0192389537134277,1.5820588210554438,28.038525050087845,458.2974902266758,-9.17048790745228,3.849442646815915,1.028840949205476
0.9,1.327206267780622,-27.814655173109823,693.6687926764745,-2.5915266420248155,2.793020965029137,0.604008713161543,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0.5055123069736683,-24.19466534556381,634.5636540192021,-3.0594803827526205,2.5307168895355767,0.3201328122336108,0.0,0.0,0.0,0.0,0.0,0.0
0.96,-0.8735895068608184,-22.7359625972729,632.5151226998435,-3.2406259856891793,2.2201315571795672,0.10178559272047354,0.0,0.0,0.0,0.0,0.0,0.0
0.99,-1.3081420618873214,-21.24887288919361,632.9942556032498,-3.5146479255015945,2.261040268337507,-0.035622828110086116,0.0,0.0,0.0,0.0,0.0,0.0
1.02,-1.3104760094428471,-19.68714763865028,633.5975167390897,-3.8149030368620886,2.4756508729893096,-0.09107995198312739,0.0,0.0,0.0,0.0,0.0,0.0
1.05,-1.1678954205779681,-18.113696040529195,634.1414929883982,-4.106756533798036,2.7548415531780117,-0.0999895314205989,0.0,0.0,0.0,0.0,0.0,0.0
1.08,-0.9973599207289893,-16.589540471487172,634.601048090737,-4.370040152091116,3.049847369158127,-0.08905199848363902,0.0,0.0,0.0,0.0,0.0,0.0
1.11,-0.840122854149143,-15.152688958409552,634.9823713611502,-4.59301929953568,3.341853563525789,-0.07234326844794473,0.0,0.0,0.0,0.0,0.0,0.0
1.14,-0.7066141753753737,-13.820940001773572,635.2970303999297,-4.770010117940657,3.6252402376999533,-0.055970243150535365,0.0,0.0,0.0,0.0,0.0,0.0
1.17,-0.5957887341219854,-12.599211209680826,635.5557890705722,-4.8993692370821496,3.899674292122542,-0.04201706166473087,0.0,0.0,0.0,0.0,0.0,0.0
1.2,-0.5032059594132551,-11.485376894586917,635.7677942823688,-4.981876181145666,4.166602726135626,-0.030800792413109027,0.0,0.0,0.0,0.0,0.0,0.0
1.23,-0.424193258990958,-10.473892671310832,635.9407569276648,-5.019617664037205,4.427796473596204,-0.02198539067420847,0.0,0.0,0.0,0.0,0.0,0.0
1.26,-0.35488167279447763,-9.557818460355968,636.0811716501411,-5.015292724676235,4.684819424919227,-0.015077491025761898,0.0,0.0,0.0,0.0,0.0,0.0
1.29,-0.2923679281772822,-8.729881921731057,636.1944832281908,-4.971806880589001,4.938894988893796,-0.009618790120154323,0.0,0.0,0.0,0.0,0.0,0.0
1.32,-0.23456747679442527,-7.983009150592278,636.2852269742162,-4.892046492627274,5.190926174924956,-0.005241109863456025,0.0,0.0,0.0,0.0,0.0,0.0
1.35,-0.18000022659962417,-7.310570078553708,636.3571570168775,-4.778760220575417,5.4415608164762155,-0.0016660597376994552,0.0,0.0,0.0,0.0,0.0,0.0
1.38,-0.12759972319805454,-6.706474815233343,636.413363024634,-4.634502543979769,5.69125807204327,0.0013129236338932377,0.0,0.0,0.0,0.0,0.0,0.0
1.41,-0.07656961266793494,-6.165194301033031,636.456373200456,-4.461612754515379,5.9403418573265245,0.0038504181534578536,0.0,0.0,0.0,0.0,0.0,0.0
1.44,-0.02628490688916057,-5.681744145381288,636.4882426445637,-4.262214095901405,6.189039247988378,0.006065357877612701,0.0,0.0,0.0,0.0,0.0,0.0
1.47,0.02377222331117114,-5.2516517882213805,636.5106276885988,-4.038224410996191,6.437506231043034,0.008052931934321998,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.07405264609736317,-4.8709170457410496,636.5248476222381,-3.791373555951185,6.685844038834668,0.00989270003514584,0.0,0.0,0.0,0.0,0.0,0.0
1.53,0.12496477713517865,-4.535970762419697,636.5319354751585,-3.523225089292957,6.934108863879074,0.011653940879650415,0.0,0.0,0.0,0.0,0.0,0.0
1.56,0.1768892204891457,-4.243633527369416,636.5326794463007,-3.235201030369871,7.182316998830867,0.013399139268913512,0.0,0.0,0.0,0.0,0.0,0.0
1.59,0.23018731040880194,-3.9910750153314596,636.527656376146,-2.9286092186895263,7.43044674946891,0.015186284018080982,0.0,0.0,0.0,0.0,0.0,0.0
1.62,0.28520584780806996,-3.775773817435334,636.5172584301686,-2.604673237612339,7.678437935043846,0.017070430224080023,0.0,0.0,0.0,0.0,0.0,0.0
1.65,0.34227934616276245,-3.5954772656575034,636.5017139437068,-2.2645651395082442,7.9261894170499385,0.019104811739614654,0.0,0.0,0.0,0.0,0.0,0.0
1.68,0.4017304789701422,-3.4481605329047875,636.4811031816535,-1.90944140395763,8.173554846473772,0.021341675740076584,0.0,0.0,0.0,0.0,0.0,0.0
1.71,0.46386902764561305,-3.3319840865992623,636.455369588632,-1.5404827337410334,8.420336648874752,0.023832934972853197,0.0,0.0,0.0,0.0,0.0,0.0
1.74,0.5289893637380909,-3.2452483188418255,636.4243269382785,-1.158938472417962,8.666278141394631,0.026630681433027794,0.0,0.0,0.0,0.0,0.0,0.0
1.77,0.597366279009574,-3.1863437990354933,636.3876626186865,-0.766176645644253,8.911053563497607,0.02978755939467058,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.6692487303758032,-3.153695026924743,636.3449370927071,-0.36374090806053305,9.15425567757097,0.03335693993934231,0.0,0.0,0.0,0.0,0.0,0.0
1.83,0.7448507138564396,-3.14569471202367,636.2955793099422,0.04658394945584051,9.395380424034498,0.03739274878363654,0.0,0.0,0.0,0.0,0.0,0.0
1.86,0.8243379268762592,-3.160624365585014,636.238877463242,0.4626957850576852,9.633807861908982,0.041948643582559626,0.0,0.0,0.0,0.0,0.0,0.0
1.89,0.9078079968612364,-3.1965552698311392,636.1739638801988,0.882085413729723,9.868778242535372,0.04707596739028882,0.0,0.0,0.0,0.0,0.0,0.0
1.92,0.9952607001673768,-3.251221664041085,636.0997918504672,1.3017299460930853,10.099361499659466,0.05281946231765236,0.0,0.0,0.0,0.0,0.0,0.0
1.95,1.0865526354025483,-3.3218554749643254,636.0151004811813,1.7179650094998946,10.324417653828082,0.059209046366558674,0.0,0.0,0.0,0.0,0.0,0.0
1.98,1.18132821639549,-3.404969865065421,635.9183604728419,2.1263315480934026,10.542544636907046,0.06624502846134615,0.0,0.0,0.0,0.0,0.0,0.0
2.01,1.278915868907996,-3.496079203178801,635.8076870771608,2.52139433570308,10.75200900621918,0.07387318054192138,0.0,0.0,0.0,0.0,0.0,0.0
2.04,1.378175906631501,-3.589350400145494,635.6806918762132,2.896534937271047,10.950654478956888,0.08194604990177141,0.0,0.0,0.0,0.0,0.0,0.0
2.07,1.4772876199154057,-3.6772069357772335,635.5342144340333,3.2437378747722123,11.135784792902028,0.09017069478007446,0.0,0.0,0.0,0.0,0.0,0.0
2.1,1.5734773463264335,-3.7499877714635432,635.3638276147692,3.5534306475148694,11.304026187531543,0.09805794809083335,0.0,0.0,0.0,0.0,0.0,0.0
2.13,1.6627520654722188,-3.7960094891909186,635.1630209962766,3.814543247256252,11.451207126598764,0.10492805707346067,0.0,0.0,0.0,0.0,0.0,0.0
2.16,1.7399365967533602,-3.803122471188404,634.9224533253267,4.015199713711567,11.572396352507319,0.11010073217152608,0.0,0.0,0.0,0.0,0.0,0.0
2.19,1.8000727544179065,-3.7649461176561374,634.6321885686607,4.144955568790017,11.662523522439747,0.11342543500605044,0.0,0.0,0.0,0.0,0.0,0.0
2.22,1.8440951141490391,-3.700060933414161,634.3014547340655,4.200185127041454,11.718586639746828,0.11579989993037745,0.0,0.0,0.0,0.0,0.0,0.0
2.25,1.884074051055224,-3.707633265573731,634.3282437467515,4.196780518585151,11.747068842909353,0.11762303307558636,0.0,0.0,0.0,0.0,0.0,0.0
2.28,1.9207154995035558,-3.78810536879014,634.7071235449596,4.1347112811737565,11.747583036624821,0.1187880849169933,0.0,0.0,0.0,0.0,0.0,0.0
2.31,1.9410288894917167,-3.842925217924216,635.0399946969673,3.998021280915889,11.712306205338553,0.11888054857198682,0.0,0.0,0.0,0.0,0.0,0.0
2.34,1.9427670361482312,-3.853389003007204,635.3188616080737,3.789909149356557,11.642854668363565,0.11698086411469603,0.0,0.0,0.0,0.0,0.0,0.0
2.37,1.9300739418559525,-3.825352710837042,635.5542093345032,3.520138018274582,11.543249203484129,0.11317660738194005,0.0,0.0,0.0,0.0,0.0,0.0
2.4,1.9078761951283216,-3.7702963980510957,635.755834514578,3.1997863207917097,11.417704203371596,0.10810094842166239,0.0,0.0,0.0,0.0,0.0,0.0
2.43,1.8802950414832127,-3.6992148639919686,635.9306726279098,2.839082145121487,11.269917714280703,0.10241893961680328,0.0,0.0,0.0,0.0,0.0,0.0
2.46,1.8504482447325998,-3.6211018003795017,636.0835507173078,2.4467423958254155,11.102955199415348,0.09663132028806004,0.0,0.0,0.0,0.0,0.0,0.0
2.49,1.8206130314650546,-3.5428901682805467,636.2179952385849,2.0299228365527737,10.919313876565829,0.09105866245059534,0.0,0.0,0.0,0.0,0.0,0.0
2.52,1.7924377859949063,-3.4697817345556463,636.3367187307632,1.5943772592401375,10.721022306211855,0.08588431414611362,0.0,0.0,0.0,0.0,0.0,0.0
2.55,1.7671220581281109,-3.4056271815818446,636.4418851712597,1.1446653125759052,10.509732034020917,0.08120191053606664,0.0,0.0,0.0,0.0,0.0,0.0
2.58,1.7455519638257297,-3.3532580394330873,636.5352595873405,0.684350671565715,10.286791696826393,0.07705146270735334,0.0,0.0,0.0,0.0,0.0,0.0
