t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ALElbow,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_ARElbow,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ALElbow,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_ARElbow,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ALElbow,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_ARElbow,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_ALShoulder1,Tau_ALShoulder2,Tau_ALShoulder3,Tau_ALElbow,Tau_ARShoulder1,Tau_ARShoulder2,Tau_ARShoulder3,Tau_ARElbow,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,-0.25,0.1,0.0,0.0,0.25,-0.1,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.748535407237355,-6.40957682765216,1.8635491121671635,-15.723483324831264,2.577969590073458,0.5471343018127843,0.929999701194177,16.209808354124377,-2.7924331512746754,-0.7314910157110432,-1.051870840893347,-7.855768666990798,-4.793813958051601,15.915446062767046,-2.6472752370693797,1.2845712733069377,-14.137536888134491,-7.855750729340912,-4.793835694143354,19.020511939172025,3.6328975572685067,1.2845940216902818,-19.45632582080725,-87.38129562977497,-27.36651803362859,23.0,-51.41677919588569,15.673296467245256,1.6212763296079247,6.421703443983324,69.78888331225686,-15.729401414575031,-2.4029012538211187,-6.743753286094208,-8.68001146874517,-3.866254768573162,-12.58535613074321,-120.24574614601634,24.48093139135495,-200.0,-8.679926319867338,-3.8662013386513845,13.143655738133026,-153.4758618345593,24.480995413662637,-200.0
0.03,0.1723263181334864,-0.005768619144886944,0.0016771942009504472,-0.26415113499234816,0.10232017263106612,0.0004924208716315059,0.0008369997310747593,0.26458882751871193,-0.10251318983614721,-0.0006583419141399389,-0.0009466837568040123,-0.007070191800291718,-0.00431443256224644,-0.3156760985435097,0.6276174522866376,0.0011561141459762439,-0.31272378319932104,-0.00707017565640682,-0.004314452124729019,-0.3128815392547452,0.6332696078015416,0.0011561346195212536,-0.3175106932387265,-0.9224560622171206,-0.19228730482956477,0.0559064733650149,-0.4717044997449379,0.07733908770220374,0.01641402905438353,0.027899991035825307,0.4862942506237313,-0.08377299453824026,-0.021944730471331296,-0.03155612522680041,-0.23567306000972393,-0.14381441874154802,0.47746338188301135,-0.07941825711208139,0.03853713819920813,-0.4241261066440347,-0.23567252188022733,-0.14381507082430062,0.5706153581751607,0.1089869267180552,0.03853782065070845,-0.5836897746242176,-28.96784952748869,-5.115258863503868,5.869403528097095,-4.06817453756058,0.8490392640354649,0.11905350983154328,0.4477729831687398,6.314281416554195,-1.1837136665776669,-0.27367926263489295,-0.5538195970976254,-3.941862039206171,-1.859506007210598,12.787562579110727,6.045515899127167,0.73519761343141,-19.147511902312544,-3.800246202989456,-1.9816854683206202,15.568719589587772,6.935471833167185,0.8000130969203383,-20.814874693587626,-59.54858518960559,-26.024535864836,23.0,-37.775899145209536,13.436283968784608,1.1843341649744998,5.482964132107306,57.36026601069539,-12.763823405359027,-2.0036640707613054,-5.513184770069468,-8.069089096128048,-2.570636926676164,-22.475251086129987,-120.27445557755163,23.483236093686394,-200.0,-7.90710544956485,-2.608314512192049,1.8159554609444242,-152.11046496303933,23.552124895231454,-200.0
0.06,0.11858157169223296,-0.016140971266927366,0.00863685157718828,-0.2819636270685008,0.10540448059976415,0.0010919899021114006,0.002076995147001384,0.2848605083123226,-0.10609172197221432,-0.0015629951646512815,-0.002391805150995887,-0.01768805943586899,-0.010302420530982419,-0.2898433907658197,0.6306758688824896,0.002973906144040757,-0.3426803271107234,-0.01756057289550415,-0.010412421170946595,-0.2817512308788614,0.6427811402529338,0.0030322810262708114,-0.3537547737016819,-1.7914915480417812,-0.3457450707346808,0.23198857920792773,-0.5937497358717553,0.10281026562326769,0.019985634349329828,0.0413331805308875,0.6757226931203572,-0.11928440453557027,-0.030155108350378084,-0.04817071313972917,-0.3539289211859091,-0.19959959895786594,0.8610902592563332,0.10194721986173363,0.06059306660215043,-0.9985514637134111,-0.349679907969911,-0.20326563487391922,1.037676945862794,0.3170510817130707,0.0625382135583186,-1.2081360154318463,44.91689579662743,8.690823150051102,-18.66470241255996,4.434100041983385,-2.2547021532230644,-0.08879215662592443,-0.9071291753511588,-14.182155814171182,0.5166031161927549,0.575848780716175,0.11191139074423306,-16.407497675592595,4.225022801712896,35.144425270788076,-9.905126193289107,-0.4939960422035483,0.5150852736296656,-18.064872628496744,1.1456025482269183,-107.04263484464512,-5.439438565376662,1.723872828663815,143.92647957654765,52.0517484067598,24.96326283316131,-16.421747566890627,7.337068668214371,-2.0586167562230897,-0.23338702778206463,-0.39594057567722846,-25.811919359776812,2.1130408885862155,0.9275581114503341,0.7701726654350837,-134.87692227069277,45.98035464980178,190.5298416161136,-77.91252604054456,17.49830179503637,-200.0,-65.33600664457225,-5.576655381150368,-259.55821211747406,-93.42582282440347,-0.15820670206396298,-10.155075149779988
0.09,0.10526203146794422,-0.0186915825539218,-0.0012017232178778512,-0.29578542910686845,0.10645955663056142,0.0016116459916279634,0.0025005743051119663,0.29236824887317925,-0.10920531130370795,-0.0019493845125180666,-0.0037362062935179527,-0.0430726749794796,-0.012487887978176791,-0.23238070024442045,0.6248196719043814,0.004347101704122076,-0.372173294275859,-0.044309355500248546,-0.015479347923759944,-0.34695929386315816,0.6473971779954869,0.006459912978817803,-0.26046502254574444,-0.4439846741429585,-0.08502037623314773,-0.3279524931688711,-0.4607267346122538,0.03516920102657575,0.017321869650552095,0.014119305270352735,0.25025801869522174,-0.10378631104978762,-0.012879644928892837,-0.04481337141740218,-0.8461538514536868,-0.07284891490647907,1.9154230173799756,-0.19520656593693955,0.04577318533604398,-0.9830989055045211,-0.8916260868248133,-0.16889755842711168,-2.1736020994765592,0.15386792475177088,0.11425439841823304,3.109658371864583,-5.997780977713809,-1.4159206774060067,0.28184675467295506,2.450865373200685,-0.7334827274557938,-0.09408347266908379,-0.2529534375784124,-3.8542644216373816,0.4110886581182953,0.12094213538600584,0.12794445789264364,-4.6116976092841355,-2.2221948869593007,11.039187222557985,3.4069417543732925,0.09184102096014612,-10.387364165231702,-3.17745336580748,-2.777469670356936,-4.675405077739697,1.612749606508956,0.26309319446438906,2.6327606735537827,-9.54818710839042,12.809488738036638,9.040855394441502,-14.136831083856537,4.353695969880233,0.4401788647389293,2.12267833303495,19.40712315435673,-6.028552017050207,-0.7047941150274296,-2.3815174517787785,-51.871052042818015,36.895976886031136,12.448532228803609,-150.7657644508788,18.505956426325316,-200.0,-10.66954923767471,-1.583709342860687,-42.94961620151656,-10.03033038924121,-0.057178799469806134,-1.654262534165942
0.12,0.08654448836371303,-0.02251652245058164,-0.010786635933738324,-0.30740145230935545,0.10685449820664848,0.002046626955742351,0.002696495369401977,0.29640715145456226,-0.11194892084289511,-0.0022269259385374464,-0.004965457423936639,-0.07260781837144592,-0.016673330823634536,-0.164982741222719,0.6220297225052092,0.005802954183067526,-0.41101488918970314,-0.07391784613421967,-0.023045997379894538,-0.41637522141742067,0.6534646903838981,0.010124328806382744,-0.16480578678360855,-0.6239181034743728,-0.12749799655532792,-0.31949709052868247,-0.3872007734162332,0.01316471920290194,0.01449936547047958,0.006530702143000364,0.1346300860461003,-0.09145365130623877,-0.009251380867312661,-0.04097503768062287,-0.9845047797322108,-0.1395147615152581,2.2465986340567152,-0.09299831330574078,0.04852841596484836,-1.2947198304614722,-0.9869496877990377,-0.25222164853781975,-2.31386425180875,0.20225041294703955,0.1221471942521647,3.188641192071197,-10.827235360347451,-4.538052420465192,2.438597833095912,-0.316048026889149,0.4677256358984039,0.004335569226771696,0.2264014056402317,2.0184368730162845,-0.5131317958292172,-0.08822929464280804,-0.286754348027098,0.581890338013352,-3.3121710493223304,0.8384701777810051,3.1962821369336325,0.3513370126756854,-8.256951425253646,1.2130579137901236,-2.8811065616359315,13.366842259158766,-5.573970995923887,-0.1735970484552638,-6.147215414896252,8.42975516835989,8.973062123617385,5.5100919270605235,-16.402070751574634,4.404755782703293,0.53466266718422,2.0447875288384236,21.50008989419378,-7.117366965064516,-0.764390105697865,-2.8150214182075923,-10.880822231406343,31.498068577242798,-63.69991645828404,-182.57647273695613,19.83731299152227,-200.0,2.4295688758452174,1.5979174062451895,8.706074944700713,8.753994988019155,0.06170151395926847,0.5188634130296947
0.15,0.058082433435169147,-0.03042570952566015,-0.01817681059981248,-0.3193019187360427,0.10767039285504411,0.002485509932160833,0.0030961776987681964,0.3022626472216599,-0.11515434899832856,-0.0025838737297353533,-0.0064527874675797126,-0.10161926045920022,-0.023839727613482374,-0.09683015904101464,0.6221164270292772,0.007575009973421094,-0.45728774038627557,-0.10243458464577969,-0.033205642741501465,-0.47376099093844026,0.6545156288759778,0.013632507290337947,-0.07467904489487927,-0.9487351642847963,-0.26363956916928366,-0.2463391555358051,-0.39668221422290767,0.027196488279854054,0.014629432547282733,0.013322744312207315,0.19518319223658884,-0.10684760518111529,-0.011898259706596902,-0.04957766812143581,-0.9670480695918103,-0.238879892994928,2.2717527393901453,0.0028901508022681904,0.05906852634511892,-1.5424283732190815,-0.950557950385334,-0.3386548453868977,-1.9128589840339871,0.03503128306932296,0.1169392827985068,3.004224729624309,-8.09250884737726,-7.699035755287355,1.382413678026353,0.9605233684372578,0.6872492118434153,-0.035583362532555896,0.2769362828374433,0.5567529982044732,0.18369908182420147,-0.024951478304965136,-0.07188608575385613,2.910738439142392,-4.890424992236433,-4.185774973233265,5.950826574436633,0.6671300505349791,-8.293419536887086,2.8437440657186244,-4.205980239706662,18.04817736603801,-13.204655922710856,-0.467985411798054,-9.884724675103335,30.954611090434216,5.1341022259538684,-2.49548062462164,-13.159814617212763,2.5064739575496757,0.4461019934799263,1.1702639279273734,12.957999884472882,-5.8112732910838085,-0.44392592891724836,-2.3107594725825753,11.758313328435193,27.160302807228422,-97.98406410950442,-191.20164505324297,21.437519780118333,-200.0,5.658367591370741,2.842154317089942,21.431573548254967,11.519332108592074,0.10780957626642866,0.9738884135908015
0.18,0.022337120543985726,-0.045264028780497276,-0.024322812955662916,-0.3303379141311364,0.10910481179409881,0.0028923678823000146,0.0037451026826881145,0.3086192206871416,-0.11819444798012024,-0.002963277851407729,-0.008004814988401257,-0.1280110379517264,-0.035407506896343005,-0.03244477433522021,0.6275588754703382,0.009947482809256144,-0.5110246691660464,-0.12839195349819293,-0.047150670318844394,-0.5149034008300257,0.6436823770376178,0.0167194989036749,0.0065514447862569936,-1.191510429706114,-0.49461064182790426,-0.20486674519501452,-0.3678665131697899,0.04781396463515651,0.013561931671306055,0.021630832797330614,0.21188578218272303,-0.10133663272638925,-0.012646804055745857,-0.05173425069405149,-0.8797259164175386,-0.385592642762021,2.1461794901931475,0.18141494803536717,0.07908242786116829,-1.791230959325694,-0.8652456284137753,-0.4648342525780976,-1.3714136630528468,-0.3611083946120027,0.10289972044456518,2.707682989371209,-2.6068503232822025,-7.450565711786055,0.6120178685619848,2.5610952161902034,0.7544022278226876,-0.0896090482892582,0.2776723727867889,-1.684420883678964,1.1383317476851929,0.06630017758977047,0.3015171295026058,3.856860120267811,-4.266490276082948,-8.224633634025281,5.875863538267822,0.6602094971349288,-5.772741660955944,3.255792886801146,-4.360843983167797,15.610547476450002,-15.325881624019779,-0.34888591762080523,-11.821801287840593,52.62143868680054,5.216681927734289,-8.18142456884718,-6.749569589684613,0.9166083542672799,0.2404202246129233,0.45820254930711446,2.0785751839840665,-2.9701699730764872,-0.03466546453263089,-1.1836605658568902,30.359509381678677,31.140483831732713,-116.7188086170989,-180.4821400560301,22.716529901118705,-161.5976736065391,5.654969542654643,1.3626772547472294,24.168831484874648,11.359735065761138,0.04908529038939714,1.005847044366456
0.21,-0.015754357638151674,-0.06680785717594186,-0.029917999229807566,-0.33906892383165893,0.11121819273819393,0.003218577688978864,0.0046439328021161425,0.3134598153573122,-0.12021004838899525,-0.0032830118132493114,-0.009285477092670457,-0.1509316413360115,-0.05081512742767828,0.024538440099951465,0.6382896010958402,0.012914144192512628,-0.5699570654406776,-0.15141910875248515,-0.06502045748103834,-0.5419963179928061,0.6190558317376399,0.01949249319115313,0.07714231330833674,-1.26971593940458,-0.7181276131814859,-0.18650620913815497,-0.2910336566840838,0.07044603146983713,0.010873660222628308,0.02996100398093428,0.16135315567235411,-0.06718668029583347,-0.010657798728052743,-0.04268873680897332,-0.7640201128095043,-0.5135873510445095,1.899440481172389,0.35769085418340185,0.09888871277521616,-1.9644132091543725,-0.7675718418097409,-0.5956595720731315,-0.9030972387593468,-0.8208848433325961,0.09243314291594101,2.3530289507359914,9.095517351570003,-1.2589231549947044,0.4967334814302049,2.743111743425425,0.49999846664793957,-0.09994154265017086,0.20742006843281668,-2.4988512320528926,1.130028536116817,0.10211091143245343,0.3702814097153995,4.358715565151215,-0.7694438460246147,-12.475311435649928,-0.7732138526905601,0.19831739363144152,3.7325361373689248,3.870956973802052,-1.7667703460573136,8.508846066799551,-14.789708362767051,-0.23139578227727498,-15.26582466336802,82.74249324773533,17.420315681984434,-9.769079742091867,3.4695147701654823,0.5044200176685592,-0.11166670612990869,0.3404109014302134,-11.029381741997401,1.6292060672577613,0.4695980855597845,0.6842411162945207,53.415343396561326,49.04989470836374,-136.0815709252234,-144.5715397034809,23.08954574289925,-30.263279969074823,4.249086200279745,-0.8949755932349686,22.80539747003836,11.265775760358194,-0.032315721958721226,0.8984412021833463
0.24,-0.045659870203876074,-0.08948471641088167,-0.03506612537066503,-0.3453311329630986,0.11378157230227219,0.003454840107272559,0.005729440983133706,0.3160514439186352,-0.12120862311536512,-0.0035108459548016855,-0.010232885928195797,-0.16992940071166054,-0.06691524742043573,0.0702938742430382,0.6483244342539207,0.01605929123003741,-0.6255301791916767,-0.17096240273035554,-0.08448033795468386,-0.561431273695467,0.5811185489111717,0.022057231274581812,0.13399393963338527,-0.99685041885748,-0.755895307831327,-0.1716042046952488,-0.20874030438132107,0.08544598546927532,0.007875413943123183,0.036183606033918785,0.08638761871076733,-0.03328582421232896,-0.00759447138507914,-0.031580294517511334,-0.6332586458549678,-0.536670666425248,1.5251811381028912,0.3344944386026851,0.1048382345841594,-1.8524371250333047,-0.6514431325956793,-0.6486626824548509,-0.6478318567553603,-1.2645760942156077,0.08549126944762277,1.8950542108349508,18.93353829825555,2.4031743080521437,-1.6923173253852042,3.378704684128788,-1.7267145835871602,-0.12763258123007137,-0.6421150845896619,-3.8603173364255916,-0.19396764628871566,0.15235816914159717,-0.04712461196022888,3.550376877907638,-2.6925372736677673,-18.194817616480577,-14.408396756918137,0.7044582311664271,18.58484830562702,4.535006661305001,-3.799804846822788,5.922407891411474,-17.339452007558343,-1.0218999243518478,-25.899556940244793,121.61569707832317,39.94498449712983,-10.416220248311006,10.520297245336959,-0.8746125174088241,-0.36630747923215573,-0.06795314623852175,-20.796657017800328,3.896436804492471,0.8641892381494977,1.7357052966864297,81.23076829615908,70.83107249498327,-180.4942411133365,-129.95124338232594,24.33488795413423,118.40153512143362,5.151596593964033,-0.2613214872888059,28.3297211947111,14.389207985275439,-0.026088121149771833,1.0904028097773908
0.27,-0.05852519830117048,-0.10999871876857455,-0.04173733710436918,-0.3485525078788223,0.11479090874112201,0.0035762332024591903,0.006237045588020574,0.3151687868771752,-0.12238176872339483,-0.0036015577441266223,-0.011222706914485342,-0.1857318208971927,-0.08543865095949416,0.09967397253129243,0.6453917103307749,0.019838450675611977,-0.6643769294676116,-0.1864241907130514,-0.1073600427904699,-0.5755360622958574,0.5275757592779009,0.02370225942609383,0.1675359647122135,-0.4288442699098136,-0.6838000785897627,-0.22237372445680492,-0.10737916385745742,0.03364454796166051,0.004046436506221042,0.016920153496228926,-0.029421901382000404,-0.039104853600990426,-0.0030237263108312254,-0.0329940328763182,-0.5267473395177387,-0.617446784635281,0.9793366096084739,-0.09775746410485903,0.12597198151915223,-1.2948916758644942,-0.5153929327565293,-0.7626568278595346,-0.47015962001301603,-1.7847596544423578,0.05483427171706733,1.118067502627607,22.654471237542044,24.674476402428468,7.242283561022333,1.7729652775359028,-0.9896748158457811,-0.07364194450919648,-0.5330588586555116,2.5754594548200345,0.815227015297225,0.03697492114537404,0.971106173411286,12.46990562509427,18.047444183049436,-22.386419640482814,-4.591088730918273,-3.6256089557300584,15.420241072981298,16.468604479924146,25.389487281979484,10.704722895287663,54.93091879293729,-1.955535386120971,-37.95806246362606,140.0,51.92398771603258,-1.7677440020160644,12.422408145437588,2.0916626930531965,-0.4451238774363708,1.156469560598666,-15.796445517086072,8.491179007283872,0.6964575602081955,3.637117002318339,126.40315417451517,88.05980993790931,-264.8239627537825,-146.04929027105575,19.038740058949053,200.0,16.14077956539799,6.249353880509197,91.22152564084257,47.00347205982844,0.43547641786807195,5.171153452578662
