Cx,Cy,Cz,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.06636141420425207,3.0110064272149006e-05,1.092375452433835,0.11216814241496129,0.11044930982474357,-0.0002561178486999438,4.703121573129423e-06,-1.8366083722132907e-06,-5.3839960891766065e-06,0.9999999999727603,0.11216814241496066,-0.11043069017525643,-0.0002561178486999577,4.7031215731238906e-06,-1.8366083718524683e-06,-5.3839960890720115e-06,0.9999999999727603
0.06693314202445434,0.0026103148667786747,1.0944802991924127,0.1121734791330611,0.11044973947349475,-0.0002318658577785404,6.957098191841088e-06,-1.921457463555465e-06,2.4634868824957848e-06,0.9999999999709193,0.11217410143532136,-0.1104303166231945,-0.00021892417889564364,7.3832516832971e-06,-1.9201222089131775e-06,3.894039457363528e-06,0.9999999999633188
0.06785734368436001,0.0053752181270838055,1.0967643182208153,0.11216706522323554,0.11045051815088301,-0.00025646167143485166,3.894594818347377e-06,-2.8047722178337605e-06,-9.006002350919769e-06,0.9999999999479289,0.11430481696909447,-0.11024539446959145,0.0022128082636687224,9.836540431469129e-05,-3.484693437471902e-05,2.215806937816453e-05,0.9999999943094794
0.06899952866498324,0.008296536199868447,1.0989738213756854,0.11216278849083886,0.11044896044462486,-0.00027769075789201014,2.9462478744683348e-06,-1.9924761964963546e-06,-1.2071579893899391e-05,0.9999999999208136,0.1169736902257155,-0.11021733588606475,0.004643197841066343,8.44537905132093e-05,-0.00017865654268464,2.4381449494598402e-05,0.999999980177471
0.070285116424453,0.011325623251891664,1.1010924059747007,0.11215961055572124,0.1104471626561561,-0.00029701758094476116,2.063614023295956e-06,-9.165735397985258e-07,-1.5110830438414743e-05,0.9999999998832824,0.11946639726526323,-0.11020734839640434,0.007019141648232433,5.841726687220935e-05,-0.00019796807220448395,3.237117373324981e-05,0.9999999781740863
0.07167057969252937,0.01441786873834822,1.103121436583738,0.11215713926556307,0.11044545955472858,-0.00031467664141227036,1.1561712964581227e-06,1.6374643870029337e-07,-1.847712374796699e-05,0.9999999998286165,0.12176255147966854,-0.110187992712202,0.009330847254362798,3.709432332498908e-05,-0.00016349752525882263,3.9113694085883606e-05,0.9999999851813449
0.07312781369146658,0.017534417531585262,1.1050628871054649,0.1121551672691917,0.11044384453576252,-0.00033099109248289904,2.298931752196989e-07,1.155868085603179e-06,-2.2041984876358474e-05,0.9999999997563812,0.12393096316386587,-0.11016319604888128,0.011578017799017598,1.9468922955301003e-05,-0.00012302034248000862,4.178380043047356e-05,0.9999999913705354
0.07463634069254249,0.020642118875121032,1.1069187568977648,0.11215357393648615,0.11044228894294136,-0.0003461795127030487,-6.955576703477383e-07,2.040994662490806e-06,-2.5681337468918868e-05,0.99999999966791,0.12602435710240173,-0.11013898322107903,0.013762320058890068,3.944643473044648e-06,-9.094128202292527e-05,4.111202851185315e-05,0.9999999950119624
0.07617998666815078,0.023712895989032232,1.1086911484990278,0.11215228036424893,0.11044077747468566,-0.0003603933491556771,-1.5942097862440281e-06,2.8301066034648717e-06,-2.9286398093612004e-05,0.9999999995658783,0.1280749563723354,-0.1101188438118477,0.01588514354664501,-9.903198689927527e-06,-6.819992530628496e-05,3.854943033433671e-05,0.9999999968823193
0.07774550589458137,0.02672299240016612,1.110382257202835,0.11215122903649437,0.11043930369429114,-0.00037374982251558997,-2.442462932811489e-06,3.5413304995521487e-06,-3.2768170136986675e-05,0.9999999994538704,0.13010179916907816,-0.1101044700717477,0.017947052177551076,-2.2029955876034384e-05,-5.245963637387913e-05,3.5190219240935255e-05,0.9999999977621583
