Cx,Cy,Cz,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter
0.08435783520600632,-0.0001270229009275062,0.7018555410497167,0.10212828788056788,0.1104482306464571,6.053035101563631e-05,0.10212828788056723,-0.11043176935354292,6.053035101562243e-05
0.08756653351126287,0.0006465621866650024,0.7012849177392587,0.10213194834826718,0.11044754285347817,7.362418406897664e-05,0.10213589714059484,-0.11042852055403822,0.00017633687482924987
0.092039843891964,0.0008998204372843126,0.7018713405586374,0.10213248238599236,0.11044798765013153,8.276410748553342e-05,0.10743740183222891,-0.11048005083480572,0.002703246721763586
0.09665399945406468,0.0010053364736366877,0.7023353968220196,0.10213277447101347,0.11044832755251445,9.242583077391509e-05,0.11347849178862283,-0.11060608102418046,0.005177411143693494
0.10092031878045876,0.0010196504477228564,0.7027409589891014,0.10213294429871492,0.1104484847077314,0.00010033545177223768,0.11886939807312197,-0.1105963989439135,0.0077040303555284545
0.10470091721937268,0.0009774730146291624,0.70312977249706,0.10213306997652971,0.11044854279642709,0.00010614464078834152,0.12359550344296008,-0.1105391954109774,0.010340425259629693
0.10800946464751705,0.0009076327119271709,0.7035179059199144,0.10213318387462848,0.11044855796830247,0.00011030252857696654,0.12789807102238127,-0.1104882950224623,0.013085041897014066
0.11091722587389057,0.0008318494616738467,0.7039040468694374,0.10213330279868846,0.11044855091018646,0.00011346713340264214,0.1319760895937097,-0.11045319842752943,0.015896672297859113
0.11351087458655107,0.000763575848001167,0.7042758440251083,0.10213344167573127,0.11044852633628618,0.00011629488710568348,0.13595418002768367,-0.11043016506633214,0.01870828948028881
0.11587432731043894,0.0007086911498166214,0.7046134903086106,0.10213362135890967,0.11044848455958874,0.00011940584970501766,0.13990398031458284,-0.11041838385014438,0.02143401622211623
0.11808191238234617,0.0006668635807104774,0.704891144597207,0.10213387484276838,0.11044842530369116,0.0001234231461132579,0.14386320213033227,-0.1104234046937049,0.02397178627323439
0.12019667975212346,0.0006330973875609127,0.705076532367066,0.10213425303888757,0.11044834938562081,0.0001290397340942412,0.14784494807485887,-0.1104524970494886,0.026203073137715693
0.12227035107517657,0.0006003201993224153,0.7051283865739681,0.10213483020578434,0.11044826442742885,0.00013709250126762995,0.1518402979364862,-0.11049959433955793,0.027989145390147158
0.12434309470165236,0.0005646251430821986,0.7049910667042825,0.10213570841543908,0.11044820473724468,0.00014863331045264494,0.15582456572180217,-0.1105211499883696,0.02916249087185996
0.1264436145636816,0.0005322580099427482,0.7045885464707518,0.10213702454064405,0.11044827945998409,0.00016498095166042615,0.15979951042585608,-0.11045820729936434,0.029518003532325338
0.12859152647840516,0.0004952480334978991,0.7039528987600899,0.10213886857452018,0.11044844181799479,0.0001865836644404789,0.1637378027046772,-0.11037382526292641,0.029155198194249096
0.13079897447918717,0.0004556384911422573,0.7031019672742659,0.1021413107538721,0.11044865671853456,0.0002137021738470718,0.16765307254464298,-0.11031424902538348,0.02815446104261579
0.1330731467521511,0.0004188085857899301,0.7020449155499531,0.10214441084855141,0.11044890624973526,0.0002464601030630481,0.17156103035431305,-0.11028735135741558,0.02658411347885288
0.1354183920976357,0.00038889633200859153,0.7007868669101404,0.10214821909325532,0.11044918304749303,0.00028487403943698586,0.17547434408733487,-0.11028682936927918,0.024506355521728918
0.13783598632590235,0.00036761861081135305,0.6993312585137386,0.10215277244385504,0.11044948562365269,0.00032887025555065896,0.17940426502902534,-0.11030611560455246,0.021979257831555882
0.14032051522323752,0.0003551534490466669,0.6976809306063951,0.10215808194298753,0.1104498181298298,0.0003782854536266145,0.18335974346001574,-0.11034059522885586,0.019056709373341016
0.14285172574768099,0.0003524142496625361,0.6958386877569542,0.10216410492094911,0.11045019587463795,0.0004328513550411889,0.18734122324810493,-0.11038183051034958,0.015787575503571058
0.1453801635945704,0.00036500107667612134,0.6938076313493495,0.10217069496218575,0.11045066049400254,0.0004921685922057162,0.19132712778995406,-0.11040482661876648,0.012214426606070417
0.14780455860215347,0.0004090065758973869,0.6915918752393955,0.10217752712337938,0.11045130797526816,0.0005556930997729914,0.19525014432783788,-0.11036029722227447,0.008372907340362348
0.14993937919994366,0.000515479815060541,0.6892011436023016,0.10218401916005485,0.11045230946884513,0.0006227939931462562,0.1989570375720397,-0.1102419921008308,0.0042988419849714354
0.15147166263837644,0.0007172980449793641,0.6866935365900154,0.10218917308646487,0.11045372305370255,0.0006921310139648279,0.2021192618919372,-0.11043166215920606,0.00010332357760395317
0.15168120170132438,0.0007327834239218133,0.686685745415083,0.10218502197699773,0.11045358260903303,0.0006937185286311487,0.20212065762909803,-0.11042781809992985,0.00012287468156273185
0.15168120170132438,0.0007327834239218133,0.686685745415083,0.10218502197699773,0.11045358260903303,0.0006937185286311487,0.20212065762909803,-0.11042781809992985,0.00012287468156273185
0.1536316424852451,-0.0002019935045402048,0.6862163789605027,0.10219280606100138,0.11044882575170097,0.0007153002459751173,0.20212896736213112,-0.11042195943127325,0.0001512978380907165
0.1574662875666497,-0.00044357446192887635,0.6884597557235644,0.11106870423572593,0.11041508746160604,0.005741026290020115,0.202122763631605,-0.1104221534065779,0.00020101492800718435
0.16209718793031958,-0.0005765849699130017,0.6904847257223601,0.12161087415990862,0.11060113994878064,0.010458512728863209,0.2021150627577693,-0.11042064171429032,0.0002527491317832198
0.16688601084369056,-0.0006352288045747371,0.6923136106871655,0.13148149228153408,0.11057530731873538,0.015009636377591506,0.202107384830357,-0.11041803883164827,0.00030310588895172963
