Cx,Cy,Cz,CoPx_FL,CoPy_FL,CoPx_FR,CoPy_FR,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.2127839462255668,-0.01134703623582626,1.1044970984515197,0.21210360346483353,0.10432650753165093,0.21253636362114228,-0.11339295205864795,0.2121656327429811,0.11043747665148018,-0.0002471781121641675,6.448063010766492e-06,2.53963154208756e-07,2.703002231077063e-05,0.9999999996138683,0.21211393948360743,-0.11037408451018527,-0.00042132070185976755,-1.287444219255906e-05,3.566344243596933e-05,-4.026666979838229e-05,0.9999999984704817
0.21285429534421002,-0.011016424820659312,1.104436573810435,0.2121043902451634,0.10447124646761244,0.2125192854895792,-0.11325757187600623,0.21216563537929373,0.11043745779369028,-0.0002472806886676532,6.463629327801834e-06,2.5711058772559327e-07,2.7086219055316588e-05,0.9999999996122463,0.2121139369200469,-0.11037409691738893,-0.0004213637221934796,-1.286643897382914e-05,3.5666740482183884e-05,-4.024101085323086e-05,0.9999999984715
0.21292767283611794,-0.010709401915461138,1.1043785330655282,0.21209719215640507,0.10460901560494239,0.21249586739731685,-0.11312846887016506,0.21216563800542115,0.11043744086470487,-0.0002473715001314464,6.477316221398348e-06,2.5991727500547096e-07,2.7134972742993924e-05,0.9999999996108353,0.2121139348722287,-0.11037410820960077,-0.0004214021137556173,-1.2859332769017579e-05,3.56696754826911e-05,-4.0218695280075376e-05,0.9999999984723844
0.21300466379906735,-0.010425532935772829,1.1043229345906775,0.21208140751308607,0.10474250414466882,0.21246545920389578,-0.11300299449050102,0.21216564059664755,0.110437425741438,-0.00024745143301128925,6.489281168603399e-06,2.624078858632024e-07,2.7176930440964e-05,0.9999999996096177,0.21211393328301797,-0.11037411844523506,-0.00042143618369104574,-1.2853051392151465e-05,3.567227485990913e-05,-4.019945342544439e-05,0.9999999984731461
0.21308592781612673,-0.010164480805438235,1.1042697347121382,0.21205616316906814,0.10487191394663482,0.2124271190026944,-0.11288122815459171,0.21216564312904918,0.1104374123088326,-0.00024752130946610607,6.4996721142376606e-06,2.6460531362492193e-07,2.7212694544655353e-05,0.999999999608577,0.21211393209919194,-0.11037412767889156,-0.00042146621897673486,-1.28475255453381e-05,3.567456390714675e-05,-4.018302821904669e-05,0.9999999984737957
0.21317220978300594,-0.009926015234074896,1.104218884920468,0.21202051627628057,0.10499848861221531,0.21237988881985817,-0.11276213413313285,0.2121656455819384,0.11043740046119722,-0.0002475818843057642,6.508626060055508e-06,2.6652739985913893e-07,2.724283145936986e-05,0.9999999996076977,0.21211393127261496,-0.11037413595961608,-0.0004214924591812441,-1.2842694313940336e-05,3.567656252351379e-05,-4.01691854330024e-05,0.9999999984743426
0.21326435109288122,-0.009710025694728293,1.1041703323486411,0.21197346442289738,0.10512449792468373,0.21232272279665426,-0.11264358180272906,0.212165647934937,0.11043739010000991,-0.00024763385936367455,6.516272619256747e-06,2.681933301079072e-07,2.7267865793691577e-05,0.9999999996069652,0.2121139307580754,-0.11037414333290693,-0.0004215151425701613,-1.283849594308e-05,3.5678291731436805e-05,-4.015769401892631e-05,0.9999999984747963
0.213363302037746,-0.009516537601838484,1.1041240190971058,0.21191356925707178,0.10524921650961234,0.21225419242924012,-0.11252676588646295,0.21216565016959302,0.11043738113518199,-0.00024767788400391344,6.522733989600993e-06,2.6962073279773246e-07,2.7288290523459087e-05,0.9999999996063655,0.21211393051397384,-0.11037414983891537,-0.00042153448457009357,-1.283487172434396e-05,3.567977075712639e-05,-4.0148333564396627e-05,0.999999998475166
0.21347013771699663,-0.009345732650855693,1.1040798825628695,0.21183966776105578,0.10537709695944425,0.21217305381875193,-0.11240724591298105,0.21216565226724984,0.1104373734813177,-0.000247714562164561,6.528125324645167e-06,2.708265245286891e-07,2.73045683954831e-05,0.9999999996058857,0.21211393050056038,-0.11037415551561072,-0.0004215506921657064,-1.2831764890294438e-05,3.568101794490834e-05,-4.01408907615079e-05,0.9999999984754602
0.21358607308373836,-0.009197973343249868,1.104037853188068,0.21175012131190338,0.105509783561599,0.21207762595372315,-0.11228372570628598,0.21216565421358513,0.11043736706540593,-0.00024774445331381123,6.53255770835159e-06,2.7182638044946513e-07,2.731714354582235e-05,0.999999999605513,0.21211393068245787,-0.11037416039058456,-0.00042156394041814593,-1.2829120919527938e-05,3.568205019070454e-05,-4.0135160269956365e-05,0.9999999984756872
0.21371248182275135,-0.009073834722955174,1.103997854232437,0.2116432610590396,0.10565087611071268,0.21196616180835978,-0.11215281687802185,0.21216565599297982,0.11043736181676554,-0.00024776808190633826,6.536136991672603e-06,2.7263557367617435e-07,2.7326439212632466e-05,0.9999999996052354,0.2121139310245073,-0.11037416449018644,-0.0004215744027832591,-1.2826886749542834e-05,3.5682883893237365e-05,-4.0130941126442725e-05,0.9999999984758554
0.2138509159079503,-0.008974141942977411,1.1039598011155425,0.21151700838188625,0.10580189815175944,0.2118364453048015,-0.1120135577027582,0.21216565759211592,0.11043735767295773,-0.00024778594052908554,6.538966936962549e-06,2.732687514644561e-07,2.733286863172661e-05,0.999999999605041,0.21211393149352892,-0.11037416783274297,-0.00042158223462138156,-1.2825010639444387e-05,3.5683534704125456e-05,-4.012803724692786e-05,0.9999999984759729
0.21400312905719437,-0.008900021035562174,1.1039235937657432,0.211369754149789,0.10596915785327876,0.21168674782637614,-0.11185976189205293,0.2121656589993999,0.1104373545777263,-0.00024779849467873594,6.541148601644678e-06,2.737394174014561e-07,2.733684813338308e-05,0.9999999996049179,0.21211393205646784,-0.11037417042891978,-0.0004215875651792239,-1.282344518213641e-05,3.568401706002876e-05,-4.012625544939962e-05,0.9999999984760471
0.21417109221760888,-0.008852955540052413,1.1038891187421986,0.21120020727373276,0.10615779117858914,0.21151548628122321,-0.11168675084247433,0.2121656602033389,0.11043735247924338,-0.0002478061966824513,6.542786741267488e-06,2.740625025505135e-07,2.7338787823378208e-05,0.999999999604854,0.21211393267969783,-0.1103741722827035,-0.000421590537671962,-1.2822139121325527e-05,3.568434679816051e-05,-4.012540579192353e-05,0.9999999984760862
