[[ 11.19099995]],[[ 36.29104839]],[[-1.37377424]],[[ 7.94398177]],[[ 24.30644783]],[[ 105.05000076]],[[ 0.68237873]],[[ 0.35033033]],[[ 2.34807835]],[[ 9.95415795]],[[ 0.01857521]],[[ 0.54100466]]
[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]]
[[-5.9583759]],[[ 7.17763436]],[[ 6.16170519]],[[-34.52925111]],[[-1.13593958]],[[-28.9733632]],[[-5.52647532]],[[ 7.3372958]],[[-11.46853418]],[[-16.27803108]],[[-1.13730635]],[[-26.6215355]]
[[ 18.0471407]],[[ 1.49716672]],[[-70.72824433]],[[-16.1132172]],[[-0.01025722]],[[-2.80601092]],[[ 49.47240509]],[[-42.75355394]],[[ 69.1002762]],[[-48.88088311]],[[-29.29200687]],[[-91.13949828]]
[[ 3.06466102]],[[ 0.94580896]],[[-11.9000531]],[[ 0.57141508]],[[ 0.02129031]],[[-0.59540756]],[[ 10.63840736]],[[-25.59261031]],[[ 9.43076818]],[[-49.69220542]],[[-23.66567777]],[[-59.4614789]]
[[-0.57983596]],[[-0.32958213]],[[ 2.39129365]],[[ 5.64972684]],[[-0.01340014]],[[-0.0178021]],[[-0.64830054]],[[-23.78586792]],[[-3.90132205]],[[-44.46328014]],[[-22.42476195]],[[-33.30199643]]
[[-0.81665037]],[[-0.15991205]],[[ 3.21933974]],[[ 5.73800248]],[[-0.00567633]],[[ 0.00797555]],[[-2.66835338]],[[-23.5484478]],[[-4.03283506]],[[-36.81973091]],[[-22.43873653]],[[-17.77636233]]
[[-0.34346291]],[[-0.02350405]],[[ 1.35913479]],[[ 5.00234964]],[[-0.0005086]],[[-0.0598999]],[[-2.31932102]],[[-23.50498418]],[[-1.8253525]],[[-31.35527323]],[[-22.62141834]],[[-9.46652815]]
[[ 0.10710891]],[[-0.00260917]],[[-0.38564871]],[[ 4.43177505]],[[ 0.00034898]],[[-0.11285972]],[[-1.61773798]],[[-23.51863187]],[[ 0.03077773]],[[-28.08306499]],[[-22.77481953]],[[-5.18288366]]
[[ 0.44218918]],[[-0.01133267]],[[-1.67608241]],[[ 4.07296624]],[[ 0.00013085]],[[-0.14364916]],[[-0.98844974]],[[-23.55139863]],[[ 1.31548385]],[[-26.04908343]],[[-22.8605722]],[[-2.78741323]]
[[ 0.69287099]],[[-0.01425093]],[[-2.63475194]],[[ 3.83161241]],[[ 0.00011717]],[[-0.16091986]],[[-0.48306634]],[[-23.56298253]],[[ 2.22569373]],[[-24.54249285]],[[-22.85973621]],[[-1.09116859]]
[[ 0.88706844]],[[-0.00565198]],[[-3.3683933]],[[ 3.64487284]],[[ 0.00050002]],[[-0.17049096]],[[-0.09589363]],[[-23.52638247]],[[ 2.90334293]],[[-23.21144167]],[[-22.75657951]],[[ 0.45642654]]
[[ 1.03779906]],[[ 0.01012845]],[[-3.92761131]],[[ 3.48303967]],[[ 0.00112305]],[[-0.17488666]],[[ 0.18516589]],[[-23.42205143]],[[ 3.41083797]],[[-21.93248804]],[[-22.53484775]],[[ 2.03725463]]
[[ 1.14774447]],[[ 0.01514978]],[[-4.33189244]],[[ 3.33091674]],[[ 0.00138647]],[[-0.17508873]],[[ 0.37703191]],[[-23.21533384]],[[ 3.76797181]],[[-20.69433751]],[[-22.17838854]],[[ 3.64304603]]
[[ 1.21235146]],[[-0.02900609]],[[-4.59224508]],[[ 3.17396212]],[[  1.98644591e-05]],[[-0.1719449]],[[ 0.50600009]],[[-22.83999137]],[[ 3.98183876]],[[-19.52444387]],[[-21.68970387]],[[ 5.18530914]]
[[ 1.2385825]],[[-0.12376434]],[[-4.75623818]],[[ 2.98217089]],[[-0.00279259]],[[-0.16868004]],[[ 0.61581903]],[[-22.27543614]],[[ 4.09662989]],[[-18.43753316]],[[-21.16578378]],[[ 6.58057955]]
[[ 1.32374728]],[[-0.12904299]],[[-5.08868551]],[[ 2.88299799]],[[-0.00293235]],[[-0.16576577]],[[ 0.82157061]],[[-22.207105]],[[ 4.37736431]],[[-17.68805077]],[[-21.00828034]],[[ 8.00748292]]
[[ 1.50707568]],[[-0.04113502]],[[-5.72005496]],[[ 2.82703015]],[[-0.00014018]],[[-0.16800906]],[[ 1.18076658]],[[-22.65133728]],[[ 4.95804389]],[[-17.14860829]],[[-21.21967289]],[[ 9.60937471]]
[[ 1.69682893]],[[ 0.00065136]],[[-6.41479853]],[[ 2.67925535]],[[ 0.00134034]],[[-0.17622351]],[[ 1.58969966]],[[-22.93710074]],[[ 5.60698564]],[[-16.51856694]],[[-21.39903139]],[[ 11.28830059]]
[[ 1.87225999]],[[-0.00197858]],[[-7.08963919]],[[ 2.48532849]],[[ 0.00115417]],[[-0.18581732]],[[ 1.99055491]],[[-23.08627111]],[[ 6.2433088]],[[-15.80645003]],[[-21.4413716]],[[ 13.11657211]]
[[ 2.03471999]],[[-0.00994956]],[[-7.71733897]],[[ 2.26672329]],[[ 0.00062818]],[[-0.19548628]],[[ 2.33758318]],[[-23.16896371]],[[ 6.84725045]],[[-14.95079494]],[[-21.32759492]],[[ 15.26805664]]
[[ 2.18279179]],[[-0.00459481]],[[-8.27432843]],[[ 2.03958148]],[[ 0.0004492]],[[-0.20483241]],[[ 2.56512471]],[[-23.23433964]],[[ 7.41429612]],[[-13.78016161]],[[-21.04853413]],[[ 18.13315445]]
[[ 2.30176949]],[[ 0.01580253]],[[-8.7012026]],[[ 1.83195116]],[[ 0.00070016]],[[-0.21291377]],[[ 2.54400111]],[[-23.32646803]],[[ 7.92395542]],[[-11.9556184]],[[-20.58355091]],[[ 22.48445384]]
[[ 2.34506806]],[[ 0.03507595]],[[-8.8372207]],[[ 1.70993577]],[[ 0.00080322]],[[-0.2159809]],[[ 2.01691127]],[[-23.49539488]],[[ 8.28548762]],[[-8.89578133]],[[-19.89774651]],[[ 29.69204725]]
[[ 2.17415577]],[[ 0.01647892]],[[-8.20220246]],[[ 1.86325393]],[[-0.00042682]],[[-0.19822222]],[[ 0.44176307]],[[-23.79353827]],[[ 8.13035295]],[[-3.75086618]],[[-18.96583054]],[[ 41.95152071]]
[[ 1.40171726]],[[-0.01378875]],[[-5.32582283]],[[ 2.88084292]],[[-0.00043312]],[[-0.09930645]],[[-3.44476836]],[[-24.34146002]],[[ 6.13834711]],[[ 4.38112268]],[[-17.90415126]],[[ 62.40297186]]
[[-0.89461215]],[[ 0.38578004]],[[ 3.72646694]],[[ 6.46738034]],[[ 0.0250965]],[[ 0.27184834]],[[-12.56451336]],[[-25.91463097]],[[-1.50488597]],[[ 15.45202417]],[[-17.45514807]],[[ 95.01306453]]
[[-6.88853803]],[[-0.89991573]],[[ 25.10417102]],[[ 19.02860168]],[[-0.03002807]],[[ 1.43122198]],[[-29.45852725]],[[-35.13939071]],[[-21.91226922]],[[ 18.44144631]],[[-19.44784514]],[[ 148.22988752]]
[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]],[[ 0.]]
