t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.8793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2284176756020226,1.0976518762056386,2.3690289544223626,-3.1490759530628623,2.9399095939446056,0.17033657147624126
0.03,0.001108318214261681,0.0009909902667545765,0.881429258156574,-0.0014170832898413217,0.001322958487289278,7.66514090754371e-05,0.9999981178884049,0.03685253026806068,0.03292955628616916,0.07107086863267087,-0.09447227859188587,0.08819728781833816,0.005110097144287238,0.21372980127636465,-0.2691747139381384,-0.21967622768338657,-3.0353626919060446,-4.1275067527803335,1.0256859765521398
0.06,0.002409805744272904,0.0017483684186629642,0.8833567068376345,-0.004199312695029187,0.0007890853761770555,0.000619298577187785,0.9999906797497818,0.04326442430635162,0.024854314868025005,0.06448058180216927,-0.1855331593490672,-0.035627914765071836,0.03588067644085143,0.22701504161750918,0.1386700447764948,-0.08769812841859093,-0.08627851428958522,-0.5317054038168925,0.30261784175518613
0.09,0.003911849174566639,0.002642437370694221,0.8852010841868578,-0.007020074654647477,1.6488453699530072e-05,0.0012991522628271889,0.9999745149169413,0.0500748755548769,0.029014416211319848,0.06184963794961154,-0.18812151477775474,-0.051579076879578606,0.044959211693507015,0.09717931086388054,0.10526161953515789,-0.06445263006574953,-0.02601099840677179,0.013079408428846584,0.05709146145340327
0.12,0.005496995932837236,0.0036430482235877554,0.8869831428120791,-0.00985248480896205,-0.0007500578843562013,0.002004643503387585,0.9999491723886187,0.052990254880793314,0.03217226479737458,0.05991605904763905,-0.18890184472995789,-0.05118669462671321,0.046671955537109115,0.00035841834024408215,0.07783851619153381,-0.03771917957641824,0.01762576528483706,0.10555977057253907,-0.03706497773760731
0.15,0.0070781604635912826,0.004725223809797058,0.8887263398788384,-0.012676957504851363,-0.0014692464805981618,0.0026929762107713476,0.9999149383534219,0.053001007431000634,0.03450742028312059,0.058784483660346505,-0.18837307177141277,-0.048019901509537034,0.045560006204980893,-0.034590825907009126,0.05006370142731775,-0.04707143117307755,0.039107971219500826,0.09166574731956789,-0.06711929258780458
0.18,0.00862417596480179,0.00586299974026157,0.8904218882469583,-0.015483787476375205,-0.0021475115469438617,0.0033505869205629085,0.9998721988768514,0.05196328265379036,0.03600933132594013,0.05737234072515418,-0.18719983263482776,-0.04526992908995,0.043546427427346754,-0.03822257094545645,0.02383999934105141,-0.04850990347489326,0.06745828103409934,0.05622085386325004,-0.06727605755141752
0.21,0.010132126650452204,0.007031941839099621,0.8920685840477034,-0.018260151050341053,-0.002800828994093572,0.003977571815467871,0.9998214346387145,0.05081660552542667,0.03672453130617167,0.05591704362090738,-0.18517608420380477,-0.043583303474052495,0.04152814570080423,-0.029879406034582168,0.0007397590794635533,-0.05456735208374042,0.08946651547218387,0.030380564846451463,-0.06251565073804244
0.24,0.011609921146500885,0.008210311968559638,0.8936614931962377,-0.020996084378407574,-0.0034408077256481485,0.004576259493883507,0.9997631635202482,0.049920223344389204,0.03674672407855557,0.05428002305839517,-0.18249208873963926,-0.04267188652865895,0.03965267617866296,-0.01930013252055396,-0.01876046782082863,-0.057187363942094116,0.11137387936293397,0.013061320898742679,-0.056923162917485115
0.27,0.013067481778735762,0.009379711582619948,0.8951990801527177,-0.023681680184513117,-0.004075190886774472,0.005149349843655875,0.9996979819120685,0.04934121936877259,0.03618391004393071,0.052564402140132346,-0.17915087235875124,-0.04228004690169667,0.0379449812911384,-0.009549451811737164,-0.03484855097221118,-0.06046701984243619,0.13053193072510405,0.003934509834369493,-0.05341062185748768
0.3,0.014513999278795845,0.010524779122255846,0.8966794213560749,-0.0263082815898442,-0.004708039113200331,0.005698570134319888,0.9996265477596732,0.04905473581442047,0.03513845351476438,0.05075039154485926,-0.17523491443699812,-0.042162011606665585,0.03634266263541377,-0.0013898866685311262,-0.04801865344511924,-0.06277142540802672,0.14894033500541592,-0.00018467256224141693,-0.051214118834728595
0.33,0.015957234204117918,0.011632804868925817,0.898101600710491,-0.028867580931317,-0.005341159889825011,0.006225028189600375,0.999549590468749,0.049013039214364534,0.0336978939114108,0.04886724878261846,-0.17076670438683564,-0.042167551783532826,0.03480623907037191,0.005465778654565767,-0.058712174182546484,-0.06528227250512586,0.16645064970680234,-0.0007365818659295087,-0.05018128087989737
