Cx,Cy,Cz,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.20336433600514264,-0.07799669390784097,1.1312804971230945,0.16540150066718512,0.11091708211733814,0.03453883264924465,1.6624001951169687e-05,2.3188739829743735e-05,6.80379440949005e-06,0.9999999995698169,0.23075732765256557,-0.11040403791711662,0.0004323413020708572,-1.6301893937791969e-06,1.5303866766501915e-05,-2.2861427300782335e-07,0.9999999998815412
0.2044013778393112,-0.07976371080733474,1.1316038268375472,0.16734401609918897,0.11107078015468477,0.03538139710037709,8.33991203675743e-06,1.9627094432377706e-05,1.0281888163931902e-05,0.9999999997197532,0.23075714695192462,-0.1104034779896489,0.0004314152696923701,-1.6015367070806063e-06,1.5768758456349157e-05,-2.1328406964093025e-07,0.9999999998743682
0.20538605948695776,-0.08136657619838497,1.1318692244654167,0.16928432562779985,0.1112343257981543,0.03608025663629627,2.2663657918730607e-06,1.67422257215032e-05,1.443882317562635e-05,0.9999999997530412,0.23075699481542247,-0.11040297875484055,0.00043053759305802797,-1.5734897533982093e-06,1.6172116353579407e-05,-2.2695192802076635e-07,0.9999999998679678
0.20632061452540293,-0.0828087200023122,1.1320708562830821,0.1712250703498683,0.11139994037163144,0.03661759127806892,-9.478247710981681e-08,1.5079443608871373e-05,1.915469453446189e-05,0.9999999997028498,0.23075688171310213,-0.11040255067229894,0.0004297170995190003,-1.5485911196958663e-06,1.6510744336327935e-05,-2.824177097288267e-07,0.9999999998624589
0.20720731218500907,-0.08409440057426304,1.1322014633711763,0.17317198557192573,0.11155130277002719,0.036972186507522084,1.8219706706674486e-06,1.5001129259827779e-05,2.382285308677969e-05,0.9999999996020593,0.230756816779835,-0.1104022031942346,0.00042895828896119537,-1.5297145302835588e-06,1.6782326853520625e-05,-3.946667709175432e-07,0.9999999998579292
0.2080486139862476,-0.08522887837794421,1.132252077573134,0.1751362823038464,0.11165886330389807,0.03711872372556299,4.953727086525726e-06,1.549008045434809e-05,2.7125988811510474e-05,0.9999999994998496,0.23075680633419565,-0.11040194381218221,0.00042825691069758864,-1.5201597522739431e-06,1.6986285141631958e-05,-5.819655162458852e-07,0.9999999998544086
0.20884726580632737,-0.08621796306174838,1.1322124089868144,0.17713544106975834,0.11168506766168106,0.03702896688794692,2.038256472530794e-06,1.2364291310864415e-05,2.7320168273693556e-05,0.9999999995482893,0.2307568517379014,-0.11040177631230105,0.00042759010431245303,-1.5239095641117794e-06,1.7124922397035303e-05,-8.694110836423789e-07,0.9999999998518296
0.20960574484484862,-0.08706554698886802,1.1320823768836432,0.1791677907439049,0.11162844672390092,0.036703404416091004,-7.141149377030257e-06,6.148209750759911e-06,2.43294562626264e-05,0.9999999996596408,0.23075693758680396,-0.11040170117738933,0.00042685966066470515,-1.5505803429586633e-06,1.7207081480020674e-05,-1.3201005732494477e-06,0.999999999849885
0.21032630143866132,-0.08777358951754913,1.1318721627019044,0.18121404434713662,0.11152468373503613,0.03617110712688519,-1.5409883889834596e-05,1.3140698091125132e-06,1.987547095249384e-05,0.9999999996828876,0.23075701751290967,-0.1104016928692065,0.00042592702876563526,-1.6087310663809848e-06,1.7259074203298866e-05,-1.984515849635297e-06,0.9999999998477993
0.21101148805244171,-0.08834460340579703,1.1315907924895867,0.18326265088238236,0.11140256465745296,0.03545820878845346,-1.960299171031649e-05,-1.263396433738107e-06,1.533330187327892e-05,0.9999999996895085,0.23075704752900475,-0.11040171392031926,0.0004247299235046881,-1.6987116943603003e-06,1.730910853840015e-05,-2.853829607183607e-06,0.9999999998446827
0.21166401226003395,-0.08878217340089734,1.131245710573974,0.18530823448757713,0.11127833606270802,0.03458673374064704,-2.0179212377469466e-05,-2.156758708488225e-06,1.1348200567562992e-05,0.9999999997296832,0.23075699466580238,-0.11040173479875055,0.00042324323905235106,-1.81928924293831e-06,1.7379111425488296e-05,-3.907517036850181e-06,0.9999999998396942
0.21228655744802225,-0.08909087602809414,1.1308430222561823,0.18734873954387374,0.11116005162276404,0.033575274184307044,-1.858078310768598e-05,-2.0673316511575073e-06,8.05557407840139e-06,0.9999999997927944,0.23075683637339667,-0.11040173393481266,0.00042146218646094136,-1.96886478006204e-06,1.7485084320736706e-05,-5.124629245473993e-06,0.9999999998320671
0.2128816514762566,-0.08927606023958269,1.1303877528671429,0.18938368545004575,0.11105132843381273,0.032439703697088,-1.605640701573943e-05,-1.477825713571956e-06,5.371080490845055e-06,0.99999999985558,0.2307565582814991,-0.11040169603950428,0.00041939270722149424,-2.145935651761304e-06,1.763833298388913e-05,-6.48715922778496e-06,0.9999999998211007
0.21345158681514873,-0.08934364081739309,1.129884040701596,0.1914132831889274,0.11095349595100149,0.031193691334987256,-1.3421611835406216e-05,-6.614112645914246e-07,3.161832664573142e-06,0.9999999999047131,0.23075615179071277,-0.11040161054796511,0.00041704575310710923,-2.349288219238024e-06,1.7846679864271652e-05,-7.980794086974256e-06,0.9999999998061421
0.21399837892408083,-0.08929994474197775,1.129335276390427,0.193438013342954,0.11086671538400826,0.02984906176736815,-1.113342334712348e-05,2.4335593371841464e-07,1.3145659690451477e-06,0.9999999999371301,0.23075561209334902,-0.1104014703249128,0.0004144338987095708,-2.578049067657443e-06,1.8115470768487363e-05,-9.594741453783324e-06,0.9999999997865624
0.21452374942954025,-0.0891516146255172,1.1287442070545886,0.19545843286550457,0.11079055430114182,0.02841606030812388,-9.409674077998568e-06,1.1732001312006928e-06,-2.485299956516815e-07,0.9999999999550102,0.23075493673249187,-0.11040127063387994,0.0004115693216043409,-2.8316773304047814e-06,1.844834607356623e-05,-1.1321326016326595e-05,0.9999999997617341
0.21502912418773204,-0.08890556337781753,1.1281130167333862,0.19747509580492772,0.11072427329463552,0.02690355864601074,-8.317281056311572e-06,2.105956329202421e-06,-1.5727420877658932e-06,0.9999999999619574,0.2307541245941582,-0.11040100834496692,0.0004084625668040742,-3.109943987963458e-06,1.8847816095538327e-05,-1.3155620869223426e-05,0.9999999997310091
