Cx,Cy,Cz,ZMPx,ZMPy,CoPx_FL,CoPy_FL,CoPx_FR,CoPy_FR,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.11281145440470158,3.011173810068624e-05,1.0894997549088035,0.11790261144279558,0.0019367343420979316,0.11538639220441423,0.08166737949891262,0.1156733413482915,-0.1281252898685639,0.11216814241496129,0.11044930982474357,-6.117848699860318e-06,4.703121573129423e-06,-1.8366083722132907e-06,-5.3839960891766065e-06,0.9999999999727603,0.11216814241496066,-0.11043069017525643,-6.1178486998741954e-06,4.7031215731238906e-06,-1.8366083718524683e-06,-5.3839960890720115e-06,0.9999999999727603
0.11283096376212384,0.0003370651223323058,1.0897047676389804,0.1159845685051242,-0.0009864041590844632,0.11588332805676421,0.09087871862077256,0.1162990940914844,-0.12198902253258666,0.1121682345418615,0.11044908476853312,-5.414643133097585e-06,4.7769798634334146e-06,-1.9099445567277677e-06,-5.140595701054014e-06,0.9999999999735536,0.11216826506877149,-0.11043080796392528,-5.704554084190461e-06,4.723122763116467e-06,-1.910003932052885e-06,-5.291428662791838e-06,0.9999999999730227
0.11284941949966898,0.0008367485593805162,1.0899118832370553,0.11418710355757102,-0.0011658997959054932,0.11574177402139087,0.09740974929572864,0.11618514815653845,-0.11725574283132525,0.11216822843644843,0.11044919137441488,-5.793969370740393e-06,4.7186546849043175e-06,-1.8937418054494055e-06,-5.3626634803135386e-06,0.9999999999726953,0.11216824763236669,-0.11043077999077495,-5.796734124707825e-06,4.690035751010641e-06,-1.8943723120274383e-06,-5.437427795355211e-06,0.999999999972425
0.112853365165221,0.0014602290845049596,1.0901080373660714,0.11339007196121693,-0.00047047023228309463,0.11507555638477213,0.1020166178318689,0.11556650309254236,-0.11358193112101271,0.11216813248288267,0.11044944392651367,-6.54978641982662e-06,4.636668887615095e-06,-1.8115107051725952e-06,-5.631903077825282e-06,0.999999999971751,0.11216811276937488,-0.11043064361088396,-6.2627053333957905e-06,4.668635883485879e-06,-1.8117743032319625e-06,-5.537311883596393e-06,0.99999999997213
0.1128415993588846,0.002161208100253398,1.0902906731615996,0.11300862685707232,0.0005713509783167789,0.11432859371723113,0.10537697073878752,0.11482504869121013,-0.11068083405639959,0.11216796216706465,0.11044975702964206,-7.475210331883697e-06,4.56042067663063e-06,-1.6897030576740939e-06,-5.852964470540015e-06,0.9999999999710455,0.11216789692009302,-0.110430447400063,-6.955423496768365e-06,4.667138227443947e-06,-1.6885818952313405e-06,-5.553458997837012e-06,0.9999999999722631
0.11281709979115283,0.0029076840962397113,1.0904596432526386,0.11279249807291207,0.0017158015825021941,0.1136530385163632,0.10787688369956007,0.11412225133273439,-0.10838201042552639,0.11216774348154969,0.11045008645308382,-8.469749535111593e-06,4.494011307660742e-06,-1.5470053106492126e-06,-6.020905813093134e-06,0.9999999999705801,0.1121676336631996,-0.11043022560789179,-7.765662731779033e-06,4.67974958317545e-06,-1.5436004832535935e-06,-5.50661305993302e-06,0.9999999999726975
0.11278372614404611,0.0036774064594969676,1.0906156113418877,0.11264603585512797,0.0028524595742689934,0.11308789447703713,0.10975669143099448,0.11351729692274583,-0.10656723874541756,0.11216749854841752,0.11045041169478484,-9.47751116868456e-06,4.437508810208488e-06,-1.3951060283537928e-06,-6.141744924025553e-06,0.9999999999703209,0.11216734643664342,-0.1104299973095898,-8.624972553591959e-06,4.702097512041906e-06,-1.3886628493174514e-06,-5.414109935549843e-06,0.9999999999733249
0.11274504857622027,0.004455109127539719,1.0907594815865247,0.11253338925082587,0.003934739627028998,0.1126332716790016,0.1111795930926556,0.11302544976867451,-0.10514273124222384,0.11216724268335118,0.11045072433239897,-1.0468120368228861e-05,4.3903786765845405e-06,-1.2409650970388214e-06,-6.2214898324340265e-06,0.9999999999702391,0.11216705000076374,-0.11042977229036513,-9.493264202922735e-06,4.731881287534386e-06,-1.2308520614026564e-06,-5.2863203068305525e-06,0.9999999999740748
0.11270399788435681,0.0052306503523127474,1.0908921888737408,0.11244126498113048,0.004947119416627367,0.11227718998514777,0.11226357754950309,0.11264316318791442,-0.10402879749985094,0.11216698551225607,0.11045102156847385,-1.1426119955068592e-05,4.351855653868529e-06,-1.0885537523642868e-06,-6.26565481618958e-06,0.9999999999703092,0.11216675310438723,-0.1104295553699394,-1.034812761212256e-05,4.7678421620564545e-06,-1.0742300731717412e-06,-5.129821986396826e-06,0.9999999999748995
0.11266282393069683,0.005997665984464343,1.091014624327288,0.1123646279771916,0.005888752419187797,0.11200502328546501,0.11309733631644986,0.11235911412796624,-0.10315651947219856,0.1121667326203862,0.11045130310663615,-1.2344812367268143e-05,4.3210137028558105e-06,-9.399783843510815e-07,-6.279453506246909e-06,0.9999999999705071,0.11216646057224822,-0.11042934874914397,-1.1177981599524989e-05,4.809127711453833e-06,-9.209637477998239e-07,-4.949451736843617e-06,0.9999999999757638
0.11262316253053355,0.006752548826694247,1.0911276125282545,0.1123012923863098,0.006765680774970279,0.11180262691976983,0.11374877059244037,0.11215929105383018,-0.10246698320778574,0.11216648688385225,0.11045156969334582,-1.3222603396118027e-05,4.296852027480654e-06,-7.961906223718327e-07,-6.267774492207319e-06,0.9999999999708094,0.11216617472806928,-0.11042915321895325,-1.1977839484186847e-05,4.855022041337316e-06,-7.720421234577668e-07,-4.749233569592139e-06,0.999999999976639
0.11258613344996152,0.0074936616927895675,1.0912319081947268,0.11224994253765869,0.007586624042064951,0.1116572802150492,0.11427022020553393,0.11202940608539354,-0.10191084943991052,0.11216624942348641,0.11045182249342572,-1.406087243192855e-05,4.278380829050725e-06,-6.574278876204182e-07,-6.235033727846723e-06,0.9999999999711942,0.11216589632316108,-0.11042896877704851,-1.2746722351228423e-05,4.904878716874495e-06,-6.277231542342281e-07,-4.5326287855869135e-06,0.9999999999775019
0.11255244003070021,0.008220728224691026,1.0913281994385837,0.11220945475619758,0.008361071022388944,0.11155786193449521,0.11470181782222241,0.11195605494831423,-0.10144792271709929,0.1121660202757324,0.11045206278119059,-1.4862605143869945e-05,4.2646777211810965e-06,-5.235055260964478e-07,-6.185105141890416e-06,0.9999999999716418,0.11216562517248961,-0.11042879498341306,-1.348597567654708e-05,4.958105869653879e-06,-4.878314028117448e-07,-4.3026398775719885e-06,0.9999999999783336
0.11252245978935291,0.008934367368794431,1.0914171125881658,0.11217869790931301,0.009097963122043792,0.11149478587946984,0.11507403576661027,0.11192728337489709,-0.10104630131953386,0.11216579885170334,0.11045229180295871,-1.5631528201665024e-05,4.254921157247875e-06,-3.9400847981195663e-07,-6.12129185914063e-06,0.9999999999721354,0.11216536057842458,-0.11042863116307414,-1.4198177394134093e-05,5.014171221024559e-06,-3.519541344411344e-07,-4.0618418203724636e-06,0.9999999999791181
0.11249632258078511,0.009635742012640867,1.0914992198524391,0.11215652300297715,0.009805482775051477,0.11145987948842297,0.11540954668538259,0.11193272388700794,-0.10068146301674186,0.11216558422977131,0.1104525107188882,-1.6371622395386365e-05,4.248396603255154e-06,-2.6840581591370743e-07,-6.046363386048977e-06,0.9999999999726605,0.11216510158574199,-0.11042847654336775,-1.4886483591741717e-05,5.072612239832106e-06,-2.1955771631774862e-07,-3.8123869771006146e-06,0.9999999999798433
0.11247397632076776,0.010326302431869503,1.0915750448969486,0.11214179651218353,0.01049055627485703,0.11144622815851642,0.11572483800776223,0.11196365169326934,-0.10033510670923917,0.11216537536555118,0.1104527205703158,-1.7086753102413255e-05,4.2444977229468056e-06,-1.461378458145499e-07,-5.962605677768242e-06,0.9999999999732053,0.11216484717415379,-0.11042833032340892,-1.555415554829742e-05,5.133027842906708e-06,-9.007790466484469e-08,-3.556075398374301e-06,0.9999999999804994
0.11245524105564729,0.011007602906474989,1.0916450671992384,0.11213336425386765,0.011159117250050615,0.11144810916315354,0.11603163067452624,0.11201288249173144,-0.09999396563422533,0.11216517120529981,0.1104529222810438,-1.7780550484500224e-05,4.242706905869021e-06,-2.6654287083738012e-08,-5.871916573653875e-06,0.99999999997376,0.11216459634343713,-0.11042819173350918,-1.6204350597695538e-05,5.195076480789799e-06,3.704223396142802e-08,-3.29438656044366e-06,0.9999999999810786
0.11243985179358498,0.011681177373793827,1.0917097279709664,0.11213018631824206,0.011815859090149882,0.11146079597287652,0.11633770734327925,0.11207456894161176,-0.09964900222183459,0.11216497076394856,0.11045311665385206,-1.845626667928979e-05,4.242592463071085e-06,9.055093856912839e-08,-5.775845907341021e-06,0.9999999999743162,0.11216434818274504,-0.11042806005443849,-1.6839941907889622e-05,5.2584670570614835e-06,1.6231536243160212e-07,-3.02854169576154e-06,0.9999999999815753
