t[s],q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9912873938806115,-4.003820712422851,0.24057330232702157,0.25398570937957743,2.419910032754615,-0.7360843459594619,0.9912839535498392,-4.003826577808695,-1.8140801945438194,3.157391542570224,2.419908023251992,-2.0979650776438348,0.4195156020001868,-3.111275294652428,-1.9417946591041537,-7.188374969305854,6.5322795848533985,-1.5331200335586848,0.41952661515645073,-3.111265637665513,0.9825715733956186,-12.537614841349065,6.532286728821289,0.6745930043295497
0.03,0.0008921586544925503,-0.0036034386411805653,-0.3297834840279057,0.6302285871384417,0.0021779190294791534,-0.3006624759113635,0.0008921555581948553,-0.0036034439200278256,-0.33163267217508946,0.6328416523883132,0.0021779172209267926,-0.30188816856987943,0.029738621816418342,-0.12011462137268551,0.0072171990698106465,0.007619571281387323,0.07259730098263845,-0.022082530378783858,0.029738518606495176,-0.12011479733426085,-0.05442240583631458,0.09472174627710671,0.07259724069755975,-0.06293895232931504,-0.7767628669042779,3.9084502653436175,3.5187739182355244,-5.641308453219835,-1.2563905279548635,2.6790737161359175,-0.8065592036498845,4.238908427769058,-5.283157345376317,6.647909252361657,-1.6870950412174786,-0.35929404154317446,-5.517578952001987,28.739290406552488,11.017286917691052,-20.222048578101944,18.967360798784416,3.9679450737295427,-3.192454119729729,-0.2881703621793273,-11.726665445132063,0.5229664422832082,0.018186204083476987,-0.4392328984763946
0.06,0.0010852307287712503,-0.0036892720435518747,-0.3264000715293994,0.6253799966689855,0.0032250865837989296,-0.29891378547820474,0.0010584078331048144,-0.003391870255063499,-0.33802018596101757,0.641666423103752,0.002837448904757855,-0.30409970177714774,0.006435735809290008,-0.002861113412376992,0.11278041661687638,-0.16161968231520774,0.03490558514399254,0.05828968110529367,0.005541742496998639,0.007052455498810881,-0.21291712619760408,0.2941590238479564,0.021984389461035397,-0.07371777357561027,-0.07909231850260312,-0.19102098016401214,0.18348014806645097,-0.14235315279080396,-0.3571988392614003,-0.11443190892236998,-0.1301706370100959,-0.4394378750892969,-0.5528084632801971,0.11269995322934534,-0.0849281766173835,0.11715938737223297,-1.7870572907447702,24.9830892175768,4.838817197413899,-19.464077124217773,19.77431499603715,4.085796648700726,-1.564939706610515,-0.6981355466066022,-5.5948833041401915,1.7607759478430116,-0.014455413222926006,-0.23982123259095905
0.09,0.0012071197163976077,-0.003947024328070796,-0.32285152689763336,0.6204032883620175,0.003950775182783446,-0.29726808376307606,0.0011075065347056874,-0.00357579067767954,-0.3449052273638979,0.6505926237770971,0.0034205452296332713,-0.30620579153578104,0.004062966254211915,-0.008591742817297356,0.11828482105886991,-0.16589027689893185,0.024189619966150537,0.05485672383762257,0.001636623386695762,-0.006130680753868025,-0.22950138009601,0.29754002244483674,0.01943654416251389,-0.07020299195444328,-0.021269398070899115,-0.051511833903362,-0.03631584870527149,0.005086789466759001,-0.24731240129767684,-0.10731435782213339,0.02945777185078491,-0.11040037680056614,0.11311605179290041,0.08233291898733341,-0.11607431098023024,-0.11735386903136558,-0.8749575909285957,24.67720947800619,3.484619432914997,-19.323352000593378,20.693260855347074,5.401551942935285,-1.1555116532658798,-0.3244687739247169,-4.218424531192023,2.348751096605331,-0.00336839755617115,-0.17774165755038074
0.12,0.001309866245760156,-0.004251137263102742,-0.319335666529702,0.6154311581655697,0.004453882620600052,-0.2957189649699873,0.0011831172309722667,-0.00385907143941609,-0.3516884643201646,0.6595929240775309,0.0038991746746264806,-0.30841749977654254,0.0034248843120849417,-0.010137097834398217,0.11719534559771176,-0.16573767321492908,0.016770247927220233,0.05163729310295857,0.002520356542219309,-0.009442692057885008,-0.226107898542223,0.30001001001445676,0.015954314833106983,-0.07372360802538425,-0.016790920015864685,0.036968673336104985,-0.06433716444428228,0.047670201293669834,-0.16656909957418975,-0.05896391727446826,0.02913432898177426,0.00524370222713344,0.21151310553667457,0.005422451154899477,-0.10598767796068742,-0.17903902804586558,-0.7607558410235429,24.714026539432417,3.4976583253252045,-18.73194165503456,21.45092117161681,6.322682862651452,-1.1332391952067522,-0.2510985641248432,-4.197672467839172,2.4094491345815214,-0.002158317391388775,-0.17558220119377219
0.15,0.001397500947108426,-0.004521978392132194,-0.3158777096097705,0.6105019311502862,0.004807077868799889,-0.2942229137024456,0.001284948823322443,-0.00413763286914822,-0.3582813394814483,0.668598104584004,0.004282415209455072,-0.31079034314254533,0.002921156711609001,-0.009028037634315067,0.1152652306643833,-0.16430756717611897,0.011773174939994541,0.049868375584724525,0.003394386411672537,-0.009285380991071006,-0.21976250537612274,0.30017268354910376,0.012774684494286362,-0.07909477886676021,-0.019348819582091892,0.06154134452754079,-0.06612391205698032,0.07471834542246825,-0.11187572618746344,-0.03322888317984507,0.004643599620250072,0.039255453739450274,0.1663302381935594,-0.03865996946993988,-0.08608649137200253,-0.13481860101583187,-0.8348321383031109,24.750222580480546,3.756899118758225,-18.177922680568635,21.963023531597226,6.8743123051755965,-1.1853699072817514,-0.21965580924203087,-4.436418403638715,2.3713217517819403,-0.0018082615529541868,-0.1830482235422571
0.18,0.0014677217108328134,-0.004737432311086859,-0.3124792642106903,0.6056399506458828,0.0050595849634310075,-0.2927567684297657,0.001390959655330844,-0.004380864390514845,-0.36472451742835776,0.6775684911179543,0.00458817790204886,-0.3132845232494624,0.0023406921241462446,-0.007181797298488843,0.11328151330267389,-0.16206601681344493,0.008416903154370638,0.048871509089329176,0.003533694400280039,-0.008107717378887498,-0.21477259823031597,0.29901288446500557,0.010192089753126285,-0.08313933689723517,-0.019628933948979466,0.060145593451636614,-0.06820235633318816,0.09144547063772279,-0.07781612230519386,-0.026340313161199447,-0.011216369606103171,0.04920335532744069,0.11456297347336886,-0.060372112642518516,-0.07032193218173788,-0.07094469919332269,-0.921266495234921,24.75755143914067,3.979788437556793,-17.74270297448838,22.277041820808467,7.1925652174885375,-1.2338709331392554,-0.19252938664535674,-4.651971358925122,2.3439934444246933,-0.0012186204098616775,-0.18846539155001865
0.21,0.0015202764340031191,-0.0048987551959350515,-0.30914220093230993,0.6008602710650535,0.005242057547987452,-0.29131432943893093,0.0014868757546937523,-0.004579812892086773,-0.3710645886991412,0.6864845427505262,0.004830650855679085,-0.31584255358565344,0.0017518241056768606,-0.005377429494939745,0.11123544261267825,-0.15932265269431325,0.006082419485214822,0.04808129969449319,0.003197203312096944,-0.006631616719064278,-0.2113357090261149,0.29720172108573,0.00808243178767415,-0.08526767787303485,-0.017836859292629015,0.052504678637262714,-0.07123298971998793,0.10434444806105603,-0.05775538661782775,-0.03101054111493795,-0.017690854077756057,0.05078833286731843,0.08369987632216436,-0.07564135035379138,-0.06004347154424039,-0.01987699622543282,-0.9898307783567197,24.753308377576772,4.143790562317609,-17.38911386968633,22.457529254911577,7.391213673044854,-1.271366804361917,-0.173642958583437,-4.815926520094004,2.3368000082474114,-0.0007079529482104,-0.1913133517344568
0.24,0.0015567779838100589,-0.005012823870009707,-0.3058692473446776,0.596174501487479,0.005372550284587852,-0.28989979993509957,0.00156687008538668,-0.004733051894078115,-0.3773293300812347,0.6953325171677797,0.005019084684919493,-0.31841847321844735,0.0012167183268979903,-0.0038022891358218637,0.10909845292107861,-0.1561923192524816,0.004349757886679989,0.04715098346104506,0.002666477689764262,-0.005107966733044725,-0.20882471273644998,0.2949324805751163,0.006281127641346937,-0.08586398775979784,-0.015560485618152597,0.04572665818227506,-0.07389006536192255,0.11699398511910886,-0.04649211764171923,-0.041482597005369826,-0.01918722829444519,0.049185322535501896,0.07089547362239301,-0.09133526083132182,-0.05339821408984058,0.015043813095074299,-1.043322184465059,24.747788405016355,4.27194756612569,-17.076514580577197,22.55566285466641,7.539737054227927,-1.3024602725694259,-0.1642072205158222,-4.946896613048313,2.341590324031714,-0.0004228783940491443,-0.19273529984297402
0.27,0.0015792750965606612,-0.0050857385517203155,-0.30266279481587094,0.5915940264965117,0.005461200115310704,-0.28852260476857305,0.0016295959106146073,-0.004842024105787505,-0.38353026553706804,0.704098289850285,0.005159460121479044,-0.3209808534194557,0.0007499037583534124,-0.002430489390353612,0.10688175096022094,-0.15268249969890832,0.0029549943574284122,0.045906505550883964,0.0020908608409309064,-0.003632407056979668,-0.2066978485277782,0.29219242275017665,0.00467918121865172,-0.08541267336694561,-0.01363284533431397,0.04127363606198742,-0.07622487214132434,0.13074733055384513,-0.040439261877509125,-0.054367731960383026,-0.018776986761340098,0.04669932851196279,0.06969966153804918,-0.10926132624528861,-0.04885449093300842,0.03860073312365131,-1.086909634866468,24.743201196248165,4.3815006875626565,-16.78177560631345,22.606349598888492,7.673601444961391,-1.3304090991473194,-0.16139532576620624,-5.059855808517832,2.3522019108109,-0.00032288050878003595,-0.19348450713065982
