q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,v_LRHip1,v_LRHip2,v_LRHip3,v_LRKnee,v_LRAnkleRoll,v_LRAnklePitch,v_LLHip1,v_LLHip2,v_LLHip3,v_LLKnee,v_LLAnkleRoll,v_LLAnklePitch,u_LRHip1,u_LRHip2,u_LRHip3,u_LRKnee,u_LRAnkleRoll,u_LRAnklePitch,u_LLHip1,u_LLHip2,u_LLHip3,u_LLKnee,u_LLAnkleRoll,u_LLAnklePitch,LR_fx,LR_fy,LR_fz,LR_taux,LR_tauy,LR_tauz,LL_fx,LL_fy,LL_fz,LL_taux,LL_tauy,LL_tauz
0,0,-0.353,0.642,0,-0.289,0,0,-0.352,0.627,0,-0.275,0,0,0,0,0,0,0,0,0,0,0,0,0.241597030668449,-2.24627162464065,-3.08033901213608,-23.5454956950337,5.37781274631293,-37.7570585294526,0.159413513711649,-2.24213929343529,-1.26877956925883,-26.5507540140304,5.35175926711562,-36.6671485661948,54.7620638697,11.2290124619,78.2303412176,-6.54298771094,45.5697800853,0.432592974713,55.4868065319,11.5873251674,118.339957149,-6.88361743412,45.7580766985,-0.789247924947
0.002066687673242,-0.005969703445223,-0.3510691021294,0.648972072256116,0.001887321590234,-0.299429098485743,0.002037830020057,-0.005968268873548,-0.3554162814976,0.64151041483395,0.001878167943249,-0.288682591300427,0.068889589108077,-0.198990114840768,0.064363262353342,0.232402408537204,0.062910719674462,-0.347636616191439,0.067927667335233,-0.198942295784919,-0.113876049919987,0.483680494465004,0.062605598108285,-0.456086376680896,-27.4189146478587,37.0974079726919,43.443064760278,-22.5708366200022,25.0917432225921,-21.1477846110295,-11.7817792345191,-1.10912944142155,-44.8389030337661,-10.1497190417429,0.006097738943586,-1.63421645968177,79.4769231063,-21.3429316269,290.865443107,-18.9522623431,37.8943790322,17.1674536375,0,0,0,0,0,0
0.001366138969244,-0.003578320504377,-0.338537792033791,0.643193417969235,0.001843914539005,-0.305278998879082,0.001680302331309,-0.003502174654307,-0.377412408168313,0.668300136418787,0.001856750426032,-0.29212719772216,-0.023351623466613,0.079712764694873,0.417710336520277,-0.192621809562699,-0.001446901707625,-0.194996679777964,-0.011917589624947,0.082203140641363,-0.733204222357116,0.892990719494559,-0.00071391724055,-0.114820214057766,-5.57784038785148,25.2582992716434,9.78283858145685,-21.6437670211715,22.531419703728,-4.36930475540624,-2.95258560829493,-0.762295363753739,-10.9466703818364,0.067341298140175,-0.021540007743727,-0.41528672298946,21.1488747692,-3.08525716059,222.618896097,-22.3110390899,13.0390151119,3.24749446352,0,0,0,0,0,0
0.000745635328811,-0.002125085095126,-0.325077947169326,0.636920711365744,0.001706869405031,-0.311805737734397,0.000902351843982,-0.002265874979392,-0.401723132567528,0.695431450106685,0.001790276448756,-0.294939869231717,-0.020683454681109,0.048441180308377,0.44866149548217,-0.209090220116363,-0.004568171132462,-0.217557961843829,-0.025931682910899,0.041209989163808,-0.810357479973825,0.904377122929919,-0.002215799242539,-0.093755716985231,0.476782352931261,23.9115373912091,1.96937896647045,-18.8105400576427,21.9203523540801,8.8773747897057,-0.677826203379134,0.210441981298496,-2.70834301109188,3.2630140012099,0.010703940743802,-0.06830460880797,-4.32133659165,-0.444182413481,220.496185463,-23.3119496878,-2.90425273923,-0.999678667928,0,0,0,0,0,0
0.000405558137054,-0.001267005482403,-0.312062206348144,0.630551553944911,0.001531580330904,-0.318319502407536,0.000398723114038,-0.001455928707152,-0.425313217250938,0.722569299807731,0.00162845816698,-0.298049672110502,-0.011335906391898,0.028602653757407,0.433858027372729,-0.212305247361126,-0.005842969137559,-0.217125489104639,-0.016787624331459,0.026998209074669,-0.786336156113691,0.904594990034891,-0.005393942725877,-0.103660095959497,1.38443876255069,24.047701775323,2.00256160303341,-15.1001834060173,22.0527088188141,16.1662925519891,-0.61288938526388,0.133830800728891,-2.43922030271569,3.41697117500393,0.006446522236978,-0.06297696001563,-12.0378953139,0.0167803348244,220.55052931,-23.8649468316,-10.989216364,-1.95347643015,0,0,0,0,0,0
0.000254194507152,-0.000688485320403,-0.299820359075792,0.624362044558841,0.001346804275401,-0.324455161287266,0.000146128791609,-0.000815847642281,-0.44782221279822,0.74911776888448,0.001396033859943,-0.301494930314596,-0.00504545433005,0.01928400540001,0.408061575745068,-0.206316979535636,-0.006159201850126,-0.204521962657675,-0.00841981074764,0.021336035495714,-0.750299851576046,0.884948969224971,-0.007747476901207,-0.114841940136491,0.952081861964629,24.2759910116235,3.42928015648726,-12.6108362190427,22.3081413485965,19.469160745826,-0.973184371797564,0.000267444306121,-3.74543811999988,3.0243861058094,0.000990440712385,-0.112142449314766,-12.7887061457,0.0972389598079,220.841918521,-24.179361559,-14.3609556934,-1.88398106219,0,0,0,0,0,0
0.000189994718379,-0.000229770139813,-0.288420094070082,0.618571399891334,0.001169123259814,-0.330147057484721,9.52574373171852E-06,-0.000265219624143,-0.469496258139896,0.774659420255855,0.001135969074183,-0.304848885438359,-0.002139992959098,0.015290506019677,0.380008833523667,-0.193021488916922,-0.005922700519543,-0.189729873248491,-0.004553434929231,0.01835426727127,-0.722468178055866,0.851388379045828,-0.008668826192007,-0.111798504125432,0.344247774184238,24.3629382315402,4.60880723001023,-11.2674277858746,22.5080837181271,20.5908655544924,-1.2899208894886,-0.049210174281405,-4.92575418622919,2.70669092420937,-0.001104467971898,-0.148313275359992,-11.0769877432,0.16588651906,220.889293579,-24.3462805014,-15.3042954701,-1.56796376217,0,0,0,0,0,0
0.000154290119811,0.000180403968946,-0.277854512042424,0.613348840514125,0.001007880217009,-0.335502494790992,-0.000100882473578,0.000235665812745,-0.490520463477332,0.798882102744998,0.000877782031265,-0.307655904509699,-0.001190153285593,0.013672470291949,0.35218606758862,-0.174085312573639,-0.005374768093527,-0.178514576875711,-0.003680273910338,0.016696181229606,-0.7008068445812,0.807422749638088,-0.00860623476394,-0.093567302377984,-0.182813781193006,24.3340130706237,5.39746140030751,-10.5741485230409,22.610112142199,20.7118992572519,-1.51256153410882,-0.054152595334516,-5.77188697027177,2.51195439493919,-0.001512527603214,-0.168053295558887,-8.65322623561,0.233043279271,220.57546364,-24.3969548235,-15.1841949653,-1.23219562624,0,0,0,0,0,0
0.000121475419496,0.000573748287298,-0.268088652459269,0.608851944653441,0.000868157344442,-0.340715630936235,-0.000225253192189,0.000711550459423,-0.510902845596606,0.821485932112307,0.000636963720173,-0.309574729126069,-0.001093823343833,0.013111477278412,0.325528652771826,-0.149896528689441,-0.004657429085539,-0.17377120484143,-0.004145690620366,0.01586282155591,-0.679412737309146,0.753460978910287,-0.008027277036413,-0.063960820545659,-0.603270086918253,24.2346901912035,5.91782665056855,-10.1778329451072,22.6078900401981,20.4632879196439,-1.66908973095345,-0.051487402597688,-6.36797178631393,2.39089930632216,-0.001618007251594,-0.177735750534293,-6.18338901123,0.263025531538,219.921911867,-24.3433914714,-14.6998781346,-0.935773070128,0,0,0,0,0,0
8.25231434671753E-05,0.000966932941054,-0.259079502521354,0.605252488484395,0.000751652282682,-0.346019600690133,-0.000376006158938,0.001176513149994,-0.530503159929147,0.842139332765828,0.000422078391588,-0.310376716164424,-0.001298409200977,0.013106155125205,0.300304997930483,-0.119981872301561,-0.003883502058673,-0.176798991796597,-0.005025098891604,0.015498756352368,-0.653343811084675,0.688446688450717,-0.007162844286152,-0.026732901278504,-0.928326062253481,24.0862181213869,6.25966784952838,-9.9115591564443,22.4995261359004,20.119792381186,-1.78172013928056,-0.056451353093381,-6.78706366741461,2.30705214156196,-0.001969114900589,-0.18155740205056,-3.8941670741,0.236137974254,218.951994777,-24.188697301,-14.1488386259,-0.691421424119,0,0,0,0,0,0
