t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz
0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.004970087101337568,0.0015079631094869661,0.8993287804347099,0.0025680479177925307,0.0009742465963239476,-0.0007250145423893296,0.9999959651555475,0.16565489899367486,0.050328116574032716,-0.02234172489252664,0.17120342477929354,0.06494986044248137,-0.04833436783319143
0.06,0.011601314103839565,0.0016317422235123705,0.899544751749659,0.0009014440399046235,0.00049078184391169,-0.00036059916279020365,0.9999994082498591,0.22102551722565572,0.004391413545882669,0.007508115175302095,-0.11110742534904264,-0.032249259033987926,0.024268964919312887
0.09,0.018865925352404597,0.001654322471270376,0.8995512867867628,-5.397425091408737e-06,9.841674875402355e-05,-8.232372084659774e-05,0.9999999917539081,0.24215319023383156,0.000860174820694008,0.00035979873627022506,-0.06045577997610077,-0.026162758320380407,0.018545611359425545
0.12,0.026009056074167876,0.0015914369087276245,0.8994503361842776,-0.0005140283717680143,-1.5016712613271314e-05,5.4674305939512e-05,0.9999998662800168,0.23810469633185732,-0.0020878613592713305,-0.003346246198334297,-0.033909007493889434,-0.007565071026864139,0.00912982346007616
0.15,0.03263014828988534,0.0014784822780211197,0.8992741295116637,-0.0008453657560465828,-1.8948914499453212e-06,0.00010213976939026202,0.999999637460242,0.22070238200560677,-0.0037917730626900025,-0.005882424143353697,-0.022089068905788302,0.000874368884297436,0.0031651460725850913
0.18,0.038604241368702434,0.0013451015334867416,0.899037593868075,-0.001102000817266014,2.0427179917302562e-05,0.00011006315102675174,0.9999993865313278,0.19913563582297966,-0.004472923022042097,-0.007889515258988586,-0.01710885921077334,0.0014894385024613686,0.000529517406134758
0.21,0.04397422091041196,0.0012118099712573474,0.8987497457838007,-0.0013275104892748865,8.94872081875966e-06,0.00010679854549766163,0.9999991131145527,0.1789986347967718,-0.004458552468577079,-0.00960049126841409,-0.015034068903779362,-0.0007633352444002986,-0.00021878861727265436
0.24,0.048865880214229676,0.00109121007654927,0.8984132833417507,-0.0015404452890039884,-3.970784198793557e-05,0.0001046534984838859,0.9999988072489108,0.16305411468893627,-0.00402228601367272,-0.011231962728739216,-0.014196013057882281,-0.0032420619069472136,-0.0001474340036345883
0.27,0.0534364929621835,0.0009893331196685557,0.8980240317209653,-0.001749367995492398,-0.00011692130755180842,0.00010773453233612114,0.9999984572159573,0.15235100326123252,-0.0033855136993954857,-0.01301007177918993,-0.013928730436546756,-0.005146417978455549,0.00019802797230725482
0.3,0.05784935675809663,0.0009067714105340723,0.897571310980807,-0.001957856378837528,-0.0002135438792126117,0.0001166942511418458,0.9999980537880377,0.14708984837539313,-0.002729015758661632,-0.01514946031343076,-0.013899875418646518,-0.006441045537385228,0.000587673121567473
0.33,0.062263597033892656,0.0008397151052129605,0.8970381397364913,-0.002163594021430477,-0.00032139460914590897,0.0001306064520663599,0.9999975992513034,0.1471312639822878,-0.00219816858647738,-0.017860219939031297,-0.013716516576889196,-0.007190256517405859,0.000916333652602665
