t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
1.05,0.0,0.0,0.0,0.0,0.0,0.0,-10.0735909714,-0.320258724338,216.0158993,23.9044159841,3.3512203398,1.47257024833
1.08,0.0,0.0,0.0,0.0,0.0,0.0,-7.73958935926,-0.347965535384,216.241899598,23.9611758833,2.4187599002,1.19446158039
1.11,0.0,0.0,0.0,0.0,0.0,0.0,-5.51099421131,-0.258035135175,216.135266906,23.8700468477,1.58339666689,0.953308391275
1.14,0.0,0.0,0.0,0.0,0.0,0.0,-3.40601740946,-0.0901346869507,215.630621469,23.6304902839,0.78739959258,0.748328092261
1.17,0.0,0.0,0.0,0.0,0.0,0.0,-1.35479455968,0.066465130151,214.613680632,23.2569307113,0.0692493456716,0.567666341672
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.712710265997,0.0556504681552,212.935484622,22.8488799645,-0.542183910022,0.391497250383
1.23,0.0,0.0,0.0,0.0,0.0,0.0,2.75410119012,0.0957992588807,212.462226594,22.7467610985,-1.14866300387,0.176468935667
1.26,0.0,0.0,0.0,0.0,0.0,0.0,4.82463343365,0.196783268629,213.247348027,22.955483884,-1.9034999561,-0.0966082459798
1.29,0.0,0.0,0.0,0.0,0.0,0.0,6.88498326808,0.154885117475,213.503077481,23.137218167,-2.84185102276,-0.39569536624
1.32,0.0,0.0,0.0,0.0,0.0,0.0,8.76493579338,0.131146355492,213.409770104,23.1936492437,-4.05915793152,-0.690098668067
1.35,0.0,0.0,0.0,0.0,0.0,0.0,10.167784588,0.210843707046,213.137583633,23.1208802966,-5.79739178031,-0.932163158032
1.38,0.0,0.0,0.0,0.0,0.0,0.0,10.4705135012,0.417708815125,212.894705395,22.9502621795,-8.59155382498,-1.04022886935
1.41,0.0,0.0,0.0,0.0,0.0,0.0,8.45777964588,0.739612065211,213.043793112,22.747042405,-13.4721522332,-0.863887784491
1.44,0.0,0.0,0.0,0.0,0.0,0.0,1.9408668946,1.10825524531,214.228710451,22.6440721567,-22.2281492696,-0.129840929118
1.47,0.0,0.0,0.0,0.0,0.0,0.0,-12.8670488515,1.28626760153,217.435761569,22.9345459958,-37.6994681263,1.66108880039
1.5,0.0,0.0,0.0,0.0,0.0,0.0,-42.464816967,0.576598120484,223.822490007,24.3299302182,-63.9920871395,5.4588992887
1.53,0.0,0.0,0.0,0.0,0.0,0.0,-97.7562780356,-2.63791651187,234.664240132,28.6066595131,-106.389945984,13.0794949938
1.56,0.0,0.0,0.0,0.0,0.0,0.0,-193.026689998,-5.34795497545,295.180962472,37.8982166941,-171.47667655,25.7511631172
1.59,0.0,0.0,0.0,0.0,0.0,0.0,24.5642838964,-0.603841979207,59.175814361,-0.0315957634085,4.11979844099,-0.172421871564
1.62,25.0041154492,10.8882935535,35.614462239,-1.16872907356,21.4133303832,-3.51767128547,68.0756529407,11.6897838972,156.315182239,-1.56129862438,31.4114550226,-1.63616920668
