t[s],q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch
0.0,0.0,0.0,-0.1,0.2,0.0,-0.1,0.0,0.0,-0.1,0.2,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2295157362278049,-3.288938014973953,-2.278314492558377,-19.75354276361805,3.9278348024898766,-38.84528677486716,-0.2295123800116158,-3.288938796668707,-1.8400088384758178,-19.5657568020219,3.9278380292000175,-39.352572899721174
0.03,0.0016682265373849996,-0.0067438017377923175,-0.0981935147073358,0.20576408223447,0.0016158045123512465,-0.1090873018431721,0.001668223129727346,-0.006743891831280213,-0.11335037518030089,0.23328788766427772,0.0016157990929255447,-0.12231778548974881,0.055607551246166655,-0.2247933912597439,0.06021617642214039,0.19213607448233347,0.05386015041170822,-0.30291006143906996,0.0556074376575782,-0.2247963943760071,-0.44501250601002923,1.109596255475924,0.05385996976418482,-0.7439261829916267,-25.4973107436966,32.030521194165416,38.0351047328082,-3.2321779164575326,22.501077159930915,-26.51393937619117,-10.103794043628309,-1.2071532404734988,-39.38740627290166,-12.938910068833485,-0.007782756094247241,-1.5995582843975864
0.06,0.0009625589486937391,-0.003678563087339346,-0.08988303830833193,0.20650667253703545,0.0018882817578287812,-0.11736055564154213,0.001287007269110625,-0.0037744076157788077,-0.1404187865935147,0.26963595962015496,0.0019297050203137428,-0.13040635434764747,-0.02352225295637534,0.10217462168176566,0.27701587996679566,0.0247530100855147,0.009082574849251158,-0.2757751266123341,-0.012707195353890692,0.09898280718338012,-0.9022803804404604,1.2116023985292417,0.010463530912939945,-0.2696189619299554,-4.612558300154625,24.25311748443068,6.618178011164867,-6.93991416945417,21.23731535804519,-5.1000365633585245,-2.0196323034635313,-0.3466275866053284,-7.6931360114276535,-1.2447124769296045,-0.006096287227300802,-0.40449033976408066
0.09,0.00041898420962019453,-0.001968427403176083,-0.08083827077543283,0.20709574361198121,0.0019953916543565126,-0.12635174411860667,0.0006026973271207601,-0.002234621481916199,-0.16959547824714663,0.30624572159112706,0.002104102223391047,-0.13784317454316433,-0.01811915796911815,0.05700452280544212,0.30149225109663647,0.019635702498191857,0.0035703298842577162,-0.2997062825688181,-0.022810331399662168,0.05132620446208695,-0.9725563884543977,1.220325399032403,0.005813240102576813,-0.2478940065172287,1.5889772137240927,24.08221126366075,-1.2317818359175876,-4.108521866587438,21.84579052773422,9.368634059306553,0.1435687343114547,0.16376719013445193,0.5887894045492829,2.0977514470795584,0.012531284609096643,-0.07045906624545054
0.12,0.00014935149235063117,-0.0009139937230135638,-0.07235669190073916,0.20764546090181601,0.001960536535306346,-0.1352262364973628,0.00018449008217064566,-0.001181927118991015,-0.19812532004608083,0.34281437696266287,0.002100344288155644,-0.14546529512435397,-0.00898775724231878,0.03514778933875064,0.2827192958231221,0.018323909661160383,-0.0011618373016722226,-0.2958164126252041,-0.013940241498337148,0.035089812097506126,-0.9509947266311396,1.2189551790511928,-0.00012526450784676457,-0.2540706860396542,2.564303605081219,24.51447113623096,-1.2129543183070968,-0.4342457586873306,22.746037552325884,17.220393480366432,0.21251443524521316,-0.004035053039398501,0.8758890155189443,2.3365592632626173,0.0041117431771913225,-0.06480838276628471
0.15,5.154051215264406e-05,-0.00013275638148623273,-0.06479210913756722,0.20840980246333402,0.0018433953855206023,-0.14360677945175393,-3.4189107198520576e-06,-0.0003375347557079192,-0.22566439804816654,0.37871892011862657,0.0019748505634076753,-0.15325951911483,-0.0032603660065995705,0.02604124471757771,0.2521527587723982,0.02547805205059974,-0.0039047049928581153,-0.2793514318130383,-0.006263633096349925,0.028146412109436525,-0.9179692667361908,1.1968181051987892,-0.004183124158265627,-0.25980746634920066,2.087118238607089,24.768811321163277,0.3399647045539865,1.9020090253374033,23.454041752871667,20.603590045682623,-0.16577245234982232,-0.09976639382899226,-0.5609003029844079,1.9673549757913469,-0.0009556042045520678,-0.11529965826109101
0.18,2.7500464113013528e-05,0.0005326010194557912,-0.05820991510910034,0.20959953012890525,0.001692074198109412,-0.15142960764383956,-9.083141340684032e-05,0.0003907716883306844,-0.25243044157205924,0.41348663527745555,0.0017940409333463624,-0.16076706554821643,-0.0008013349346543516,0.0221785800314008,0.21940646761556265,0.03965758885237421,-0.00504403958037301,-0.2607609397361875,-0.0029137500895662755,0.024276881467953457,-0.8922014507964232,1.1589238386276328,-0.006026987668710432,-0.25025154777954833,1.3814542341710774,24.835014894961702,1.6944318775424128,2.938351126609643,23.909936411972794,21.45121286906483,-0.5217480441721593,-0.10214840627059228,-1.9307403930867495,1.6589044652271063,-0.0019433903863334489,-0.15380894571468043
0.21,2.3056805018549133e-05,0.001138194382420092,-0.05257397241921385,0.21137124050894945,0.001537870236873436,-0.15881548897748807,-0.00016303462419227274,0.0010459036178699275,-0.2785654070747065,0.4467385151304957,0.001600729193278355,-0.1675098897229497,-0.00014812196981547985,0.02018644543214336,0.18786475632954974,0.05905701266813965,-0.0051401320411991955,-0.2461960444549504,-0.0024067736928477476,0.02183773098464144,-0.8711655167549097,1.108395995101337,-0.006443724668933583,-0.22476080582444177,0.742020026261724,24.79814609884478,2.6492582654445123,3.1872286071862916,24.14885493027499,21.072261002522275,-0.789467490201655,-0.07885694613077028,-2.966868956550066,1.483383445074287,-0.0016374120750316762,-0.1752498112211513
0.24,1.608640586218042e-05,0.0017032913933209362,-0.04779984103117547,0.2138555600742894,0.0013988752147337429,-0.1659784486210357,-0.0002566559964995303,0.0016508645743837599,-0.3040213698743757,0.47810772289768383,0.0014174622349375332,-0.17313715912059427,-0.00023234663854562385,0.018836567030028138,0.15913771293461265,0.08281065217799807,-0.004633167404656434,-0.2387653214515876,-0.003120712410241919,0.020165365217127747,-0.8485320933223077,1.045640258906271,-0.006108898611360728,-0.18757564658815257,0.20825498658725294,24.709900840070222,3.3159842757626423,3.0482707361872308,24.213614871216713,20.20830484830738,-0.9902123430429703,-0.06476331044665236,-3.739108598642924,1.3943103141301503,-0.0014625009429772718,-0.1856859718344892
0.27,2.4752911902984015e-07,0.00223686785103176,-0.04377900530895883,0.21717723914117373,0.0012834482362334022,-0.17317062890248083,-0.00038082678539024667,0.0022165802135130194,-0.3285948283389864,0.5072041398309016,0.0012561885925403984,-0.1774262904125865,-0.0005279625581050193,0.017785881923694125,0.13402785740722137,0.11072263556281116,-0.003847565950011359,-0.2397393427148381,-0.004139026296357213,0.018857187970975322,-0.8191152821536898,0.969880564440594,-0.005375788079904495,-0.14297104306640823,-0.22850979281109832,24.588784012330784,3.792126089314156,2.7335335132195073,24.134923326914492,19.218203809816437,-1.14543171709748,-0.06795606672443981,-4.324862639522054,1.3513956215447633,-0.0017719939076267961,-0.18965505042036707
