t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz
0.63,0.1257256567452308,0.00040746067078871364,0.8819524010596898,-0.0008768711518197275,2.1738203991496544e-05,9.36631999759938e-05,0.9999996109257436,0.26483265920564536,-0.001380998152401325,-0.0829553789069285,0.013192793796315334,0.009265184545873753,0.0008842293180170454
0.66,0.1336113017971186,0.0003545862093423004,0.8792536279979649,-0.0006628902605910463,0.00016786690899329862,0.00012619802947508074,0.9999997582356012,0.26287150976386886,-0.0016817975296008994,-0.0899119148355371,0.01426626128078292,0.009738671707776819,0.0021778394013709187
0.69,0.14100471075013996,0.0003078421956084023,0.8763930004089818,-0.0003900992601909804,0.00026618897962312453,0.00017493523235930777,0.9999998731818214,0.2464878667602704,-0.0015320028066969974,-0.09524890113459904,0.018186349417631666,0.006550353058358079,0.003256543108284087
0.72,0.14717774162521557,0.0003290704001094828,0.8734676522133663,1.2402872605979577e-05,0.00018748038872656246,0.00019940919153450907,0.9999999624666227,0.20581217038950245,0.000667383675458126,-0.09741798932934533,0.02683212295344932,-0.0052525710650411575,0.001636691907469266
0.75,0.15099797545186383,0.0006060190660480281,0.8706734116925372,0.000555763196616398,-0.00029149311392562976,6.200293614155469e-05,0.999999801157315,0.12733384520712338,0.009145416648023348,-0.09315982268203085,0.03621937360617326,-0.031938903540498435,-0.00915322803031742
0.78,0.1515525502719713,0.0007433289954642861,0.8707075766488156,0.00014300791694581564,-2.1455218353502387e-05,8.492935391861593e-05,0.9999999859377069,0.018486855007533637,0.0045750745234953445,0.0011298490739501121,-0.02751545940184142,0.018005082694162816,0.0015264427259673516
0.81,0.1515525502719713,0.0007433289954642861,0.8707075766488156,0.00014300791694581564,-2.1455218353502387e-05,8.492935391861593e-05,0.9999999859377069,0.018486855007533637,0.0045750745234953445,0.0011298490739501121,-0.02751545940184142,0.018005082694162816,0.0015264427259673516
0.84,0.15788125884707185,-0.0012618316321822485,0.8705103410708404,-0.0047425144044719765,0.0019912938632590392,0.0015787068809937693,0.9999855253904715,0.21085843757508818,-0.06715951391523572,-0.006466967393562463,-0.3256894495785009,0.13422582713076414,0.09957354804788845
0.87,0.16804722984410125,-0.0011338858381186078,0.8745320413462105,-0.0018698130691455759,0.0006416600428588242,0.0008888115229679693,0.9999976510400174,0.33852009960614815,0.0025398667892342353,0.13497128107364928,0.19146436121632027,-0.09006027471653077,-0.046039066298944276
0.9,0.1810701142812787,-0.0011067630762287527,0.8785413248827726,-0.0004591448202788004,-0.00016086127883683425,0.0002922469731295924,0.9999998389506818,0.43403251440019974,8.001416771328705e-05,0.13385274793886398,0.09402261536560749,-0.053510639632275536,-0.03981071907706766
0.93,0.1952264220584708,-0.0010252862206897803,0.8823177481108958,0.00019243544496173778,-0.0003253081553841592,-2.0277360025176127e-05,0.9999999283660135,0.4719388004573026,0.002554015061819923,0.12565207529213557,0.04343212858885258,-0.010966251944660298,-0.02084697710314745
0.96,0.2094993474684859,-0.0008978527169820587,0.8856962387702815,0.0005326099027035308,-0.00021370583409370468,-0.0001407524433108645,0.9999998254226136,0.4758241182951501,0.004405955706934606,0.11235676406419579,0.022675533782996936,0.0074390664416642376,-0.008040481158594119
0.99,0.22339148157494892,-0.0007539414582216205,0.8886076917126643,0.0007556962050320719,-6.966049636046672e-05,-0.00016996677583895614,0.9999996975909323,0.4630970871025911,0.005065868254130122,0.09691085735697921,0.014870654407593435,0.009604075138715215,-0.001955916039144328
1.02,0.23672913343568117,-0.0006138557098444877,0.8910559488846728,0.0009390497595736662,1.857738961234852e-05,-0.00016662749257274168,0.9999995450377507,0.4445909437538732,0.004957449855577716,0.08157770424615826,0.012222590050022455,0.0058847691178298255,0.0002173201876483396
1.05,0.24951194332849808,-0.0004890343441235298,0.8930752231585853,0.0011148933092948474,4.206676924982158e-05,-0.0001573965879796375,0.9999993652346035,0.4260881877530914,0.004437042404012486,0.06732615298724037,0.011722636935028015,0.0015684894042149915,0.0006141386333019191
1.08,0.26181817233291016,-0.0003847871438652517,0.8947027818653002,0.001297952459686732,1.582131142483022e-05,-0.00015220262715393893,0.9999991459513647,0.4102033767889412,0.003732826281696627,0.054267007581435066,0.012204212811087687,-0.0017473885661613035,0.0003487256424349702
1.11,0.27375492140505286,-0.0003016650830143959,0.895967215103055,0.001494188907301382,-4.43776321367639e-05,-0.00015349446041853894,0.9999988709341555,0.39789195571323616,0.003010026179472432,0.04212834220779631,0.013083054748827849,-0.00401137981703142,-8.070892955586189e-05
1.14,0.2854373819526154,-0.00023596366378763294,0.8968847138719396,0.0017013876918546547,-0.00012710344579556986,-0.00016034463623151743,0.9999985317060389,0.3894198683346271,0.0024098760036485615,0.030509165090040015,0.013814096877550086,-0.0055136111725254166,-0.0004490538135047409
1.17,0.2969838649389462,-0.00018034273226829863,0.8974572744846139,0.0019027715038992127,-0.00022298360220726903,-0.00016971174132791178,0.9999981504667106,0.3848887793376139,0.0020495977857583818,0.01894357562510794,0.013426556662674423,-0.006390914076517349,-0.0006153079871666669
1.2,0.3085169949617418,-0.00012677003058382587,0.8976692594938033,0.0020502503266168733,-0.00031960158191059884,-0.00017641572134216137,0.9999978316006092,0.38444079755777194,0.001946328789953276,0.006850199098781174,0.009832937318214429,-0.006440373324174453,-0.00043687101232875913
1.23,0.32016325268512286,-7.813549873059795e-05,0.8974821267481732,0.0020382173967793096,-0.0003955421154980391,-0.00017242993975713784,0.999997829739742,0.3882034439253954,0.0017304908173867966,-0.006522233434296733,-0.0008012152650589618,-0.005062288035719254,0.0002763543643512342
1.26,0.33204628061603014,-3.2107743600053314e-05,0.8968945717914104,0.0018682429694096116,-0.0004393566762553215,-0.000156003616572284,0.9999981461466765,0.3960839263111188,0.0015871816603473038,-0.019921959801266993,-0.011330710134853324,-0.0029206779337032688,0.0011055251882625392
1.29,0.34427880694174934,1.939815597861603e-05,0.8959397824434048,0.0016479259849986171,-0.0004551898433079966,-0.00013246831299132842,0.9999985297960695,0.4077217455459895,0.0017219250226057441,-0.032197096903070196,-0.014686965607574626,-0.0010548913234952177,0.0015774465290843828
1.32,0.35695975020043463,7.503927650390031e-05,0.8946258315468,0.0014264646714846321,-0.0004431357596964118,-0.00010606284869566121,0.9999988787893273,0.4226581520122866,0.001820280443718874,-0.04418371542350445,-0.014763409477466632,0.0008045601661546104,0.0017657609752007339
1.35,0.37017037406406017,0.00013603108894960525,0.8929438122072901,0.0012213383860475804,-0.00039742405663398635,-8.118292955740725e-05,0.9999991718976561,0.4403064687290505,0.0019665588358216282,-0.056442730779919965,-0.013674686547906111,0.0030483677390379087,0.0016603743452845228
