q_FBaseX,q_FBaseY,q_FBaseZ,q_FBaseQ1,q_FBaseQ2,q_FBaseQ3,q_FBaseQ4,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,v_FBaseX,v_FBaseY,v_FBaseZ,v_FBaseWx,v_FBaseWy,v_FBaseWz,v_LRHip1,v_LRHip2,v_LRHip3,v_LRKnee,v_LRAnkleRoll,v_LRAnklePitch,v_LLHip1,v_LLHip2,v_LLHip3,v_LLKnee,v_LLAnkleRoll,v_LLAnklePitch
0.4745698383334118,0.002634771950785739,0.8726618453461435,0.0015471282513182573,0.0006953204434049406,-0.0008804263459546137,0.9999981738848848,0.0021876707920517637,-0.006239256000006001,-0.42812239488745546,0.5373622583313808,0.0031589228114067215,-0.11007597342383968,0.0035988890339164878,-0.0060238108298640725,-0.09692463417891356,0.5585254761654388,0.0033467669598645474,-0.4645393368688236,0.2582981949712303,-0.008132914811716345,0.0714486257661193,-0.15600643222916044,-0.09554108336400147,0.048986580760613935,-0.04960098691932785,0.16115982664445533,0.48761538570716934,-0.1644295589154421,-0.004788367188940136,-0.24098884976257132,-0.044230664667023634,0.1573289766575529,-1.230588358672155,1.143570186711445,0.0004184155548218188,0.1595730219724133
0.4849687192652445,0.0023746654266518026,0.8749109144822101,0.0004040891901388398,-0.0002130952109031878,-0.0002805689200650247,0.999999856291709,0.0009654505711379634,-0.003753219239032867,-0.41120633042752974,0.5326387493331822,0.002964454246999703,-0.12077146124757637,0.0020545979591745384,-0.003915848123273788,-0.13726535947186008,0.5933309913097154,0.0032235959850400423,-0.4590300441202188,0.34660299415210866,-0.008121392806337377,0.07515256600847094,-0.07617715675462147,-0.060566256523171824,0.04003124787770729,-0.040740674030460014,0.08286789203243779,0.5638688153308564,-0.15745029993995552,-0.006482285480233948,-0.35651626079122317,-0.051476369158064986,0.07026542355300949,-1.344690843098217,1.1601838381425555,-0.00410569916081683,0.18364309162015902
0.4966191821914367,0.002066620181192305,0.8771477708879573,-0.00012351553465509468,-0.00044784197450056925,2.5224905531110427e-05,0.9999998917725854,0.0003291596873283614,-0.002365524675519989,-0.3939304259710465,0.5280805202078462,0.0026345805173954404,-0.13318414161900913,0.0010577590819258432,-0.0025836121590522418,-0.17577436182162642,0.6282403356602231,0.002897501111911596,-0.4547572053208281,0.3884005794775582,-0.010148128952052726,0.07430806749376208,-0.03516491166676726,-0.01565141336781651,0.02040007347011637,-0.02120969612698673,0.04625648545042929,0.5758634818827747,-0.15194097084453453,-0.010995790986808751,-0.4137560123810915,-0.03322796257495651,0.04440786547405155,-1.283633411658878,1.163644811683589,-0.01086982910428154,0.142427959979691
0.5086516540072751,0.0017468107050122549,0.8792057920933286,-0.00040355012600302135,-0.00037343832174519215,0.0001409549068446181,0.999999838911402,7.060037274336155e-05,-0.0014180687615470912,-0.37688432158333945,0.5239174195342792,0.002248658343710371,-0.14628193727019434,0.0005289188378369799,-0.0015663638687016446,-0.21181975080734888,0.6624011631694725,0.00245932556372596,-0.4519340681242412,0.4011368182191389,-0.010763039850776347,0.06826564076643128,-0.01866539110232697,0.004959759441973004,0.007724306216860899,-0.008618643819499996,0.03158186379909659,0.568203479590234,-0.13877002245223585,-0.012864072456168978,-0.43659318837284056,-0.01762800813629544,0.0339082763450199,-1.2015129661907489,1.1386942503083144,-0.014605851606187865,0.09410457321956349
0.5206124827238331,0.00144799676185307,0.8809849879781297,-0.0005904945775739002,-0.00024383143365248267,0.00016852565461819035,0.999999781730721,-1.364334256935925e-05,-0.0006671557837091998,-0.3603508174188568,0.5204085136906565,0.001872273023476511,-0.15958649058935012,0.0002470261661355808,-0.0007395499437499712,-0.24594028229199183,0.6952643876978808,0.002002904714630535,-0.44986276708413575,0.39872771005320246,-0.010142682648296927,0.059050426348419144,-0.012461058764441722,0.008641471436960533,0.0018461911155168917,-0.00280812384375736,0.025030432594596384,0.5511168054827559,-0.11696352812075239,-0.012546177341128678,-0.44348511063852647,-0.009396422390046637,0.02756046416505578,-1.1373510494880987,1.0954408176136103,-0.015214028303180836,0.069043368003515
0.5323184079216967,0.0011855456352223661,0.8824517278460636,-0.0007440752045531595,-0.0001550975465045707,0.00016496023019439224,0.999999697542436,-3.6352696477483156e-05,-2.4760379831962405e-05,-0.34450311792550653,0.5177395687569134,0.0015370055255231171,-0.17294749353989522,5.862479937517951e-05,-3.502175164785777e-05,-0.27866122323992853,0.7264697577058055,0.0015751575201690894,-0.44773261718295176,0.3902140278346253,-0.008943635340132958,0.048723859110157454,-0.010237770626781816,0.005917455690491612,-0.00023170432081703364,-0.0007569784636041305,0.021413180129241247,0.5282566497783419,-0.08896483112477248,-0.011175583265113129,-0.4453667650181701,-0.006280045558680043,0.02348427307007045,-1.0906980315978907,1.0401790002641556,-0.014258239815381522,0.07100499670613315
0.5437354768962802,0.0009639309210977136,0.8836051115266711,-0.0008896865823147326,-0.00012153559344325514,0.00015556962095837555,0.9999995847424027,-4.6519584425031515e-05,0.000549352191456542,-0.32943941389822123,0.5160548120345844,0.001253629456401637,-0.18639507052933327,-0.00011098621505352597,0.000594590699836461,-0.31025588643518043,0.7556968467590714,0.0011917302748975982,-0.44489922313199665,0.380577187698789,-0.007571857773499449,0.038328623841805756,-0.009707155884599208,0.002239528863108903,-0.0006228687492413801,-0.0003388962649182787,0.01913708570961682,0.5021234675761773,-0.056158557410969284,-0.009445868970716002,-0.44825256631460125,-0.005653700480956849,0.02098708171614396,-1.05315543984173,0.9742363017755323,-0.012780908175716374,0.09444646836517095
0.5549000514722883,0.0007819517762238061,0.8844517428663624,-0.0010402917724394796,-0.00013185196195217733,0.0001498185078957356,0.9999994389810941,-6.163581683979787e-05,0.0010810066946627013,-0.31520668264519236,0.5154967298233786,0.0010224706874341638,-0.20005184330134057,-0.0002896903770897033,0.0011783642380652217,-0.3407775375975049,0.7825969402492621,0.0008567816233116016,-0.440899628734528,0.37215774515561434,-0.006233987005705027,0.028114875856089457,-0.01004050411453356,-0.0006858557132548154,-0.0003827974975825402,-0.0005038744138255453,0.01772181677353864,0.4744243751009621,-0.018602740373526022,-0.007705292298915775,-0.4552257590669101,-0.005956805401205911,0.01945911794095869,-1.0173883720774823,0.8966697830063545,-0.011164955052866554,0.13331981324895564
0.5658761796591353,0.0006351476348782149,0.8849932822689961,-0.0012025638373922758,-0.00017273419753059433,0.00015036331215504932,0.9999992506967135,-8.617660522417477e-05,0.0015889283298960752,-0.3018275986297984,0.5162300727312784,0.0008383257038860031,-0.214087671182011,-0.0004832136272811589,0.0017292956022429782,-0.37012211892907976,0.8067702612542932,0.0005721205488751801,-0.4353986862665199,0.3658749277119808,-0.005043649326907021,0.017928729834981706,-0.01081854824168129,-0.0027238995370545797,3.4913240094692414e-05,-0.0008180262794792298,0.0169307211744458,0.4459694671797983,0.02444476359666177,-0.006138166118272021,-0.4678609293556813,-0.006450775006381852,0.01836437880592522,-0.9781527110524952,0.8057773668343716,-0.009488702481214053,0.18336474893360263
0.57673701743393,0.0005167666948793397,0.8852211305355382,-0.0013763395452793873,-0.00023419414971580485,0.00015680304345397825,0.999999013127194,-0.00011936620096777664,0.00208173518518261,-0.2893229891152594,0.5184557325786362,0.0006923348240858444,-0.22870239502106668,-0.0006864219722769428,0.0022451477075716678,-0.3980684489576833,0.8277563806664942,0.0003379242095146815,-0.4281402607405798,0.3620297524411573,-0.0040766185111842015,0.007437277574439932,-0.011585599554289096,-0.004096104147650708,0.00042639131487496614,-0.0011063198581200623,0.016426895176217832,0.41682031715130147,0.07418866157859222,-0.00486636266000529,-0.4871574613018559,-0.006773611499859462,0.017195070177622986,-0.9315443342867837,0.6995373137400318,-0.007806544645349953,0.2419475175313368
