t[s],q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch
0.0,0.0,0.0,-0.1,0.2,0.0,-0.1,0.0,0.0,-0.1,0.2,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22951950797331958,-3.2889445938859736,-2.278312332608864,-19.7535587469928,3.927820307898501,-38.845303134699336,-0.2295161518248614,-3.2889453755997433,-1.8400143383945429,-19.565767784962397,3.927823534572295,-39.35258464754702
0.03,0.00166822549957928,-0.0067438197456689275,-0.09819344971076836,0.2057639656099987,0.0016158039454331628,-0.10908724992092776,0.001668222091920488,-0.0067439098394884624,-0.11335035965128673,0.23328787051222402,0.0016157985260058239,-0.12231778303516086,0.055607516652642665,-0.2247939915222976,0.06021834297438786,0.1921321869999565,0.05386013151443876,-0.3029083306975917,0.055607403064016264,-0.22479699464961542,-0.44501198837622397,1.1095956837408005,0.053859950866860795,-0.7439261011720282,-25.497314545556005,32.03054417575823,38.03510826439089,-3.2321794266121326,22.50110894164563,-26.51394618493183,-10.1037944763693,-1.2071555370771327,-39.38741025982407,-12.93890948356293,-0.007782831334749883,-1.5995583851679716
0.06,0.000962558757573097,-0.0036785712672658174,-0.08988290002550674,0.20650642411695194,0.0018882803008023073,-0.11736044518365898,0.001287007058982101,-0.0037744168196152603,-0.14041876366294442,0.2696359414818298,0.0019297048340098041,-0.13040635854755248,-0.02352222473353944,0.10217494928010365,0.2770183228420541,0.02474861689844146,0.009082545178971488,-0.27577317542437413,-0.012707167764612906,0.09898310066244007,-0.9022801337219231,1.211602365653525,0.010463543600132678,-0.26961918374638755,-4.612560118571529,24.253113090007734,6.61817892809874,-6.93990655706198,21.23732190986122,-5.100042584720052,-2.019632357265503,-0.3466259794358472,-7.693137116991517,-1.2447131399723868,-0.006096260395714457,-0.4044903657900326
0.09,0.0004189840377939424,-0.0019684315295606684,-0.08083805900448787,0.20709536271943133,0.001995390370329369,-0.12635157500870314,0.0006026973283786131,-0.0022346272367737893,-0.16959544812828434,0.30624570275027396,0.0021041023134163337,-0.13784318548674213,-0.01811915732597182,0.05700465792350497,0.3014947007006287,0.019631286749312544,0.0035703356509020545,-0.2997043275014721,-0.022810324353449603,0.05132631942804905,-0.9725561488446637,1.2203253756148067,0.005813249313550981,-0.24789423130632215,1.588976322367566,24.08220711096644,-1.2317819787105369,-4.108508762295653,21.845789407479685,9.368629999886265,0.14356886449371506,0.163769192410093,0.5887894055277593,2.097751185932712,0.012531358871649814,-0.07045907106351351
0.12,0.00014935112522153295,-0.000913996590288495,-0.07235640668631958,0.20764494790101418,0.001960535512600381,-0.1352260090906155,0.00018449004110279542,-0.0011819312511654491,-0.19812528265574542,0.3428143576010909,0.002100344264181139,-0.1454653129160175,-0.008987763752413648,0.035147831309072446,0.2827217439389429,0.018319506052761475,-0.0011618285909662492,-0.295814469397078,-0.013940242909193922,0.03508986618694467,-0.9509944842487029,1.218955161693898,-0.00012526830783983478,-0.2540709143091787,2.5643032924565707,24.514469317987547,-1.21295506326587,-0.43422711566542155,22.746035294716744,17.220391029019293,0.2125146302143975,-0.0040345927145576345,0.8758896716662469,2.3365592517029765,0.004111764786182913,-0.06480837882369177
0.15,5.153971282383611e-05,-0.00013275910904585306,-0.06479175096243306,0.2084091584918274,0.0018433944576158863,-0.14360649439954437,-3.4190852356001016e-06,-0.0003375380968822306,-0.22566435309893942,0.3787189002172007,0.001974850098139973,-0.15325954378549467,-0.003260380413256562,0.02604124937475473,0.2521551907962174,0.025473686360440687,-0.0039047018328164968,-0.2793495102976294,-0.006263637544613184,0.028146438476107285,-0.9179690147731336,1.1968180872036605,-0.004183138868038869,-0.2598076956492386,2.087118618529833,24.76881091605963,0.3399634580358979,1.9020331654951768,23.45404030057571,20.60358885228942,-0.1657722125262965,-0.09976676574103006,-0.5608991008436742,1.9673551143712569,-0.0009556107013757256,-0.1152996552612397
0.18,2.7500233084863182e-05,0.0005325981788952846,-0.05820948460572971,0.2095987572591193,0.0016920731757533757,-0.15142926614965965,-9.083159478333098e-05,0.0003907688472701682,-0.25243038889515035,0.4134866144192893,0.0017940398234740727,-0.16076709693143099,-0.0008013159912990979,0.02217857626470459,0.21940887855677826,0.03965329224306372,-0.005044042728750352,-0.26075905833717566,-0.0029137503182576963,0.024276898138413296,-0.8922011932070313,1.1589238067362853,-0.006027009155530012,-0.2502517715312103,1.3814544367980632,24.83501467311866,1.694430526598056,2.9383806579645664,23.909936130881203,21.45121261013735,-0.521747723919493,-0.10214875501106192,-1.9307390621356235,1.6589046436701549,-0.0019434023019124843,-0.15380894383318952
0.21,2.3056455590286553e-05,0.0011381913216948598,-0.05257347136217204,0.2113703417409218,0.001537868983708722,-0.15881509242799108,-0.0001630350610861469,0.0010459010069752122,-0.2785653460658134,0.4467384925440332,0.0016007274004030477,-0.16750992745386406,-0.00014812591648588765,0.02018643809331917,0.1878671081185891,0.059052816060084,-0.0051401397348217834,-0.2461942092777144,-0.0024067822100938643,0.0218377386568348,-0.8711652390221015,1.108395937491463,-0.006443747435700831,-0.22476101741443602,0.7420204089901845,24.79814590925689,2.649256643549639,3.187263433497981,24.14885563248329,21.07226177697759,-0.7894670490118552,-0.07885716466943057,-2.96686728370563,1.4833837004457977,-0.0016374229957384653,-0.17524980768888523
0.24,1.60848715844256e-05,0.0017032881658867907,-0.047799271883781344,0.21385453976454322,0.0013988736330186838,-0.16597799895368134,-0.0002566569142759065,0.00165086206041323,-0.30402129951737644,0.4781076973735578,0.0014174597769147494,-0.17313720252603712,-0.00023238613352869847,0.018836561473064367,0.1591399826130231,0.08280660078738009,-0.004633178356334608,-0.23876355085634257,-0.0031207284396586547,0.02016536844793393,-0.8485317817187684,1.045640160984154,-0.006108920782943275,-0.18757583573910186,0.20825658491498136,24.709900713797275,3.3159816505579855,3.0483103782416174,24.213616220340466,20.20830656274321,-0.9902117168559722,-0.06476353429743811,-3.7391059131336672,1.3943107627331084,-0.001462503200133656,-0.18568596103481252
0.27,2.4665298054598453e-07,0.0022368645808125355,-0.0437783710383307,0.21717610324241468,0.001283446274076323,-0.1731701291068861,-0.0003808279214809753,0.0022165779947893424,-0.32859474832806707,0.507204109224993,0.0012561853707613881,-0.17742633838670627,-0.0005279406201293206,0.01778588049752483,0.134030028181688,0.11071878259571548,-0.003847578631412031,-0.23973767177349145,-0.0041390335735022946,0.018857197812537075,-0.8191149603563546,0.9698803950478432,-0.0053758135384453735,-0.142971195355638,-0.22850872121454208,24.58878343843454,3.7921236096166804,2.733578246124531,24.1349251965486,19.21820680998921,-1.1454309486183438,-0.06795597683431857,-4.324859962219547,1.3513960309910613,-0.0017719978691922665,-0.1896550386026097
