q_FBaseX,q_FBaseY,q_FBaseZ,q_FBaseQ1,q_FBaseQ2,q_FBaseQ3,q_FBaseQ4,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,v_FBaseX,v_FBaseY,v_FBaseZ,v_FBaseQ1,v_FBaseQ2,v_FBaseQ3,v_FBaseQ4v_LRHip1,v_LRHip2,v_LRHip3,v_LRKnee,v_LRAnkleRoll,v_LRAnklePitch,v_LLHip1,v_LLHip2,v_LLHip3,v_LLKnee,v_LLAnkleRoll,v_LLAnklePitch,u_LRHip1,u_LRHip2,u_LRHip3,u_LRKnee,u_LRAnkleRoll,u_LRAnklePitch,u_LLHip1,u_LLHip2,u_LLHip3,u_LLKnee,u_LLAnkleRoll,u_LLAnklePitch,LR_fx,LR_fy,LR_fz,LR_taux,LR_tauy,LR_tauz,LL_fx,LL_fy,LL_fz,LL_taux,LL_tauy,LL_tauz
0.565876179659135,0.000635147634878,0.884993282268996,-0.001202563837392,-0.000172734197531,0.000150363312155,0.999999250696714,-8.61766052241748E-05,0.001588928329896,-0.301827598629798,0.516230072731278,0.000838325703886,-0.214087671182011,-0.000483213627281,0.001729295602243,-0.37012211892908,0.806770261254293,0.000572120548875,-0.43539868626652,0.365874927711981,-0.005043649326907,0.017928729834982,-0.010818548241681,-0.002723899537055,3.49132400946924E-05,-0.000818026279479,0.016930721174446,0.445969467179798,0.024444763596662,-0.006138166118272,-0.467860929355681,-0.006450775006382,0.018364378805925,-0.978152711052495,0.805777366834372,-0.009488702481214,0.183364748933603,0.122959734880122,23.8569861823474,2.36521843328412,-16.511053401483,23.3765129005543,2.64140749438439,-0.765548239295291,-0.060669136303034,-2.90637369504317,3.22167909256869,-0.002205259077768,-0.179185568966153,-3.57785257518,0.453831424751,216.616716853,-24.1347676087,3.29218476645,-0.771251084378,0,0,0,0,0,0
0.57673701743393,0.000516766694879,0.885221130535538,-0.001376339545279,-0.000234194149716,0.000156803043454,0.999999013127194,-0.000119366200968,0.002081735185183,-0.289322989115259,0.518455732578636,0.000692334824086,-0.228702395021067,-0.000686421972277,0.002245147707572,-0.398068448957683,0.827756380666494,0.000337924209515,-0.42814026074058,0.362029752441157,-0.004076618511184,0.00743727757444,-0.011585599554289,-0.004096104147651,0.000426391314875,-0.00110631985812,0.016426895176218,0.416820317151301,0.074188661578592,-0.004866362660005,-0.487157461301856,-0.006773611499859,0.017195070177623,-0.931544334286784,0.699537313740032,-0.00780654464535,0.241947517531337,-0.103150199690383,23.6479619973248,2.82501376657772,-15.5172437673114,22.9990754658133,4.15736325111756,-0.901814967334645,-0.066918038216325,-3.41728253483162,3.10025923196198,-0.002444532087003,-0.178824821266977,-2.21739412701,0.274502274658,215.431426027,-23.7921945701,1.8813045576,-0.650020769634,0,0,0,0,0,0
0.58755955282912,0.000418674315352,0.885112926382109,-0.001547697401189,-0.000307399950066,0.000166521706683,0.999998741203481,-0.000156934755634,0.002543018136473,-0.277727989827175,0.522421159772742,0.000573021174783,-0.244124890689844,-0.000884551469734,0.00270532333123,-0.42429756480245,0.845024575113369,0.000148542782447,-0.418917150954537,0.360748096913692,-0.003375539875812,-0.003811900672676,-0.011424484326191,-0.004879486597321,0.000643871420095,-0.001252285155547,0.015376098376358,0.38649997626949,0.132180906470185,-0.003977121643421,-0.514083188959237,-0.006604316581897,0.015339187455272,-0.874303861492225,0.575606481562499,-0.006312714235591,0.30743699286808,-0.278482928837693,23.2844307448745,3.14866952344364,-14.6438211898608,22.5046055770218,5.56055113013497,-0.99650329944263,-0.021783374642466,-3.79436052238951,2.97444131922471,-0.000926033794869,-0.175393303053058,-0.89147622043,0.154884983862,213.669391049,-23.3449012044,0.562319377096,-0.551181319663,0,0,0,0,0,0
0.598424646147921,0.000334624804265,0.884627528042076,-0.001671889480224,-0.000379627931029,0.000173860131429,0.999998515219325,-0.000188740839099,0.002893856057244,-0.267104573666261,0.528429011491559,0.000469676183291,-0.26061867875093,-0.001047737194846,0.00305561165401,-0.448405944681916,0.857959662095864,-1.18397013034861E-05,-0.407556475756554,0.362157607238973,-0.002872416974725,-0.016437895653422,-0.008280136305414,-0.004814575782887,0.000484322849696,-0.001060202782145,0.011694597359028,0.354113872030453,0.200261723960585,-0.003444833049753,-0.549792935369555,-0.005439524170404,0.011676277425998,-0.803612662648856,0.431169566083153,-0.005346082791682,0.378689173266132,-0.431681103223251,22.7331282427587,3.36867794528513,-13.8770801621215,21.9762558525617,6.82768692492763,-1.05222932665369,0.079812894286188,-4.07038543431289,2.81762292095592,0.002314040934217,-0.171469720492164,0.465198357555,0.246902851713,211.166085755,-22.8894105852,-0.639672447478,-0.45398391363,0,0,0,0,0,0
0.609415506468914,0.000272228043669,0.883699266252355,-0.001648204007902,-0.000428151599673,0.000167411825906,0.999998536040446,-0.000189392356816,0.002929075039322,-0.257548560946281,0.536832056151942,0.000386279949019,-0.27847964410845,-0.001129063637844,0.003142810192112,-0.469939667104303,0.865839757350162,-0.000164139161515,-0.393922734660329,0.366336180590522,-0.002101683341923,-0.031244931020714,0.001578305845845,-0.00323446172148,-0.000435894496613,-2.17172572638475E-05,0.00117396606926,0.318533757332677,0.280101488679418,-0.002779874475728,-0.595365511917321,-0.002710881433281,0.002906617936747,-0.717790747412895,0.262669841809949,-0.005076648673712,0.454458036540803,-0.660591469288232,22.6082372324583,3.70823340159726,-13.3282030980282,21.7723192009278,8.14382491081807,-1.1531765218808,0.082797558253162,-4.46461880742532,2.72838065373083,0.002339150597858,-0.167116417169088,1.79231118675,0.219808782932,210.381139941,-22.7536735742,-1.8421715312,-0.306530428971,0,0,0,0,0,0
0.620611029497338,0.000229554248793,0.882315910704276,-0.001479932804725,-0.000442500945111,0.000145838154396,0.999998796360796,-0.00015610584587,0.002658115246725,-0.248948829058713,0.547600432263366,0.000320016830251,-0.297809286341704,-0.001116444839656,0.002973401047156,-0.488745396879199,0.868713006196588,-0.000309005020615,-0.378191408218919,0.373143368930359,-0.001394593946815,-0.046441154056235,0.011217316510458,-0.000956121721434,-0.001444625323106,0.001109550364885,-0.00903199308655,0.286657729585595,0.358945870380809,-0.002208770625594,-0.644321407775133,0.000420626606268,-0.005646971498554,-0.62685765916322,0.09577496154752,-0.004828861970004,0.524377548047001,-1.02139075760913,22.9394518449936,4.3128143174665,-12.8670797730228,21.8989433462611,9.6786321070174,-1.34172584152862,-0.013331629305123,-5.11692937541303,2.66215571783719,-0.000962123821414,-0.167569726808567,3.15095931575,0.0407600498215,211.490960305,-22.9401712612,-3.20323697586,-0.0930798265759,0,0,0,0,0,0
0.632079606121326,0.00019341342213,0.880519612642888,-0.001272080088585,-0.000430081371073,0.000118415957931,0.999999091409549,-0.000111065269745,0.0023022158113,-0.240991278504934,0.560329355348954,0.000259269272548,-0.318507798498219,-0.001039740789151,0.002711496100937,-0.505045329512076,0.867390464058363,-0.000428129113732,-0.360794224095235,0.38223318335465,-0.001140463392218,-0.060213382335592,0.01385617206938,0.000828663992765,-0.001833053438559,0.001501352537495,-0.011863314514178,0.265251685125965,0.424297436186269,-0.002024918590087,-0.68995040521718,0.002556801683518,-0.008730164873936,-0.543331087762562,-0.04408473794083,-0.003970803103896,0.579906137456136,-1.42115255304486,23.1344977392957,4.99354170695492,-12.3082261452291,22.0012344426483,11.3823362312811,-1.53827376219756,-0.0559368700712,-5.83599144957672,2.51369756230777,-0.002579221450317,-0.174213021240776,4.49011706808,0.0166177917056,212.149814241,-23.1225457164,-4.74874310328,0.139213845854,0,0,0,0,0,0
0.643876297841471,0.000161414187787,0.878330396498472,-0.001071953516166,-0.000393784742629,9.03402264349371E-05,0.999999343843724,-6.51609615402483E-05,0.001956386670484,-0.233414547639129,0.574675799541154,0.000203581065282,-0.340490528802243,-0.000925478383278,0.002424170869046,-0.519129817665685,0.8625716623996,-0.00051198160735,-0.342092500256313,0.393162588892538,-0.000977287327619,-0.07330020563369,0.013341262423961,0.002420581379144,-0.001874375637907,0.001530143606827,-0.011527638027211,0.252557695526817,0.478214806406663,-0.001856273575532,-0.732757676800772,0.003808746862421,-0.009577507729723,-0.469482938453633,-0.16062672195876,-0.002795083120592,0.623390794630732,-1.8049936290753,23.2243253035964,5.67162905684614,-11.6558428485057,21.9885596145731,13.3287863218234,-1.72257710887927,-0.052333047187796,-6.54130022919417,2.32613284448629,-0.002417867097409,-0.182694452690945,5.61633272998,-0.00685516240104,212.499157828,-23.2016979335,-6.56829275727,0.355441293059,0,0,0,0,0,0
0.656039450465122,0.000129905615258,0.875753124994229,-0.000895253054071,-0.00033095894624,6.59285118004993E-05,0.999999542320683,-2.84297466837919E-05,0.001655209285339,-0.226020937459792,0.590362018484022,0.000149541066842,-0.363685321922399,-0.00079373499429,0.002147894654193,-0.531322993573648,0.854864813646394,-0.000565185271798,-0.32235327390691,0.405375895927354,-0.000944347157785,-0.086204828726326,0.011779774846567,0.004189069250698,-0.001627596820344,0.001224373828549,-0.010039246171491,0.246453672644585,0.522873964762256,-0.001801333281356,-0.773159770671873,0.004391446299608,-0.009209207161744,-0.406439196932103,-0.256894958440217,-0.001773455481604,0.657974211646757,-2.12644476663067,23.2770113889946,6.32312291266473,-10.842421061452,21.8451742065374,15.6918917895127,-1.89427308887022,-0.043361000774204,-7.2017687880616,2.11987382850802,-0.001900182078224,-0.191581123935925,6.27092836053,-0.118173717144,212.692547628,-23.1690013064,-8.85792870593,0.511344656608,0,0,0,0,0,0
0.668579480043487,9.07683301799599E-05,0.872784145644835,-0.000743496496409,-0.000233551873791,5.03367649629622E-05,0.9999996950663,-1.52072633747075E-05,0.001410704194136,-0.218687363325001,0.607167143617246,8.74217474941858E-05,-0.388014201028155,-0.000662524115385,0.00190329458995,-0.541977331020525,0.844794566504466,-0.000601294037412,-0.301742320694817,0.417944906962313,-0.001190797466,-0.099203973673305,0.010117192497098,0.006494068828498,-0.00103698473787,0.000440749443636,-0.008150169706762,0.244452471159706,0.560170837774144,-0.00207064397825,-0.810962636858526,0.004373695963492,-0.008153335474786,-0.355144581562578,-0.335674904730936,-0.001203625520462,0.687031773736464,-2.32169177243339,23.3383555025881,6.94118261062392,-9.69681470874795,21.5665407112237,18.8483832741496,-2.0514785693789,-0.047974617072049,-7.79251170705719,1.90965765586536,-0.001738913159065,-0.200386338221999,5.94654644603,-0.345811544985,212.907798699,-23.0472790935,-12.0414936964,0.538712291862,0,0,0,0,0,0
