Cx,Cy,Cz,CoPx_FL,CoPy_FL,CoPx_FR,CoPy_FR,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.11277831485523114,2.9996949218908084e-05,1.089258556510755,0.11232280330144437,0.09043090838283041,0.11519698202172872,-0.13043523301728327,0.11216814241496129,0.11044930982474357,-0.0002561178486999438,4.703121573129423e-06,-1.8366083722132907e-06,-5.3839960891766065e-06,0.9999999999727603,0.11216814241496066,-0.11043069017525643,-0.0002561178486999577,4.7031215731238906e-06,-1.8366083718524683e-06,-5.3839960890720115e-06,0.9999999999727603
0.11277665015922848,0.00030610914640558123,1.0902281079585838,0.11275702629196116,0.09043008726719606,0.11557901189345465,-0.13043610936426597,0.11216792683489792,0.11044928065267787,-0.00025044417731075186,4.775097357123912e-06,-1.8367629652444534e-06,-5.1474026538486654e-06,0.9999999999736647,0.11216790370624241,-0.11043072054181588,-0.00025009345539740713,4.777090752845382e-06,-1.8367625398208237e-06,-5.140883172941193e-06,0.9999999999736888
0.11280129325115658,0.0008451154110923089,1.0912097856656844,0.11492234136245462,0.09043349982518802,0.11670082553308321,-0.13043473047451565,0.11216804753086115,0.11044926984505359,-0.0002585014778444805,4.75559000509919e-06,-1.838906252306555e-06,-5.199048416292677e-06,0.9999999999734867,0.11216800664858453,-0.11043073487130957,-0.0002581357454034261,4.763751811506409e-06,-1.8389112241348751e-06,-5.172216691901009e-06,0.9999999999735869
0.11281556294442369,0.0016485269346018013,1.0921772550809414,0.11538777125601639,0.09043633611028498,0.1166910855262164,-0.13043333893234904,0.11216844595562812,0.11044928407295344,-0.0002639303218255895,4.674288658418787e-06,-1.8384552911652246e-06,-5.4857436958254426e-06,0.9999999999723392,0.11216845040254339,-0.11043072694258568,-0.0002641145767017933,4.68644457328232e-06,-1.838513725006018e-06,-5.4446932419683815e-06,0.9999999999725064
0.11280821847468249,0.0027176137908614716,1.0931197058920639,0.11522137668534674,0.09043839898375847,0.11627800639852184,-0.13043219555797345,0.1121688789516585,0.11044937224106331,-0.00026945695634850164,4.49643228154441e-06,-1.8366747836093968e-06,-6.102052547828122e-06,0.9999999999695871,0.11216897211408113,-0.11043063878242074,-0.0002706738958808408,4.501875053254201e-06,-1.8368824972610736e-06,-6.083367065414975e-06,0.999999999969676
0.11277773688623448,0.004056145523084102,1.0940343669851564,0.11481680039040183,0.09043958786990115,0.11574569463837098,-0.13043144210749852,0.11216929001393314,0.11044954324092882,-0.0002745377838785784,4.221275658358148e-06,-1.833545144889928e-06,-7.060294116287735e-06,0.9999999999644859,0.11216950749987536,-0.110430453321046,-0.00027726122157729904,4.200547286230629e-06,-1.8340555232414453e-06,-7.134379422989546e-06,0.9999999999640464
0.11272594840840862,0.005671682303811919,1.0949193674464617,0.11431038543697127,0.09043984371253208,0.11519906094842822,-0.1304311474081027,0.11216965189817367,0.11044979577133222,-0.00027930393771866124,3.850825783925645e-06,-1.828549161278532e-06,-8.360490120453418e-06,0.9999999999559652,0.11217002253056585,-0.11043016428443249,-0.0002839965292467106,3.7757747514676536e-06,-1.8296135364952775e-06,-8.633994184088148e-06,0.9999999999539255
0.11265572047520064,0.007576376760826444,1.0957731613594361,0.11373966672873438,0.0904390835494269,0.11467310169591546,-0.1304313486080694,0.11216995500823593,0.11045012516347558,-0.0002837616287103134,3.390105708256614e-06,-1.820766853268292e-06,-9.992909738771874e-06,0.9999999999426672,0.11217050367130002,-0.11042976922761263,-0.0002908868537231102,3.223777302316734e-06,-1.8228106870340535e-06,-1.0611865007775771e-05,0.9999999999368367
0.11257019841686544,0.00978750028505715,1.0965938712346852,0.11310249758618254,0.0904371783756744,0.11417631309173411,-0.13043205945389064,0.11217019278961197,0.11045052575837586,-0.00028794398225752416,2.8444147753770293e-06,-1.809063626276881e-06,-1.1945510136338244e-05,0.999999999922971,0.1121709421217665,-0.11042926648652351,-0.00029797467396641686,2.5403028506700175e-06,-1.8128148634284134e-06,-1.310105825171947e-05,0.9999999999093117
0.11247262943622809,0.012327846443274412,1.09737903637208,0.11237016903437978,0.09043393198766084,0.11370329948872278,-0.13043326773481706,0.11217035864498096,0.11045099178342307,-0.0002918806724984263,2.2188468304113845e-06,-1.7920655779540097e-06,-1.4205678181228598e-05,0.9999999998950323,0.1121713304811934,-0.11042865370288045,-0.00030530793742834794,1.719443229740479e-06,-1.7987560780625917e-06,-1.6142942502284726e-05,0.9999999998666069
