q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,v_LRHip1,v_LRHip2,v_LRHip3,v_LRKnee,v_LRAnkleRoll,v_LRAnklePitch,v_LLHip1,v_LLHip2,v_LLHip3,v_LLKnee,v_LLAnkleRoll,v_LLAnklePitch
-0.00586183285854865,0.006911301506801982,-0.31253836189929046,0.9656861838066199,-0.004321905117552165,-0.6600383144106752,-0.004206546262432452,0.007414864317323142,-0.7197687938722164,0.9537330649858622,-0.004069808620586024,-0.2382609671771651,-0.14731923594746862,0.1849370464796646,0.19412971825060837,-0.19949469170770495,-0.07798926933650464,-0.21613904237040538,-0.11657368849187794,0.19817005138996438,0.09352568672957672,0.18482489068489505,-0.0770503953402251,-0.43110821026664037
-0.004470555904923232,0.004166994654871523,-0.34186344884548286,0.9850798456584816,-0.0037810038630662463,-0.6469779913753048,-0.0026741868702517793,0.004803126335600265,-0.6987530044695386,0.9458239218327367,-0.0035143197650762824,-0.2483055076706062,0.04637589845418061,-0.09147689506434861,-0.9775028982064138,0.6464553950620596,0.018030041816197287,0.43534410117901556,0.051078646406022415,-0.08705793272409593,0.7005263134225914,-0.26363810510418356,0.01851629518365805,-0.3348180164480362
-0.002614319294356091,0.002910613024709876,-0.37489822574644655,1.0049149043789936,-0.0031861469817656032,-0.6334314608675523,-0.0013240025478469446,0.003109916926582055,-0.6763006140956613,0.9384963934275716,-0.0028380545328369863,-0.261730063809368,0.06187455368557136,-0.04187938767205491,-1.1011592300321225,0.6611686240170669,0.019828562710021435,0.45155101692508215,0.04500614408016117,-0.056440313633940344,0.7484130124625745,-0.24425094683883325,0.022542174407976536,-0.4474852046253926
-0.0013773858958501222,0.0020328800079813564,-0.4060741743289882,1.0249371642606597,-0.0025390204141006066,-0.6213708091468516,-0.0005691553009987862,0.0020082843149767486,-0.6541984155484024,0.9315167228709506,-0.0021741862834288505,-0.27651372556192544,0.0412311132835323,-0.029257767224283984,-1.0391982860847204,0.6674086627222028,0.021570885588833216,0.4020217240233581,0.025161574894938615,-0.03672108705351021,0.7367399515752959,-0.23265568522070434,0.022128941646937864,-0.49278872508524896
-0.0006716263329453212,0.0012885026606211923,-0.4349359329738115,1.0444626466713418,-0.0018970355757018183,-0.6109797540043502,-0.0002156098456152803,0.001202608107416636,-0.632773905177715,0.9249278259982716,-0.001593432534368334,-0.29154367995386493,0.023525318763493366,-0.0248125782453388,-0.9620586214941114,0.6508494136894039,0.021399494613292942,0.3463685047500463,0.011784848512783531,-0.026855873585337087,0.7141503456895799,-0.2196298957559632,0.019358458302017215,-0.5009984797313172
-0.000249425400327518,0.0006368899041197553,-0.46211842846976386,1.063106477602999,-0.001300881603735295,-0.6015796728074112,-5.417160724922548e-05,0.0005664997656998742,-0.6121156187016079,0.9188845777641921,-0.0011126001470946182,-0.30639769800742284,0.014073364420593442,-0.021720425216714568,-0.906083183198413,0.621461031055239,0.019871799065550776,0.3133360398979677,0.005381274612201827,-0.02120361139055873,0.6886095492035724,-0.20144160780265263,0.01602774624245719,-0.4951339351185976
5.51451460646378e-05,4.930776616606392e-05,-0.4881703814145894,1.0806400637026092,-0.0007620985577893388,-0.592424380945311,3.395644621076618e-05,3.427117419854762e-05,-0.5922369200303689,0.9134731662019495,-0.0007209489653884499,-0.3209990007980433,0.010152351546405192,-0.019586071265123045,-0.8683984314941848,0.5844528699870033,0.01795943486486521,0.30517639540333796,0.002937601781999723,-0.01774095305004422,0.6626232890413019,-0.18038038540808526,0.013055039390205612,-0.48671009302068197
0.00032333468968158657,-0.0005023047522775296,-0.51337045135437,1.0968389066482018,-0.0002787157420926348,-0.582939429873727,0.0001021812405182923,-0.00043917053135057716,-0.5731089155908118,0.9087459482374439,-0.00040165389979550533,-0.335428489185612,0.008939651453898292,-0.018387083948119783,-0.8400023313260205,0.5399614315197554,0.01611276052322347,0.31616503571946625,0.0022741598102508703,-0.015781390184970826,0.637600147985238,-0.15757393215018778,0.010643168853098151,-0.48098294625229127
0.0005877949102699986,-0.0010386947535117137,-0.5377799341829862,1.1114195425339242,0.0001526171095077964,-0.5727124291609995,0.00017142192917450697,-0.0008874757822711448,-0.5546934109790218,0.9047781679063382,-0.00013970806011656472,-0.3498334937500937,0.0088153406862804,-0.017879666707806132,-0.8136494276205397,0.48602119619074613,0.014377761720014372,0.340900023757583,0.002308022955207156,-0.014943508364018919,0.6138501537263329,-0.13225934437018833,0.008731527989298021,-0.48016681881605644
0.0008574163531524257,-0.0015699752307679715,-0.5613045719849505,1.1240183530386365,0.0005322557304875061,-0.5614320587234926,0.0002485558068679349,-0.0013346201338981147,-0.5369745879645567,0.9017042849931568,7.713436400513435e-05,-0.3643918907437364,0.008987381429414234,-0.017709349241875262,-0.7841545933988132,0.41996035015707683,0.012654620699323656,0.3760123479169002,0.002571129256447597,-0.014904811720898999,0.5906274338155032,-0.10246276377271653,0.007228080804056637,-0.4852798997880907
0.001127908760443588,-0.0020928152064674404,-0.5837269328874564,1.1341782054120164,0.0008583739400446133,-0.5488395947472052,0.00033401134104193807,-0.001792147366563634,-0.5199811655637518,0.8997411500621785,0.00025968751554609744,-0.37930787378347186,0.00901641357637208,-0.017427999189982293,-0.7474120300835275,0.3386617457793321,0.010870606985236907,0.41974879920957714,0.0028485178058001055,-0.015250907755517311,0.5664474133601607,-0.06543783103261189,0.006085105051365437,-0.4971994346578495
0.001382140596903535,-0.00258544990822478,-0.6047164777102185,1.1413304715013783,0.0011311977137942056,-0.5347006571525734,0.00042358031790756,-0.0022451599117036193,-0.5038002271892551,0.8992078844621348,0.0004182449238423378,-0.39482505152079916,0.008474394548664903,-0.01642115672524466,-0.6996514940920722,0.23840886964540114,0.009094125791653078,0.47129791982106056,0.0029856325621873967,-0.015100418171332841,0.5393646124832259,-0.017775520001454034,0.005285246943208014,-0.5172392579109092
