u_LRHip1,u_LRHip2,u_LRHip3,u_LRKnee,u_LRAnkleRoll,u_LRAnklePitch,u_LLHip1,u_LLHip2,u_LLHip3,u_LLKnee,u_LLAnkleRoll,u_LLAnklePitch
0.2415970306684491,-2.2462716246406487,-3.0803390121360827,-23.545495695033686,5.377812746312929,-37.75705852945255,0.15941351371164883,-2.242139293435295,-1.268779569258829,-26.55075401403037,5.351759267115615,-36.66714856619479
-27.418914647858745,37.097407972691876,43.44306476027797,-22.570836620002183,25.09174322259209,-21.147784611029543,-11.781779234519082,-1.1091294414215525,-44.838903033766115,-10.149719041742935,0.006097738943585783,-1.6342164596817743
-5.577840387851477,25.25829927164344,9.782838581456847,-21.64376702117155,22.531419703728012,-4.369304755406241,-2.9525856082949304,-0.7622953637537393,-10.946670381836446,0.06734129814017471,-0.021540007743726976,-0.41528672298946007
0.4767823529312615,23.91153739120911,1.969378966470451,-18.810540057642662,21.920352354080123,8.877374789705701,-0.6778262033791339,0.21044198129849598,-2.7083430110918845,3.2630140012099025,0.010703940743802157,-0.06830460880796993
1.3844387625506869,24.047701775322995,2.0025616030334112,-15.100183406017303,22.052708818814097,16.166292551989088,-0.6128893852638803,0.1338308007288906,-2.4392203027156945,3.416971175003935,0.006446522236977516,-0.06297696001563008
0.9520818619646292,24.275991011623518,3.4292801564872613,-12.610836219042737,22.308141348596475,19.469160745825967,-0.973184371797564,0.00026744430612072066,-3.745438119999879,3.0243861058093993,0.00099044071238475,-0.1121424493147655
0.34424777418423774,24.36293823154016,4.608807230010226,-11.26742778587461,22.508083718127097,20.590865554492368,-1.2899208894885952,-0.04921017428140511,-4.925754186229189,2.7066909242093744,-0.0011044679718981527,-0.14831327535999225
-0.18281378119300612,24.33401307062371,5.397461400307508,-10.574148523040853,22.61011214219899,20.711899257251893,-1.512561534108824,-0.05415259533451542,-5.771886970271766,2.5119543949391874,-0.0015125276032142427,-0.16805329555888746
-0.6032700869182529,24.23469019120347,5.9178266505685535,-10.177832945107212,22.60789004019811,20.463287919643907,-1.6690897309534503,-0.05148740259768766,-6.367971786313928,2.390899306322156,-0.0016180072515943724,-0.17773575053429305
-0.9283260622534812,24.086218121386917,6.25966784952838,-9.911559156444296,22.49952613590044,20.119792381186024,-1.7817201392805573,-0.05645135309338088,-6.787063667414607,2.3070521415619605,-0.001969114900588564,-0.18155740205056012
-1.1651729356078722,23.883506504531464,6.451284473758976,-9.724098630715973,22.27848729865135,19.766894744698174,-1.8565019008866124,-0.06821924648671268,-7.052712252868116,2.2452297406379427,-0.002531363091034416,-0.1809494100535947
-1.3093594639917316,23.59098235498853,6.473592850383286,-9.615597797244124,21.936315202344087,19.418076383838343,-1.8833758857173408,-0.06805065231336213,-7.1457155392970355,2.2055892281874,-0.00261318818599555,-0.1754040309954447
-1.350578101934633,23.142824628481865,6.289864718971383,-9.582613566522001,21.482306528980807,19.102144000032588,-1.8407105603361085,-0.017219258227989857,-7.028410304067227,2.193059654406471,-0.0007770517215714433,-0.16380733758868202
-1.3130537796094197,22.531635864879057,5.968201006545887,-9.530795870390508,21.009725424361797,18.957312304424775,-1.7400950206838899,0.0855587813889904,-6.7606192282995075,2.1757038029095415,0.0028228673034029553,-0.15003847058398048
-1.445479688641013,22.440619213625414,6.108068702076467,-9.318571795268909,20.87168222277729,19.494938536384595,-1.783800542404974,0.08672390124348625,-6.931363263595604,2.1241149675294335,0.0028373979307856553,-0.1479737059603787
-1.7778318047788142,22.886489663017965,6.776723471465841,-8.901586112919025,21.07256676997147,20.76504985737196,-1.992456394053905,-0.01363699888640799,-7.608171499638324,2.0185720581697306,-0.0007963671165951384,-0.16010445467133427
-2.0731038912434716,23.201223882980766,7.394840200732137,-8.41208728451355,21.263396624388506,22.266463226847666,-2.168396225853589,-0.06333198881399234,-8.223043221209835,1.8863114525360591,-0.002700447068563712,-0.17326044615615513
-2.305510916866896,23.389178640208186,7.878909684420123,-7.956557731124522,21.348336629463063,23.8386141674858,-2.294103939646523,-0.0657513127300159,-8.70211610147612,1.7641412834799324,-0.0027312051491369224,-0.18294680456758428
-2.4788811096074035,23.51118452211778,8.260933986553573,-7.516848303989444,21.31377121015293,25.494221872480036,-2.389599876275283,-0.05908947824320243,-9.076591448975856,1.6477134046499895,-0.002339075670613219,-0.19013956040328675
-2.573728733830518,23.605331063369672,8.568836774590997,-6.988704239191023,21.167563967009738,27.433781604673435,-2.464655459023937,-0.059142427860360794,-9.36421083361522,1.535915017127957,-0.002152677380254789,-0.19569862752793338
-2.520884628376705,23.69018001199055,8.796977518111209,-6.165667043138913,20.924319730954167,30.109977563683735,-2.5097460702509835,-0.05918750080056641,-9.536795649851669,1.4439393285304256,-0.0019404771293945883,-0.19905269009356
-2.1763043902134562,23.77007665672978,8.89023781620223,-4.697885251531101,20.609754286648467,34.3309154671488,-2.4895751008752938,-0.028833135922135024,-9.498403044869981,1.4119704012273337,-0.0005553350142058703,-0.19754939664742574
-1.2664190819463041,23.85364515232168,8.691501151991137,-2.055511726877673,20.291237623603344,41.38353570408134,-2.330286149163111,0.07455691414627842,-9.025584304811376,1.5291636004282452,0.0035017767512988966,-0.18409678545965522
0.7710694197002957,24.113244123299747,7.767596451583952,2.4286294819442986,20.19423207030528,53.121825223470026,-1.91309183421892,0.17295957697709433,-7.590764216224876,2.0112165087901155,0.005893514059776787,-0.13853112265744744
