LR_fx,LR_fy,LR_fz,LR_taux,LR_tauy,LR_tauz,LL_fx,LL_fy,LL_fz,LL_taux,LL_tauy,LL_tauz
54.7620638697,11.2290124619,78.2303412176,-6.54298771094,45.5697800853,0.432592974713,55.4868065319,11.5873251674,118.339957149,-6.88361743412,45.7580766985,-0.789247924947
79.4769231063,-21.3429316269,290.865443107,-18.9522623431,37.8943790322,17.1674536375,0.0,0.0,0.0,0.0,0.0,0.0
21.1488747692,-3.08525716059,222.618896097,-22.3110390899,13.0390151119,3.24749446352,0.0,0.0,0.0,0.0,0.0,0.0
-4.32133659165,-0.444182413481,220.496185463,-23.3119496878,-2.90425273923,-0.999678667928,0.0,0.0,0.0,0.0,0.0,0.0
-12.0378953139,0.0167803348244,220.55052931,-23.8649468316,-10.989216364,-1.95347643015,0.0,0.0,0.0,0.0,0.0,0.0
-12.7887061457,0.0972389598079,220.841918521,-24.179361559,-14.3609556934,-1.88398106219,0.0,0.0,0.0,0.0,0.0,0.0
-11.0769877432,0.16588651906,220.889293579,-24.3462805014,-15.3042954701,-1.56796376217,0.0,0.0,0.0,0.0,0.0,0.0
-8.65322623561,0.233043279271,220.57546364,-24.3969548235,-15.1841949653,-1.23219562624,0.0,0.0,0.0,0.0,0.0,0.0
-6.18338901123,0.263025531538,219.921911867,-24.3433914714,-14.6998781346,-0.935773070128,0.0,0.0,0.0,0.0,0.0,0.0
-3.8941670741,0.236137974254,218.951994777,-24.188697301,-14.1488386259,-0.691421424119,0.0,0.0,0.0,0.0,0.0,0.0
-1.83846506403,0.153545503022,217.64047389,-23.9288987228,-13.6227845555,-0.499898349106,0.0,0.0,0.0,0.0,0.0,0.0
-0.0384268276889,0.0512317352739,215.899440586,-23.5607093146,-13.1401236098,-0.360726143873,0.0,0.0,0.0,0.0,0.0,0.0
1.43237554485,0.0280940768015,213.590510713,-23.1051274496,-12.7414193077,-0.272154862489,0.0,0.0,0.0,0.0,0.0,0.0
2.48130641999,0.225353075959,210.672840984,-22.6723928877,-12.5756875862,-0.219827660818,0.0,0.0,0.0,0.0,0.0,0.0
3.32182576478,0.208008664195,210.073981281,-22.5734188173,-13.0443934009,-0.120684927814,0.0,0.0,0.0,0.0,0.0,0.0
4.05286347252,-0.0405563021314,211.882914621,-22.811866175,-14.1846678514,0.0339340954061,0.0,0.0,0.0,0.0,0.0,0.0
4.50152610375,-0.0994514915925,213.251848932,-23.0798225278,-15.5986339997,0.171647424125,0.0,0.0,0.0,0.0,0.0,0.0
4.76739734935,-0.110133910305,214.195909707,-23.2644651753,-17.1149794356,0.282092946745,0.0,0.0,0.0,0.0,0.0,0.0
4.87056515123,-0.166089575802,214.832092922,-23.3462512131,-18.7408369409,0.355659513182,0.0,0.0,0.0,0.0,0.0,0.0
4.57615194737,-0.287781705401,215.293329714,-23.3463363312,-20.6969936072,0.362679551556,0.0,0.0,0.0,0.0,0.0,0.0
3.26830989546,-0.432646387092,215.76096973,-23.321047924,-23.4943545675,0.235418918035,0.0,0.0,0.0,0.0,0.0,0.0
-0.21511139676,-0.475076725248,216.514831709,-23.3825610769,-28.0527647867,-0.14993419295,0.0,0.0,0.0,0.0,0.0,0.0
-7.83190422988,-0.144112165457,217.977866993,-23.7649222592,-35.8488570155,-1.00718337447,0.0,0.0,0.0,0.0,0.0,0.0
-22.7033051858,1.06472942939,220.796850805,-25.0381131433,-49.0398634048,-2.74393583503,0.0,0.0,0.0,0.0,0.0,0.0
-49.5220048346,3.73021737742,227.633014312,-28.7088270896,-70.4665437541,-6.21965458388,0.0,0.0,0.0,0.0,0.0,0.0
-91.1812935256,-0.856255529802,314.084332161,-35.7087336308,-105.248121132,-11.3414613606,0.0,0.0,0.0,0.0,0.0,0.0
19.5846962951,0.431380255686,42.7861933439,-0.026294570592,3.1130374201,0.0170773934537,0.0,0.0,0.0,0.0,0.0,0.0
82.8992861686,-15.2082265056,174.556772099,4.26464221691,42.5844737676,2.61233726574,31.0070691864,-14.082756786,44.1321664531,3.2795371317,30.9557092022,4.49352266085
0.0,0.0,0.0,0.0,0.0,0.0,155.535523048,26.6657319782,326.194874167,20.6829105343,116.808312872,-36.4264237463
0.0,0.0,0.0,0.0,0.0,0.0,62.0107170255,3.83256539015,224.209540088,22.017656242,72.4028985419,-9.078236584
0.0,0.0,0.0,0.0,0.0,0.0,12.2373568134,1.0738089559,219.525288615,22.6403617022,40.9577291993,-0.509903245499
0.0,0.0,0.0,0.0,0.0,0.0,-5.4195961998,0.101410335705,216.158582721,23.2485147014,23.5058725309,1.6719074152
0.0,0.0,0.0,0.0,0.0,0.0,-10.3558171505,-0.352398229738,214.693404075,23.6208210774,14.6418293378,1.94354057716
0.0,0.0,0.0,0.0,0.0,0.0,-10.5004841172,-0.542431805054,214.583940872,23.8352314661,10.3399598698,1.72426977025
0.0,0.0,0.0,0.0,0.0,0.0,-8.94868119289,-0.583871387746,214.890430471,23.94144604,8.11411054201,1.41268484997
0.0,0.0,0.0,0.0,0.0,0.0,-6.99294026986,-0.544710219748,215.05813093,23.9525149951,6.62507921805,1.12343127791
0.0,0.0,0.0,0.0,0.0,0.0,-5.16611776287,-0.454682882741,214.856438784,23.8658871506,5.26028907284,0.892248421538
0.0,0.0,0.0,0.0,0.0,0.0,-3.62013645611,-0.322205353051,214.192433493,23.6698250162,3.8193654428,0.72503170124
0.0,0.0,0.0,0.0,0.0,0.0,-2.31086000665,-0.168639467065,212.981199701,23.3495763759,2.3125929912,0.612121012378
0.0,0.0,0.0,0.0,0.0,0.0,-1.10825843211,-0.0765675188794,211.08086567,22.9115777839,0.837648621782,0.532486172353
0.0,0.0,0.0,0.0,0.0,0.0,0.141726489899,-0.200097871914,208.378761539,22.463642508,-0.509458041294,0.453691207139
0.0,0.0,0.0,0.0,0.0,0.0,1.39145420988,-0.167218838799,207.959418304,22.3774115075,-1.81974141688,0.315089869515
0.0,0.0,0.0,0.0,0.0,0.0,2.75266530922,0.043726477223,209.888490978,22.6518130248,-3.22303648528,0.0977518437483
0.0,0.0,0.0,0.0,0.0,0.0,4.22559308505,0.0838870711868,211.159291499,22.911033693,-4.71156543248,-0.150221602068
0.0,0.0,0.0,0.0,0.0,0.0,5.6025287386,0.120710980691,211.899301609,23.0390679137,-6.37528663313,-0.392676187913
0.0,0.0,0.0,0.0,0.0,0.0,6.61799913549,0.251616401711,212.288383348,23.0235069451,-8.41011408602,-0.585391533752
0.0,0.0,0.0,0.0,0.0,0.0,6.73643310142,0.512842422159,212.530245027,22.8846705003,-11.255699873,-0.657123958956
0.0,0.0,0.0,0.0,0.0,0.0,4.88714421507,0.903633959889,212.947693096,22.6713128271,-15.7856270892,-0.474718411501
0.0,0.0,0.0,0.0,0.0,0.0,-0.90128899857,1.35827405453,214.085070021,22.4946111634,-23.5574476791,0.205939926922
0.0,0.0,0.0,0.0,0.0,0.0,-14.105081512,1.6079936455,216.738305305,22.6360523992,-37.1022130595,1.83343521822
0.0,0.0,0.0,0.0,0.0,0.0,-40.8370910269,0.812206868363,221.814995479,23.897132572,-60.1646912689,5.2889673842
0.0,0.0,0.0,0.0,0.0,0.0,-91.7233411604,-2.98209403751,231.66550296,28.5684428983,-97.7394685558,12.3612904729
0.0,0.0,0.0,0.0,0.0,0.0,-180.312658622,-4.80696765506,314.769239453,39.4665391563,-157.620820895,24.3731154405
0.0,0.0,0.0,0.0,0.0,0.0,18.8445365324,-0.138422064192,40.8790393279,-0.066437825212,2.97965182007,-0.119030113122
32.9211215136,11.7913334703,46.8566355606,-3.1099479923,31.6910845306,-4.08748698096,84.1341355764,13.5885544498,145.271645442,-4.4364759721,44.9723839148,-2.85046783551
154.08805955,-26.2313587253,312.998248536,-18.7755988865,111.149234161,35.5139534877,0.0,0.0,0.0,0.0,0.0,0.0
59.0336802582,-4.12955097389,228.876639492,-22.3898278513,69.4692087797,8.70210905835,0.0,0.0,0.0,0.0,0.0,0.0
11.7889421733,-0.598584533252,224.186766531,-23.7390340887,40.0010360335,0.420079370593,0.0,0.0,0.0,0.0,0.0,0.0
-4.58642830339,0.575548504728,220.281932666,-24.3683520511,23.4684531452,-1.60615158678,0.0,0.0,0.0,0.0,0.0,0.0
-9.09358636175,0.944276972485,218.240471432,-24.561302229,14.912454256,-1.81425587253,0.0,0.0,0.0,0.0,0.0,0.0
-9.23913714956,0.974329480275,217.584901553,-24.5742518325,10.5966384452,-1.58467776362,0.0,0.0,0.0,0.0,0.0,0.0
-7.85712573454,0.87010024392,217.398046146,-24.5070586882,8.21344682434,-1.28619063389,0.0,0.0,0.0,0.0,0.0,0.0
-6.11069495414,0.723650753978,217.118332725,-24.3801932175,6.52385795565,-1.01692795386,0.0,0.0,0.0,0.0,0.0,0.0
-4.48353614108,0.56557839748,216.486952253,-24.1860707338,4.96116873492,-0.806120972111,0.0,0.0,0.0,0.0,0.0,0.0
-3.12126096815,0.401248921279,215.368779224,-23.9054798427,3.33737083869,-0.658797173162,0.0,0.0,0.0,0.0,0.0,0.0
-1.99432460085,0.252393363747,213.626912573,-23.5173756848,1.65812913042,-0.566870853385,0.0,0.0,0.0,0.0,0.0,0.0
-0.99396342535,0.206586358229,211.06470137,-23.0245144504,0.0110532224083,-0.510833932028,0.0,0.0,0.0,0.0,0.0,0.0
0.0203479279834,0.415452996942,207.575329043,-22.5353571865,-1.51924483918,-0.45763535424,0.0,0.0,0.0,0.0,0.0,0.0
0.985541003323,0.39304790739,206.896154589,-22.4221406697,-3.08109018568,-0.342470250566,0.0,0.0,0.0,0.0,0.0,0.0
2.03780386426,0.099330377899,209.199270879,-22.6840262015,-4.80199184592,-0.148602218376,0.0,0.0,0.0,0.0,0.0,0.0
3.1963798701,-0.00761751604576,210.850532715,-22.945439037,-6.60612777682,0.0700724311552,0.0,0.0,0.0,0.0,0.0,0.0
4.26530292882,-0.0886846064823,211.905599934,-23.0852669253,-8.55621404725,0.278186722287,0.0,0.0,0.0,0.0,0.0,0.0
