Cx,Cy,Cz,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.10933725901035853,-0.00012693905402945066,0.6765923917332244,0.11216814241496129,0.11044930982474357,-0.0002561178486999438,4.703121573129423e-06,-1.8366083722132907e-06,-5.3839960891766065e-06,0.9999999999727603,0.11216814241496066,-0.11043069017525643,-0.0002561178486999577,4.7031215731238906e-06,-1.8366083718524683e-06,-5.3839960890720115e-06,0.9999999999727603
0.10960918308345115,0.0016598908501061524,0.6766468456336981,0.11216914979635426,0.110449455759651,-0.0002539129472896168,4.591007701950592e-06,-2.1482205998861857e-06,-5.710907929793254e-06,0.9999999999708469,0.11216905897993325,-0.11043112245166212,-0.00025353705009815986,5.066298995018321e-06,-2.1453090484293142e-06,-4.058968350213375e-06,0.9999999999766278
0.1102522892456654,0.0031287515104112306,0.6776611654436778,0.1121684710968158,0.11044945129254034,-0.00025427405318505236,5.055456223609642e-06,-2.1695422794637517e-06,-4.162262019445905e-06,0.9999999999762058,0.11434224504198769,-0.11016594654457669,0.001722989685776083,3.8244194768686166e-05,2.2061696607431265e-05,6.120041439366156e-06,0.9999999990066044
0.11102521313758949,0.004508465978431962,0.6786966780420641,0.11216787776599765,0.11044954861542557,-0.0002546070650665949,5.4748086062458595e-06,-2.3585296297324008e-06,-2.7915610560812553e-06,0.9999999999783358,0.11702289696346273,-0.11015002410248295,0.0037651179272439744,2.509598767571905e-06,-9.433076464822565e-05,7.74394926275626e-06,0.9999999955177203
0.11180844611545747,0.005841393619515331,0.6797219293345069,0.1121673135075796,0.11044968877144756,-0.0002548969126126288,5.866171299915803e-06,-2.5684931607152154e-06,-1.5293577269441545e-06,0.9999999999783262,0.11954149271693539,-0.11017627149397251,0.005810666284831734,-2.3118176903148005e-05,-0.00011875153576967113,8.03271446495733e-06,0.9999999926495493
0.1125680796250271,0.007139553177489423,0.6807321966166061,0.11216676478301667,0.11044985462420782,-0.0002551610554239886,6.241359778956722e-06,-2.7644251948074006e-06,-3.2589278329588094e-07,0.9999999999766488,0.12184656216520409,-0.11019525111290021,0.007843862759136774,-3.307028369121094e-05,-9.056425046239519e-05,7.982799243198589e-06,0.9999999953203742
0.11329971723504356,0.008405915938789048,0.6817274570450734,0.11216623718290245,0.11045004362764325,-0.0002554159344849427,6.605565817016074e-06,-2.949288867218842e-06,8.400021224225483e-07,0.9999999999734817,0.1240109815876437,-0.1102050133176367,0.009861451547882163,-3.544723251083739e-05,-5.449845251167854e-05,7.48014408729608e-06,0.9999999978587303
0.11400700830100248,0.009641204521320675,0.6827085085030481,0.11216573834439196,0.1104502557343943,-0.0002556686376817552,6.960065130417089e-06,-3.1329653043395974e-06,1.974533761222641e-06,0.9999999999689219,0.12609755728494834,-0.11021031908483613,0.011863714393907585,-3.563447272272174e-05,-2.730803526239452e-05,6.610946976844465e-06,0.9999999989703757
0.11469497534543253,0.010845570570224247,0.6836758071432205,0.11216527323724038,0.11045049047476956,-0.0002559201323844157,7.3044416432471704e-06,-3.323190156290842e-06,3.0767208932603483e-06,0.999999999963068,0.12814304070034577,-0.11021418588622142,0.013850951676702222,-3.577196354689045e-05,-1.048334131948385e-05,5.535349733621213e-06,0.9999999992899132
0.1153682726789013,0.012018800553648573,0.6846292817253353,0.1121648442675394,0.11045074677875057,-0.0002561684394277036,7.63767317618669e-06,-3.5245589357519335e-06,4.142454608114888e-06,0.9999999999560419,0.13016679442583484,-0.11021786564615507,0.0158225673509437,-3.6456609743391606e-05,-1.089452856483655e-06,4.355527280253924e-06,0.9999999993253793
