Cx,Cy,Cz,CoPx_FL,CoPy_FL,CoPx_FR,CoPy_FR,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.24007615282019967,-0.04935782829466862,1.1185710483314457,0.3521400580372062,0.07038369534428926,0.20417468445176842,-0.15036880808881656,0.3121631821240052,0.11044628617057353,-0.0002437806895207728,8.222706823708138e-08,8.441221749230831e-07,-8.106219981034502e-06,0.9999999999667852,0.21205791007339003,-0.11036710790325209,-0.0005383248778631639,-3.379210453705876e-05,6.648713193019258e-05,-0.00015503728053969056,0.9999999852004985
0.24160251095883936,-0.04361528180599401,1.1190083431982571,0.3475647631360434,0.07034257219395804,0.20201087469244658,-0.15036812770721078,0.312162786969876,0.1104463966526912,-0.0002492761983153846,1.0057998457472763e-07,1.2147043339508518e-06,-9.71094670915628e-06,0.9999999999521062,0.21205495456716578,-0.11036640416473635,-0.0005477267420092996,-3.576466682555936e-05,6.739461063102152e-05,-0.00016340167098055405,0.9999999837393746
0.24334331522972721,-0.037261153561316096,1.1194190332060812,0.2936740071955595,0.07033555146458458,0.19895254480736746,-0.15036765428855398,0.3121622986483557,0.11044643368141722,-0.00025618445301275883,1.2965865615909066e-07,1.6670045218095986e-06,-1.165129537853977e-05,0.9999999999307262,0.21205133014358354,-0.11036573286043602,-0.0005589436144790155,-3.8076624683677466e-05,6.849132747321083e-05,-0.00017347740263033487,0.99999998188235
0.245362943877698,-0.030271121287024163,1.1197970370366563,0.2121588976800457,0.07032121128659129,0.19399101518897882,-0.15036724123268833,0.3121616920738935,0.11044634901894652,-0.0002650785881169876,1.8846087224444349e-07,2.217389987675677e-06,-1.372728748653585e-05,0.9999999999033049,0.2120468342916573,-0.11036510199506364,-0.0005725208176183549,-4.078345353411349e-05,6.983131714995973e-05,-0.0001856317645157788,0.9999999795005725
0.2477794860189384,-0.02263713676389781,1.120139118550358,0.21212967189669665,0.07029208853959057,0.18442556893014617,-0.1503668222577475,0.3121608567142717,0.1104461001118866,-0.00027618489779059063,2.302590861087555e-07,2.8782620002712105e-06,-1.6497172639938113e-05,0.9999999998597533,0.2120412629563953,-0.1103645504805544,-0.000589115468976123,-4.406098360823872e-05,7.142558998811346e-05,-0.00020066880073586188,0.9999999763445236
0.2507877965262054,-0.014367757814384173,1.120586941300918,0.2724006323482879,0.07814677057737934,0.0,0.0,0.3121598700005074,0.11044552715752085,-0.0002912243971205791,5.112928462053188e-07,3.6378126490877846e-06,-1.556125274579954e-05,0.9999999998721764,0.21203459175954575,-0.11036414078096027,-0.0006048094480922,-4.667922710163657e-05,7.339984853877271e-05,-0.00021353188233785034,0.9999999734188235
0.25383752250879765,-0.006704037611427364,1.122128137952616,0.27668182028503585,0.07532870732727362,0.0,0.0,0.3121595875312532,0.11044658077937843,-0.00032877733868461045,1.1965370007510064e-06,2.2101202050175032e-06,-1.44146738326187e-05,0.9999999998929506,0.21712378083918749,-0.11002083318930835,0.0020707397260589233,-3.593787038585765e-05,1.548706691417915e-05,-0.0001191588290535561,0.9999999921348971
0.256826529739683,0.00047972600784606433,1.1236265921712454,0.28148928373543414,0.07773196953810801,0.0,0.0,0.31215737909768093,0.11044653303560723,-0.00031259928249713353,1.5381236042588175e-06,5.9389261231461555e-06,-1.0832393458237468e-05,0.9999999999225117,0.22301883750218462,-0.11001935896859746,0.004696182868855897,-0.0001250801380736455,-0.00018996112414547154,-9.604582414351029e-05,0.9999999695224648
0.2596740225362945,0.0072034695584792105,1.1250031572554795,0.2838411305608449,0.0801793442110155,0.0,0.0,0.3121551255700157,0.11044523538545406,-0.0003101750203843151,1.8217886955541711e-06,9.187194303598397e-06,-6.4675247251860755e-06,0.9999999999352241,0.2285464967682912,-0.1100289762349331,0.007204938529546512,-0.00016862075403745945,-0.00020081164534924473,-6.518747084574733e-05,0.9999999634961586
0.2623570762293823,0.013484869480650313,1.12627086640656,0.28488029903216083,0.08235984965189169,0.0,0.0,0.3121528703663807,0.11044409318466075,-0.00030694475388073905,2.0784894296302774e-06,1.2495791864708848e-05,-1.9800240597094255e-06,0.9999999999178075,0.23366458523055839,-0.11001606778963,0.009604891622131906,-0.00017689501501529537,-0.00013281337040712263,-3.7577041657718104e-05,0.999999974828364
0.2648799577633442,0.019343977801388766,1.12743439518656,0.2854157734372468,0.08442023751403753,0.0,0.0,0.3121508034450759,0.11044290445785356,-0.00030484078646647594,2.3047177524541276e-06,1.5469956943604907e-05,2.0786402077851633e-06,0.9999999998755242,0.23849827570495488,-0.11000449122328013,0.01189364612707465,-0.00017302721957819015,-6.180727541481102e-05,-1.9639184270320827e-05,0.9999999829278724
0.2672559816030112,0.0248014248594564,1.128503508549783,0.28579084445055597,0.08638769894922052,0.0,0.0,0.31214890133523626,0.11044179583048597,-0.0003030503022148079,2.492583172515667e-06,1.8145770634784342e-05,5.608690861862386e-06,0.9999999998165306,0.2431550802542322,-0.11000521529642933,0.014074129645685843,-0.00016583752882760506,-1.0712242274055039e-05,-1.025527114031389e-05,0.9999999861389959
0.26950046522653787,0.029877437165920586,1.1294874516099156,0.28614973434840807,0.08829328971400568,0.0,0.0,0.3121471321811781,0.11044072307798385,-0.0003016086703238746,2.6402056862542694e-06,2.0555635904248298e-05,8.632596577302324e-06,0.999999999747987,0.24770610484298586,-0.11002092584878807,0.016149657553072377,-0.00015772473967470122,2.019826491362023e-05,-6.339350871912091e-06,0.9999999873373747
0.2716280044373922,0.03459111735559204,1.1303945730158003,0.2865411353955272,0.09015444941124656,0.0,0.0,0.31214545950876554,0.11043967071244089,-0.00030049076436837463,2.7494987956482183e-06,2.2748331647256173e-05,1.1213519115550836e-05,0.9999999996746056,0.25219570251311335,-0.11005106255083194,0.018123337469217404,-0.00014904706015777505,3.625976920107228e-05,-5.3290652790948654e-06,0.9999999882209023
